Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
TPA_actives0000001_docked,-33.3503,6.80708,17.438,-3.08795,0,0,-16.5837,802.985,0,0.689185,8,0.467318,0.502521,0.497479,3477,937,1085,81,568,170,186,17,639,179,203,17,0,0,0,0,0,0,0,0,0,0,0,0,365,94,110,10,0,0,0,0,0,0,0,0,0.0,16.0,46.0,0.0,36.0,12.0,-156378.535887,2.0,19.0,0.0,0.0,0.0,0.0,-.8,67.58,0.26,121.36,721.85,7.130866798889967,8.42635921361971,7.515705929958928,7.784278085137084,5.6886650529198715,5.831769369015977,6.9313,-9.830188919792695,1,6.04512057545
TPA_actives0000002_docked,-28.4117,28.7863,13.6919,-3.37831,0,-1.05489,-4.16369,819.915,1,0.677578,11,0.465126,0.523272,0.476728,2956,811,910,58,556,156,168,12,345,93,112,6,0,0,0,0,0,0,0,0,0,0,0,0,157,40,54,1,0,0,0,0,0,0,0,0,0.0,14.0,51.0,0.0,16.0,17.0,-92815.7926102,2.0,14.0,0.0,0.0,0.0,0.0,-2.6,55.33,0.37,95.06,740.78,6.753879454581129,7.259816388500392,6.878688814701642,7.144196673715168,4.410406252900594,5.2056413718784365,5.6663,-7.849791373487187,1,5.95588872073
TPA_actives0000003_docked,-30.7681,8.24661,13.0467,0.0933365,-0.70619,0,-16.7792,703.737,1,0.705179,5,0.405059,0.544072,0.455928,3432,939,1041,88,681,186,210,16,352,103,107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,67.0,0.0,25.0,41.0,42117.528049,4.0,26.0,0.0,0.0,0.0,0.0,-3.0,50.36,0.00,131.71,485.44,6.295424275975559,7.641658077533576,7.217831421966929,7.156029409312906,6.323235806910107,6.253787101583988,6.476100000000002,-7.007599227404302,1,6.13516689825
TPA_actives0000004_docked,-29.4377,9.756,16.1262,1.45381,-1.63233,0,-10.8657,650.389,1,0.705636,7,0.401291,0.564295,0.435705,3375,928,1029,89,574,155,180,12,171,48,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,73.0,0.0,24.0,43.0,-112151.473652,5.0,25.0,0.0,0.0,0.0,0.0,-3.5,38.58,0.00,85.89,444.55,6.336236733282125,7.0638308276723265,6.84851287728938,6.901791663059166,5.928828772375093,5.769489701386532,6.160900000000002,-6.980981554379001,1,6.22745108145
TPA_actives0000005_docked,-30.3958,11.7992,16.936,-10.3659,-1.79893,-0.428077,-21.5731,673.111,2,0.700027,7,0.394502,0.591486,0.408514,3390,918,1007,84,575,158,174,12,337,95,98,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,72.0,0.0,21.0,49.0,3260.56570029,6.0,32.0,0.0,0.0,0.0,0.0,-4.6,42.58,0.00,95.12,460.60,6.240990821062772,7.428899721334222,6.975593396658905,6.948409537129533,5.980384198653345,6.0981126038016455,5.682900000000001,-7.473610038672952,1,6.17429172117
TPA_actives0000006_docked,-37.9135,31.6643,30.4274,-5.38196,-2.51542,0,1.64191,851.061,2,0.696397,8,0.386839,0.509245,0.490755,3131,854,971,74,830,228,258,20,501,145,159,13,0,0,0,0,0,0,0,0,200,53,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.0,74.0,0.0,36.0,44.0,-439422.671323,6.0,20.0,0.0,0.0,0.0,0.0,-6.5,40.17,0.55,148.61,652.92,8.828010386956528,7.584418106282609,7.470638032467533,7.4143659012653975,7.589856457655405,6.371945723664717,7.2795000000000005,-6.751750208365909,1,6.35751695821
TPA_actives0000007_docked,-38.1679,34.9224,33.68,-8.2765,-2.6944,-0.190793,1.55462,806.905,3,0.690696,8,0.392205,0.500885,0.499115,2964,819,929,72,1027,279,318,26,531,155,171,13,0,0,0,0,0,0,0,0,170,44,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,75.0,0.0,42.0,42.0,-462348.013607,7.0,18.0,0.0,0.0,0.0,0.0,-5.7,40.75,0.57,161.50,645.88,8.865923468854472,7.790726498113004,7.6828418165168255,7.534979930680435,7.275328316154424,5.76527683299884,7.087299999999999,-7.091779379170006,1,6.24979404021
TPA_actives0000008_docked,-33.4417,17.5953,15.8336,2.99295,-1.34631,0,-8.82177,749.649,1,0.681967,9,0.381015,0.539999,0.460001,3492,938,1074,85,567,145,172,12,256,78,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,81.0,0.0,27.0,37.0,-7909.45359829,3.0,26.0,0.0,0.0,0.0,0.0,-4.5,43.50,0.00,92.11,472.20,6.660940935042457,7.201014709346213,6.969029343545347,7.043087051582413,5.339708474384362,6.4060413257876565,5.793500000000003,-6.197538271107051,1,6.22554093559
TPA_actives0000009_docked,-27.3996,6.97026,18.3355,-0.267697,-1.29631,0,-9.8391,663.383,1,0.6923,8,0.375053,0.533146,0.466854,2462,652,758,64,572,153,181,12,305,92,96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,45,48,4,0.0,10.0,69.0,0.0,19.0,29.0,-30644.1175156,4.0,15.0,0.0,0.0,1.0,0.0,-2.9,36.60,0.07,99.20,397.12,5.202706051682055,6.734205039405041,6.624562721056723,6.635623354978345,4.167160392142428,4.855289617767826,5.931699999999996,-5.6522342985003675,1,6.07623735414
TPA_actives0000010_docked,-31.1103,9.75248,18.228,-9.93583,-2.10278,-0.501169,-22.2215,684.014,2,0.688904,8,0.403297,0.528009,0.471991,3264,899,990,84,739,198,228,16,171,47,54,4,0,0,0,0,0,0,0,0,0,0,0,0,95,26,27,4,0,0,0,0,0,0,0,0,0.0,12.0,75.0,0.0,27.0,45.0,-67931.1183027,5.0,27.0,0.0,0.0,0.0,0.0,-2.2,43.28,0.00,98.78,452.50,7.407877770723003,7.392023989177485,7.084802388944388,6.989288410034411,5.710871749183762,5.088275609370476,6.2322000000000015,-7.287067185093661,1,6.12031301151
