Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
TP_actives0000001_docked,-24.378,14.4276,19.8033,-9.45657,-0.711293,-2.05463,-7.99204,568.159,4,0.581914,10,0.273883,0.538842,0.461158,1676,483,499,6,1061,296,322,4,443,115,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,60,62,0,0,0,0,0,44.0,35.0,0.0,5.0,31.0,0.0,-341187.381508,5.0,5.0,0.0,0.0,0.0,0.0,-1.3,32.06,0.12,102.04,272.99,5.0976706148731035,5.217060890553892,5.143053171328666,5.586185682539681,3.1543818077855756,4.421997274208853,5.374200000000001,-6.98920176030711,1,5.96963614404
TP_actives0000004_docked,-144.766,28914.4,58.9928,3.52163,0,0,15815.9,752.742,0,0.581912,5,0.499318,0.874387,0.125613,7382,1815,1972,22,912,233,248,0,1136,279,317,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.0,206.0,0.0,118.0,212.0,0.0,-332502.426413,2.0,330.0,0.0,0.0,0.0,0.0,-31.1,64.31,0.30,109.41,767.63,6.309615917560567,8.469229103174596,8.278314234598739,8.098973417360416,18.661299997308838,11.887099378392202,6.962099999999998,342.44144388581566,1,6.58680202588
TP_actives0000005_docked,-33.8263,4.34175,34.2439,-18.3359,-1.67624,-3.09051,-19.1684,758.326,6,0.583281,23,0.259419,0.483561,0.516439,2075,569,604,10,1240,340,357,6,846,220,247,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,116,123,1,0,0,0,0,81.0,12.0,22.0,3.0,10.0,39.0,42659.9450875,6.0,9.0,0.0,0.0,0.0,0.0,-.6,43.68,0.20,140.46,367.96,6.5522329912115564,6.314718090742577,6.086997290376294,5.696804431901429,4.224279857274141,6.169679172523494,5.3931000000000004,-8.682571959973087,1,5.97048554352
TP_actives0000006_docked,-33.4997,4.70646,35.763,-14.8121,0,-1.52771,-12.6598,786.703,2,0.602219,22,0.242806,0.537151,0.462849,2492,689,743,12,1222,342,369,6,846,221,250,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,109,126,1,0,0,0,0,82.0,19.0,17.0,2.0,24.0,10.0,-189269.263033,6.0,8.0,0.0,0.0,0.0,0.0,2.1,43.68,0.33,122.88,405.76,7.34345809129955,6.600115051699924,6.588597308247307,6.308588804695303,4.399827604074545,6.269655438649228,5.293899999999999,-9.6096321764505,1,5.98181200849
TP_actives0000007_docked,-46.9891,58.6557,30.897,-17.5331,0,-2.79104,-5.55301,1218.85,4,0.527517,14,0.213893,0.599958,0.400042,6198,1765,1885,28,720,210,229,2,889,256,286,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,54.0,11.0,2.0,59.0,7.0,-129815.54054,6.0,39.0,0.0,0.0,0.0,0.0,2.7,64.31,0.36,109.41,839.68,8.750687643946248,8.59513454545454,8.004510013708513,8.286410997946504,7.463171798932092,6.686590216666912,6.354799999999999,-10.212347308597566,1,6.67334335973
TP_actives0000008_docked,-42.3359,34.2747,33.1438,-11.2332,0,-1.85314,-5.75871,1067.47,3,0.579669,11,0.257991,0.560975,0.439025,5288,1533,1657,23,808,204,231,7,958,262,276,8,0,0,0,0,0,0,0,0,0,0,0,0,179,51,54,0,0,0,0,0,0,0,0,0,73.0,70.0,11.0,6.0,44.0,4.0,-188672.392508,6.0,26.0,1.0,0.0,0.0,0.0,2.7,68.65,0.21,122.75,671.27,6.817246319598944,8.08899363597514,7.936060039960041,7.7636281916416925,7.858806023594379,5.513144586862743,5.859500000000002,-10.093016572391173,1,6.34860736802
TP_actives0000009_docked,-25.9881,2.66242,21.9778,-14.2302,-1.51042,-2.60874,-20.4335,663.271,4,0.566472,12,0.259766,0.609811,0.390189,2252,646,676,9,627,171,191,2,633,167,193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,59,64,0,0,0,0,0,64.0,21.0,0.0,8.0,22.0,0.0,-295441.950545,5.0,14.0,0.0,0.0,0.0,0.0,-1.9,25.84,0.64,81.67,363.28,6.864743863078166,6.953615062992562,6.482908439449442,6.39943257359307,3.852452036140619,5.010836129472503,5.519899999999999,-6.811202470836704,1,5.95
TP_actives0000010_docked,-20.7139,33.6709,17.1323,-7.00908,0,-2.18935,5.67587,525.404,2,0.586089,9,0.290526,0.558933,0.441067,1663,477,502,6,630,174,192,3,434,116,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,58,64,0,0,0,0,0,41.0,9.0,4.0,4.0,3.0,6.0,-201172.186083,5.0,5.0,0.0,0.0,0.0,0.0,-.9,21.84,0.50,61.44,269.30,5.277902657127366,5.337526598734605,4.990480348984351,5.731977646409146,2.364654287722425,4.247025988751272,4.958599999999999,-5.840377941237985,1,5.95
TP_actives0000011_docked,-16.902,2.35924,12.2894,-5.0816,0,-3.59575,-11.4958,382.424,4,0.578539,3,0.333165,0.632488,0.367512,1277,348,384,2,652,179,198,3,443,113,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,14.0,2.0,4.0,14.0,4.0,-191337.851336,4.0,5.0,0.0,0.0,0.0,0.0,-1.9,22.02,0.00,73.99,181.35,3.5002571773533573,5.617279007270502,5.205170901154403,5.249421983960485,2.7352750356106497,4.573233665106351,5.6109,-5.648401009135437,1,5.95
TP_actives0000012_docked,-18.3157,44.0854,14.7147,-6.28586,0,-1.93554,12.3479,499.025,2,0.57287,7,0.299806,0.575739,0.424261,1429,421,434,5,616,174,192,2,433,115,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,57,63,0,0,0,0,0,50.0,7.0,0.0,4.0,9.0,0.0,-199741.545796,4.0,7.0,0.0,0.0,0.0,0.0,-.5,21.84,0.43,61.44,237.90,5.237317395031402,5.643800447330446,4.877012236818738,5.616201301975801,2.053599593154943,4.697782228519902,4.873099999999998,-5.7352992818008675,1,5.95163910216
