Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
TS_actives0000001_docked,-26.6263,5.70203,8.19823,-11.5289,-1.04905,-0.508517,-29.6887,827.326,2,0.641993,3,0.450197,0.761677,0.238323,3796,952,885,23,549,145,136,4,763,202,188,2,133,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,53.0,0.0,0.0,15.0,-394226.442084,2.0,28.0,1.0,0.0,0.0,1.0,-3.8,67.58,0.19,147.99,656.43,5.556889321076169,7.721336974747479,7.057484681818188,7.052679491619487,3.3131608835456747,4.366461720479915,6.516599999999996,-7.253882286492312,1,5.95
TS_actives0000002_docked,-23.8772,3.73606,8.16775,-6.23145,0,-2.16796,-22.1328,903.843,2,0.651391,3,0.391651,0.675354,0.324646,3599,954,878,19,495,147,137,3,754,199,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,76.0,0.0,0.0,8.0,-366337.161543,3.0,25.0,0.0,0.0,0.0,1.0,-5.3,64.43,0.22,139.20,658.65,6.068901374739072,7.572496211954712,6.744354930624933,6.8288472369297315,3.059221414614037,5.175186801301488,6.7482000000000015,-6.515168018093948,1,5.95750651849
TS_actives0000003_docked,-19.9333,3.23395,6.47276,-1.66399,0,-1.4507,-14.4385,718.197,1,0.640572,0,0.460476,0.745764,0.254236,2600,702,671,18,640,164,150,5,585,182,164,3,0,0,0,0,0,0,0,0,120,30,28,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0,14.0,41.0,0.0,0.0,10.0,-124780.400075,2.0,26.0,0.0,0.0,0.0,0.0,-6.1,56.95,0.19,175.73,581.73,6.009174564765995,7.198395536075031,6.379759545565541,6.642716544011546,3.7973849867037903,5.634483356858276,6.1597,-5.776514298463812,1,5.96871748206
TS_actives0000004_docked,-20.4447,3.62361,1.6451,-4.49269,0,-0.878319,-22.6,737.883,1,0.660286,1,0.506291,0.77106,0.22894,2862,781,728,16,432,121,112,2,493,162,152,3,0,0,0,0,0,0,0,0,96,26,23,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,4.0,41.0,0.0,0.0,5.0,-231365.831932,1.0,27.0,0.0,0.0,0.0,1.0,-9.6,61.98,0.21,147.99,630.00,4.993162396768052,6.909321104895102,6.395616517094014,6.538082641802638,3.3417356233736086,5.763329107126665,6.701599999999998,-6.442208746532219,1,5.96822630338
TS_actives0000005_docked,-18.8661,3.74363,5.92596,-7.62817,0,-0.309886,-20.4574,845.031,1,0.606845,1,0.445078,0.796149,0.203851,3647,962,878,21,696,207,198,4,706,197,185,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,13.0,35.0,0.0,0.0,6.0,-301138.110864,3.0,21.0,0.0,0.0,0.0,1.0,-5.8,63.13,0.16,174.01,631.77,5.7861073450616605,7.601346817127323,6.877023925851931,7.150336439116445,1.547878878914625,4.531005360751629,5.558599999999999,-6.226226031625249,1,5.95345554058
TS_actives0000006_docked,-32.844,26.7172,7.11868,-5.26961,0,0,-16.4337,995.692,0,0.615912,8,0.381545,0.723551,0.276449,4530,1149,1067,29,536,139,127,4,1277,321,307,12,0,0,0,0,0,0,0,0,320,79,70,3,0,0,0,0,0,0,0,0,0,0,0,0,21.0,8.0,54.0,2.0,3.0,9.0,-78824.1187702,0.0,34.0,1.0,0.0,0.0,0.0,.5,84.67,0.13,175.32,837.89,6.898399975517928,7.889192283050286,7.687906419913421,7.292425449106452,4.777845053312741,5.136678818129044,6.591400000000002,-8.509838999397585,1,5.99280419598
TS_actives0000007_docked,-20.4542,17.0696,-1.42338,-0.881607,0,0,-12.7598,784.509,0,0.637546,0,0.438019,0.803962,0.196038,3434,892,822,23,540,148,139,4,304,75,77,0,0,0,0,0,0,0,0,0,109,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,15.0,22.0,4.0,0.0,0.0,-121292.630634,1.0,26.0,0.0,0.0,0.0,0.0,-.9,48.44,0.36,77.67,682.68,6.003782698392355,7.072166345487845,6.59112975370708,6.79299082450883,3.8551406042452205,5.3814265314117895,6.682199999999999,-6.394668416394772,1,5.99033707278
TS_actives0000008_docked,-21.2594,4.63137,4.73857,-4.75951,0,-1.43047,-20.403,535.716,2,0.633504,0,0.370633,0.792581,0.207419,1910,469,429,13,720,169,159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,35,33,0,0,0,0,0,0,0,0,0,25.0,0.0,56.0,0.0,0.0,10.0,-227412.519061,2.0,19.0,1.0,0.0,0.0,0.0,-4.4,22.07,0.25,76.43,331.33,6.014013743332791,5.565667514818509,5.473110427849925,5.6195768805638835,4.897676681598796,4.566461733129601,5.9769,-6.619323960457118,1,5.95401721463
TS_actives0000009_docked,-25.4124,4.62951,5.63474,-8.88197,-0.781103,-1.24468,-28.148,975.058,2,0.605967,3,0.377461,0.691719,0.308281,4066,1065,985,20,607,152,148,2,772,212,205,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,1.0,41.0,1.0,0.0,15.0,-297367.124197,3.0,22.0,0.0,0.0,0.0,1.0,-3.5,64.43,0.25,130.41,694.59,6.912304714397616,7.855102881673879,7.192591736208242,7.211467717560217,3.5161830887593832,4.685798756632209,6.9289999999999985,-7.9300814667358,1,5.95591424162
TS_actives0000010_docked,-29.0243,5.64576,10.1162,-10.3995,0,-0.672997,-27.264,815.451,1,0.645139,5,0.447938,0.74437,0.25563,3615,885,841,17,502,115,124,3,689,175,164,1,0,0,0,0,0,0,0,0,107,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,57.0,0.0,0.0,10.0,-449053.532199,2.0,28.0,0.0,0.0,0.0,1.0,-5.7,65.19,0.19,139.20,649.87,6.730381943627819,7.2318485743700744,6.712183565323562,6.821934780719271,3.1839499400886435,4.677754242467292,6.5982,-7.81165414740956,1,5.95698615875
TS_actives0000011_docked,-18.9004,7.40951,-0.913112,-0.078096,0,0,-16.8072,633.572,0,0.632821,0,0.400859,0.763763,0.236237,2946,768,712,19,587,165,148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,9.0,23.0,4.0,0.0,4.0,-71452.0303055,1.0,26.0,0.0,0.0,0.0,0.0,.6,30.86,0.25,54.18,426.65,5.257888810331808,7.169597352092347,6.221748560067383,6.477863883671893,4.03330520739412,4.849553564874298,6.129100000000005,-6.714418149002662,1,5.9748548949
