Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
Thrombin_actives0000001_docked,-33.8236,8.62175,14.8843,-5.89679,0,0,-22.1279,877.294,0,0.669785,9,0.364602,0.652416,0.347584,3491,921,1107,79,847,228,271,21,307,84,99,9,237,63,69,3,0,0,0,0,0,0,0,0,212,53,66,7,0,0,0,0,0,0,0,0,0.0,24.0,32.0,0.0,39.0,26.0,-55607.9434634,2.0,28.0,1.0,0.0,0.0,0.0,-3.0,72.99,0.22,130.77,631.10,6.580423066423521,8.079180135420138,7.452524032967034,7.719871206793204,6.668677536013534,6.378884210616667,6.853500000000004,-8.041663128842522,1,6.21976515616
Thrombin_actives0000002_docked,-32.9969,4.47919,23.1037,-8.42971,0,-0.647456,-19.3656,884.36,1,0.66348,8,0.409325,0.728961,0.271039,2751,764,853,61,1407,373,437,32,437,113,132,11,243,55,65,2,0,0,0,0,0,0,0,0,263,70,75,4,0,0,0,0,0,0,0,0,0.0,4.0,80.0,0.0,2.0,23.0,775.78717661,2.0,18.0,1.0,0.0,0.0,1.0,-1.2,82.55,0.19,144.34,625.03,7.959363902135173,7.614211523143522,7.6216877682317685,7.639231625541124,5.518736111988463,5.721930343869427,5.872899999999996,-7.240891599559741,1,6.16579517706
Thrombin_actives0000003_docked,-40.2966,12.1522,21.7287,4.28111,-1.22122,0,-10.6115,1028.58,1,0.717254,10,0.420042,0.649661,0.350339,4616,1199,1392,92,930,238,288,20,487,124,151,12,0,0,0,0,0,0,0,0,101,24,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,90.0,0.0,12.0,61.0,-52724.6734263,6.0,42.0,0.0,0.0,0.0,0.0,.1,61.95,0.38,157.48,926.62,7.642752386817341,7.636764005161506,7.665760320346322,7.747842414862917,6.718325797246382,7.134147229641747,7.482100000000002,-9.345725768358077,1,7.21811214272
Thrombin_actives0000004_docked,-23.8146,8.92458,18.8788,-8.99794,0,-0.0741362,-9.31887,840.149,1,0.650512,5,0.408501,0.597729,0.402271,2817,745,824,64,824,227,265,22,467,124,144,11,338,87,98,9,0,0,0,0,0,0,0,0,211,52,62,4,0,0,0,0,0,0,0,0,0.0,12.0,84.0,0.0,21.0,4.0,-114934.894708,5.0,6.0,0.0,0.0,0.0,1.0,-3.0,75.30,0.24,126.76,615.25,7.208277671560381,7.680106340270837,7.237121498556993,7.5699787422577325,3.5807742391973636,5.197900008155682,6.091200000000003,-5.86010882839481,1,5.98396761838
Thrombin_actives0000005_docked,-40.7919,57.7334,22.6382,-2.08385,-1.56047,0,7.05843,885.697,1,0.675149,10,0.419044,0.6475,0.3525,3887,1015,1173,79,837,222,262,19,503,135,153,13,0,0,0,0,0,0,0,0,301,79,94,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,73.0,0.0,42.0,34.0,-160342.842642,6.0,33.0,0.0,0.0,0.0,0.0,-2.3,60.67,0.30,145.45,759.88,8.514185909187834,7.438647821456323,7.404908681873683,7.211614434454439,6.5167968971115355,6.956624712385703,7.0675,-8.606873267433704,1,7.01992852433
Thrombin_actives0000006_docked,-36.2499,7.58928,12.3245,-4.50256,0,0,-26.9065,936.786,0,0.66846,11,0.372617,0.67413,0.32587,3358,883,1044,69,913,255,312,23,552,130,163,12,0,0,0,0,0,0,0,0,124,27,31,2,208,51,62,7,0,0,0,0,0,0,0,0,0.0,2.0,52.0,0.0,2.0,34.0,-148408.123448,0.0,33.0,0.0,0.0,0.0,0.0,-.3,68.30,0.17,139.18,649.20,6.855664598115939,8.032300804306802,7.806492982739487,7.6861618369408315,6.43408367529482,7.8476556074510855,7.454799999999999,-8.132573290931925,1,6.16875511557
Thrombin_actives0000007_docked,-33.8807,6.29326,13.0312,-3.74929,0,0,-23.0123,957.059,0,0.691803,10,0.366117,0.682462,0.317538,3743,996,1142,81,675,184,208,17,444,125,136,13,0,0,0,0,0,0,0,0,0,0,0,0,335,89,104,11,0,0,0,0,0,0,0,0,0.0,15.0,41.0,0.0,22.0,10.0,-20100.1291492,2.0,20.0,0.0,0.0,0.0,0.0,2.9,55.33,0.37,95.06,740.78,7.089351750808082,8.187856412032412,7.40579794444444,7.653090122932619,5.299019709445307,6.721715069752528,6.538700000000002,-10.396056631559219,1,6.15680476962
Thrombin_actives0000008_docked,-36.2026,17.6716,22.4384,2.75797,0,0,-2.89765,885.364,0,0.67985,8,0.387228,0.609501,0.390499,3936,1021,1193,75,608,157,193,13,296,79,95,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,49.0,0.0,7.0,57.0,-481532.781297,5.0,24.0,0.0,0.0,0.0,1.0,-3.5,15.82,0.93,101.45,792.95,7.38495198598889,7.333436236319231,6.862374708513714,7.122798497668993,9.063883958017184,8.410438470461077,6.717900000000002,-8.837719696563193,1,6.25707630122
Thrombin_actives0000009_docked,-23.3069,5.55408,20.3708,-14.6444,0,-1.33181,-16.8374,820.461,2,0.644667,5,0.485916,0.577225,0.422775,2775,706,796,68,778,198,215,14,960,244,259,17,111,30,31,5,0,0,0,0,137,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,90.0,0.0,11.0,2.0,-149505.273399,3.0,15.0,1.0,0.0,1.0,0.0,-6.3,70.63,0.35,221.08,746.84,6.4286051459491675,7.0734625083250044,6.706022755744253,6.846430642635141,1.7271787990190857,4.388660532639697,5.6754999999999995,-3.912889438281413,1,5.9715415463
Thrombin_actives0000010_docked,-34.4938,22.612,16.3613,-2.88643,0,0,-10.6948,893.445,0,0.643406,9,0.410632,0.693087,0.306913,3631,963,1113,93,665,173,200,19,464,127,142,13,0,0,0,0,0,0,0,0,0,0,0,0,358,92,107,11,0,0,0,0,0,0,0,0,0.0,11.0,50.0,0.0,29.0,6.0,5928.6620308,3.0,19.0,0.0,0.0,0.0,0.0,3.5,55.33,0.37,95.06,734.30,7.823571196539106,8.229165045454543,7.64843702253302,7.749227357864356,5.704473677882237,6.081537274944933,7.0829,-10.404180021434428,1,6.18681057411
