Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
VEGFR2_actives0000001_docked,-37.1728,11.8087,15.4321,-6.31785,-1.6228,0,-25.0737,863.107,1,0.658955,5,0.412797,0.722103,0.277897,2889,730,804,32,729,182,211,8,493,126,136,6,383,100,104,6,0,0,0,0,157,45,44,2,0,0,0,0,204,50,51,2,0,0,0,0,2.0,54.0,6.0,0.0,29.0,22.0,-170802.214124,5.0,15.0,0.0,0.0,0.0,0.0,-6.0,57.46,0.45,109.58,644.50,7.754800844163117,7.538651602453107,7.304662805805303,7.463740700188693,8.97627922895404,9.315568045673073,6.1221000000000005,-6.833555946662676,1,5.96181119942
VEGFR2_actives0000002_docked,-31.9827,7.04762,6.26528,-4.35831,-1.90471,0,-28.1263,746.189,1,0.628323,3,0.471336,0.688515,0.311485,3541,888,967,39,789,209,228,7,108,28,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,3.0,0.0,27.0,9.0,-665961.703291,5.0,30.0,0.0,0.0,0.0,2.0,-9.8,37.62,0.32,56.98,615.04,8.004533919537824,7.200099860361854,6.707264737984233,7.139815220779222,4.628502689445242,5.572642473217308,6.598999999999998,-7.773781363048736,1,6.02408988422
VEGFR2_actives0000003_docked,-31.8224,8.33881,-5.09938,-1.75006,0,0,-34.9936,817.526,0,0.6504,3,0.400151,0.74337,0.25663,4088,1042,1119,45,587,153,162,6,158,38,42,0,0,0,0,0,0,0,0,0,84,20,22,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,39.0,4.0,0.0,8.0,4.0,-94290.5224718,0.0,27.0,0.0,0.0,0.0,0.0,-3.1,46.31,0.24,57.92,633.59,6.770991443214003,7.2886637473637474,6.833008953435454,7.159170707070715,5.05049323495661,4.817575295767977,6.991399999999998,-8.829201065014832,1,5.96162738137
VEGFR2_actives0000004_docked,-29.3732,25.7334,5.68961,-3.37331,-0.598764,0,-15.3097,722.179,1,0.614977,3,0.344206,0.782856,0.217144,3135,822,878,36,705,183,203,8,475,137,145,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,4.0,0.0,33.0,10.0,-115246.788821,4.0,23.0,0.0,0.0,0.0,0.0,-1.3,45.78,0.11,96.37,461.87,6.981901050228176,7.420223476190484,6.978940112554118,7.13807576534576,7.5085520516437585,7.919144676608384,7.494900000000002,-9.393249283274198,1,5.99408899381
VEGFR2_actives0000005_docked,-33.4651,7.92345,0.314676,-4.42482,-1.53801,0,-36.2461,974.415,1,0.61474,4,0.266573,0.716398,0.283602,4160,1135,1194,47,658,196,196,7,0,0,0,0,0,0,0,0,0,0,0,0,122,34,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,15.0,0.0,22.0,7.0,19266.4080874,1.0,34.0,0.0,0.0,0.0,0.0,-1.5,34.89,0.32,24.30,617.69,7.6058275550635415,7.83415571622822,7.18134581701632,7.484478079032077,6.14837397204861,6.83496467475379,7.541100000000001,-8.646126567164007,1,6.02256747587
VEGFR2_actives0000006_docked,-33.2186,8.85814,5.36998,-0.108448,0,0,-24.812,855.226,0,0.660167,4,0.42087,0.744191,0.255809,3716,954,1026,42,789,220,223,9,337,79,89,4,195,50,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,36.0,6.0,0.0,5.0,28.0,-290851.456656,2.0,25.0,0.0,0.0,0.0,0.0,-4.4,48.93,0.42,54.45,645.97,7.318220357794064,7.827252090576093,7.386768013320014,7.443099168831176,6.7093021008145985,7.831009477225071,7.4111,-8.544696662051804,1,5.98053009291
VEGFR2_actives0000007_docked,-29.5291,8.75622,-5.15387,-1.72102,0,0,-32.6759,952.935,0,0.634807,8,0.255523,0.781078,0.218922,4482,1203,1251,53,707,186,195,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,27.0,21.0,0.0,5.0,7.0,41488.4635746,1.0,31.0,1.0,0.0,0.0,0.0,2.6,42.19,0.12,50.70,559.67,7.116851120854172,7.642963143800649,7.073677692751699,7.538128627705638,6.568843387317308,6.025036387124751,6.220099999999999,-10.370105001960141,1,5.97825479007
VEGFR2_actives0000009_docked,-30.8163,9.53068,1.34769,-7.82768,-1.69864,-1.31943,-35.6851,807.615,2,0.624408,4,0.334733,0.770883,0.229117,3842,976,1050,43,724,199,199,8,290,80,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,66.0,4.0,0.0,15.0,8.0,-123655.167496,2.0,30.0,0.0,0.0,0.0,0.0,-3.4,45.07,0.23,84.80,546.21,6.275406640449485,7.491024197524691,6.945704476689978,7.313867102064606,6.992826861362244,7.369356455509625,7.273300000000002,-8.17471195685925,1,5.97499717634
VEGFR2_actives0000010_docked,-27.1513,6.2543,3.05989,-4.04349,0,0,-24.7692,1068.82,0,0.632924,6,0.27122,0.677302,0.322698,4721,1358,1385,48,318,101,89,3,711,202,208,6,0,0,0,0,0,0,0,0,0,0,0,0,118,33,36,1,0,0,0,0,0,0,0,0,3.0,40.0,31.0,0.0,6.0,3.0,-15656.664132,0.0,11.0,0.0,0.0,0.0,0.0,-.4,60.36,0.07,69.68,633.45,6.894986489078631,7.677886115717616,7.139542421467423,7.427957322288825,4.740023804234303,6.395930478527936,6.570099999999997,-7.416047529046623,1,6.00470987694
VEGFR2_actives0000011_docked,-27.1062,32.3075,-2.20366,0.113122,0,0,-12.8105,774.611,0,0.627258,3,0.433375,0.724321,0.275679,3413,858,925,38,587,152,167,7,602,147,162,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0,3.0,0.0,7.0,11.0,-22881.8498348,1.0,28.0,0.0,0.0,0.0,0.0,-7.2,58.23,0.09,132.55,561.53,5.862916897252382,7.347012508880008,6.936261930513927,7.104372429292922,6.50762754959316,7.05023680623201,6.834800000000001,-7.362677106441396,1,5.95349794001
