,RFSCORE_V1_remade,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,rfscorevs,vScreenML,Interface_Energy
11betaHSD1,0.0,2.868421052631579,0.0,2.868421052631579,0.0,0.0,0.0,0.0,2.868421052631579,0.0,8.605263157894735,0.0
17betaHSD1,2.7086247086247086,2.7086247086247086,0.0,0.0,0.0,0.0,2.7086247086247086,0.0,0.0,2.7086247086247086,5.417249417249417,0.0
A2A,7.717948717948718,0.0,0.0,5.145299145299145,5.145299145299145,7.717948717948718,2.5726495726495724,5.145299145299145,0.0,15.435897435897436,7.717948717948718,0.0
ACE,0.0,13.363636363636362,0.0,0.0,5.345454545454546,0.0,2.672727272727273,0.0,10.690909090909091,2.672727272727273,21.381818181818183,2.672727272727273
ACE2,0.0,2.693181818181819,10.772727272727275,13.465909090909092,5.386363636363638,0.0,0.0,0.0,5.386363636363638,0.0,8.079545454545455,8.079545454545455
ADAM17,0.0,0.0,2.7181818181818183,2.7181818181818183,0.0,0.0,2.7181818181818183,2.7181818181818183,8.154545454545454,13.59090909090909,2.7181818181818183,5.4363636363636365
ADRB2,2.4999999999999996,2.4999999999999996,0.0,0.0,0.0,0.0,2.4999999999999996,0.0,2.4999999999999996,0.0,0.0,0.0
BCL2,0.0,0.0,13.857808857808857,19.4009324009324,16.629370629370626,2.771561771561772,2.771561771561772,2.771561771561772,8.314685314685313,5.543123543123544,5.543123543123544,2.771561771561772
COX1,0.0,2.706818181818182,0.0,0.0,0.0,0.0,8.120454545454544,0.0,2.706818181818182,18.94772727272727,10.827272727272728,0.0
CYP2A6,0.0,2.710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBA,7.724358974358974,0.0,0.0,2.574786324786324,2.574786324786324,0.0,0.0,0.0,0.0,0.0,2.574786324786324,2.574786324786324
GR,5.421911421911423,2.7109557109557114,8.132867132867132,5.421911421911423,2.7109557109557114,0.0,0.0,5.421911421911423,5.421911421911423,10.843822843822846,5.421911421911423,0.0
HMGR,0.0,2.72960372960373,0.0,2.72960372960373,5.45920745920746,2.72960372960373,2.72960372960373,2.72960372960373,2.72960372960373,27.296037296037294,24.566433566433567,8.188811188811188
MMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510416666666666,0.0,0.0,2.510416666666666,0.0
PDE5,5.409090909090909,0.0,0.0,2.7045454545454546,0.0,10.818181818181818,8.113636363636363,2.7045454545454546,2.7045454545454546,5.409090909090909,8.113636363636363,0.0
PNP,0.0,0.0,0.0,0.0,5.0249999999999995,12.562500000000002,7.5375,2.5124999999999997,7.5375,22.6125,7.5375,0.0
QPCT,2.7132867132867133,0.0,0.0,0.0,5.426573426573427,10.853146853146853,10.853146853146853,2.7132867132867133,0.0,0.0,0.0,0.0
ROCK-1,12.884615384615387,2.5769230769230766,0.0,7.730769230769232,10.307692307692307,2.5769230769230766,0.0,12.884615384615387,2.5769230769230766,15.461538461538463,18.03846153846154,2.5769230769230766
SARS-HCoV,0.0,0.0,0.0,0.0,0.0,3.041322314049587,0.0,0.0,0.0,0.0,0.0,0.0
TIE2,7.6923076923076925,5.128205128205128,5.128205128205128,7.6923076923076925,2.564102564102564,7.6923076923076925,2.564102564102564,15.384615384615385,7.6923076923076925,7.6923076923076925,5.128205128205128,2.564102564102564
TK,0.0,2.7045454545454546,0.0,2.7045454545454546,0.0,5.409090909090909,13.522727272727272,0.0,5.409090909090909,8.113636363636363,0.0,0.0
TP,0.0,5.590909090909091,0.0,0.0,5.590909090909091,2.7954545454545454,2.7954545454545454,0.0,5.590909090909091,16.77272727272727,0.0,0.0
VEGFR1,7.698717948717949,0.0,5.132478632478632,0.0,5.132478632478632,0.0,0.0,7.698717948717949,7.698717948717949,15.397435897435898,10.264957264957264,0.0
