Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
uPA_actives0000001_docked,-24.0614,3.53865,17.222,-11.2332,-0.576324,-1.36972,-19.4153,548.807,3,0.684893,6,0.401709,0.46925,0.53075,1969,563,624,54,285,91,97,8,484,140,161,12,0,0,0,0,0,0,0,0,0,0,0,0,198,56,59,5,0,0,0,0,0,0,0,0,0.0,1.0,46.0,0.0,2.0,30.0,-114161.32348,3.0,10.0,0.0,0.0,0.0,0.0,-.9,33.84,0.08,61.19,329.63,4.429054683914865,5.965837025863028,5.605702083638583,5.675184604617607,3.1863943032577833,4.219341698590081,5.7007,-6.279714458822905,1,5.96247645658
uPA_actives0000002_docked,-21.0799,3.42592,14.5651,-3.38469,0,-0.587622,-9.88268,538.777,1,0.694759,7,0.329413,0.505512,0.494488,1419,418,440,33,425,125,128,11,518,144,153,13,0,0,0,0,0,0,0,0,0,0,0,0,105,34,38,2,0,0,0,0,0,0,0,0,0.0,1.0,47.0,0.0,1.0,36.0,-50679.3191022,7.0,5.0,0.0,0.0,0.0,0.0,-2.1,37.48,0.00,80.71,301.11,5.1511853370074645,5.7074121637251665,4.942886796536799,5.495734724442226,3.251120207196935,5.295054536375866,5.198600000000002,-5.038638293054825,1,5.96950833384
uPA_actives0000003_docked,-26.9804,4.12785,10.5993,-6.4531,-0.109402,-0.404521,-22.3579,643.772,2,0.704051,7,0.400317,0.529932,0.470068,3109,855,955,73,285,86,99,8,287,91,94,8,166,40,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,43.0,0.0,1.0,33.0,1174.63708058,1.0,14.0,0.0,0.0,2.0,0.0,-1.2,45.06,0.11,51.96,445.57,5.711595162810605,6.960762061605055,6.3128371291486305,6.489306518759016,4.264931278053009,5.377263811752618,6.392900000000001,-7.212027999563094,1,5.96365556183
uPA_actives0000004_docked,-20.5963,2.23983,11.9506,-3.77706,0,-0.323632,-13.1399,537.675,1,0.719865,7,0.359261,0.532713,0.467287,1591,463,490,35,551,155,169,15,561,155,167,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,31.0,0.0,1.0,36.0,-102516.641785,1.0,6.0,0.0,0.0,0.0,0.0,-1.3,35.58,0.09,80.71,317.71,4.779221591998001,5.399948089632594,5.083759073664902,5.595192487345991,3.0284052043250327,5.488743480228146,4.810700000000001,-4.577114656271619,1,5.95
uPA_actives0000005_docked,-16.7244,2.8496,9.80054,-11.3643,0,-1.3218,-18.9952,466.724,2,0.671696,2,0.41104,0.48012,0.51988,1562,460,474,38,343,109,102,7,312,103,102,8,148,42,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,35.0,0.0,0.0,29.0,-480053.274614,6.0,6.0,0.0,0.0,0.0,0.0,-.6,41.74,0.09,80.71,319.17,5.07850880098329,5.4172546033411075,4.921355542790544,5.395681088689088,3.3126830545397876,3.7993154665442113,4.3580000000000005,-3.092532881636654,1,5.96428603332
uPA_actives0000006_docked,-25.1636,9.5408,11.9174,-4.79227,0,0,-13.8134,696.878,0,0.704603,9,0.339051,0.535147,0.464853,2763,756,854,65,485,136,161,12,316,89,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,65.0,0.0,4.0,17.0,-56697.4266577,4.0,12.0,0.0,0.0,0.0,0.0,1.0,37.29,0.00,63.99,398.14,5.0229012218400255,6.815760778388278,6.524536910478414,6.765122889166388,4.94983917519569,5.243284796502099,6.5269999999999975,-7.207400904994672,1,5.95820356854
uPA_actives0000007_docked,-19.0218,2.17518,9.53906,-1.94938,0,0,-11.5051,511.072,0,0.682369,4,0.40902,0.50995,0.49005,1491,440,477,37,339,97,103,8,138,42,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,55,59,5,0,0,0,0,0.0,0.0,23.0,0.0,1.0,16.0,-15375.7372852,0.0,8.0,0.0,0.0,0.0,0.0,-2.1,26.82,0.09,34.89,293.25,4.583121958499965,5.58273711188811,4.890939092130097,5.30456925790876,2.591468339172944,4.882688572171344,5.094800000000001,-4.605854116548133,1,5.95
uPA_actives0000008_docked,-17.7758,1.85792,9.43613,-3.59028,0,0,-12.915,460.079,0,0.686065,3,0.402967,0.499683,0.500317,1552,453,477,41,387,107,118,10,171,52,56,4,0,0,0,0,0,0,0,0,0,0,0,0,187,60,66,6,0,0,0,0,0,0,0,0,0.0,1.0,18.0,0.0,1.0,27.0,-4134.67281064,0.0,10.0,0.0,0.0,0.0,0.0,-2.6,29.78,0.00,34.89,268.71,4.709805847584184,5.460808329281828,5.0555267974248,5.252232297757801,3.564993473835288,5.086694034646322,4.9351,-4.650788790684409,1,5.95733898183
uPA_actives0000009_docked,-19.1548,2.20081,10.688,-6.62906,0,-0.748336,-15.909,534.777,1,0.676921,3,0.34501,0.516641,0.483359,1553,467,511,38,548,154,169,15,548,153,162,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,31.0,0.0,1.0,24.0,-14358.3039472,2.0,8.0,0.0,0.0,0.0,0.0,-1.5,35.63,0.09,80.71,318.17,4.654256480278478,5.320483676934182,5.134202487695318,5.497283216283718,2.076983852318796,4.35714175648659,5.969200000000002,-4.886041993169339,1,5.95069929182
uPA_actives0000010_docked,-19.5612,1.33568,11.0959,-6.40092,0,-0.810236,-15.8206,474.512,1,0.693613,7,0.374305,0.529597,0.470403,1705,487,531,46,294,91,108,8,183,51,59,4,0,0,0,0,0,0,0,0,0,0,0,0,283,86,86,8,0,0,0,0,0,0,0,0,0.0,3.0,31.0,0.0,1.0,22.0,-80307.9615692,1.0,7.0,0.0,0.0,0.0,0.0,-.3,29.77,0.00,34.89,273.95,4.941930172910416,5.253027178044182,5.007136407703407,5.374928563214564,3.119517611304111,4.560245024820078,4.4552999999999985,-5.502740006304605,1,5.95548940292
