Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
1PW6_FRED_docked__PROTOSS_native,-33.4486,6.5231,14.5672,-10.1651,-1.09195,-3.07284,-30.5944,807.983,3,0.555876,2,0.498593,0.6663,0.3337,2476,542,654,20,707,157,191,7,117,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,165,41,49,2,0,0,0,0,0,0,0,0,44.0,23.0,4.0,4.0,21.0,0.0,-371118.429967,3.0,26.0,0.0,0.0,1.0,1.0,-8.9,47.16,0.48,140.32,716.77,1
ZINC08437156,-25.4253,4.54871,5.64888,-3.17253,0,-1.04323,-23.1512,743.565,1,0.486027,6,0.553272,0.59353,0.40647,2805,679,768,24,248,61,68,2,403,106,113,4,0,0,0,0,0,0,0,0,74,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,2.0,11.0,3.0,5.0,0.0,-63071.4335213,1.0,21.0,1.0,0.0,1.0,0.0,-5.0,80.38,0.18,110.09,775.80,0
ZINC00633792,-30.555,37.9524,9.59732,-0.828367,0,0,-2.13623,798.406,0,0.566478,7,0.460848,0.708667,0.291333,2302,503,608,16,446,111,118,3,480,100,131,3,0,0,0,0,0,0,0,0,100,24,26,1,0,0,0,0,0,0,0,0,0,0,0,0,41.0,6.0,11.0,16.0,10.0,2.0,27814.6458863,1.0,30.0,1.0,0.0,0.0,0.0,-4.0,59.57,0.23,124.44,636.74,0
ZINC00970963,-21.759,2.87475,9.09724,-2.82513,0,0,-15.9011,636.384,0,0.551697,3,0.542386,0.641067,0.358933,1942,487,532,15,344,82,90,3,306,79,81,3,195,49,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,2.0,10.0,9.0,0.0,0.0,-113887.635441,1.0,20.0,0.0,0.0,0.0,0.0,-8.4,66.15,0.29,76.90,641.69,0
ZINC02069936,-25.5715,5.25014,4.97726,-2.02532,0,0,-20.3305,716.964,0,0.548716,5,0.510967,0.713162,0.286838,2477,598,630,26,281,68,74,3,281,67,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,8.0,8.0,17.0,8.0,4.0,6274.79252188,1.0,29.0,0.0,0.0,0.0,0.0,-11.6,55.34,0.27,62.83,669.14,0
ZINC00970849,-19.2282,4.49409,5.52046,-0.0478892,0,0,-12.0291,566.726,0,0.553456,1,0.550461,0.76957,0.23043,1762,438,478,20,387,95,92,4,170,43,46,2,0,0,0,0,0,0,0,0,0,0,0,0,197,52,56,2,0,0,0,0,0,0,0,0,19.0,0.0,1.0,15.0,0.0,0.0,918.590460366,0.0,11.0,0.0,0.0,0.0,0.0,-.3,51.94,0.14,65.34,517.71,0
ZINC00623316,-24.6952,18.4947,8.02463,0.467382,0,0,-7.75238,650.968,0,0.50954,2,0.524923,0.707009,0.292991,2045,500,503,17,114,25,26,1,502,124,127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,17,21,1,28.0,0.0,4.0,14.0,0.0,0.0,48675.6799533,0.0,12.0,0.0,0.0,1.0,0.0,-4.8,46.89,0.18,66.35,556.00,0
ZINC02062493,-25.5606,5.77151,7.24597,-3.93495,0,0,-20.2021,637.957,0,0.597614,2,0.52491,0.732587,0.267413,2265,546,573,21,214,53,53,2,211,48,53,2,209,56,49,3,0,0,0,0,124,29,32,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0,11.0,0.0,17.0,5.0,0.0,-68753.936692,1.0,21.0,0.0,0.0,1.0,0.0,-2.6,67.45,0.13,48.03,526.19,0
ZINC02184592,-24.0271,3.64241,5.69606,-1.38432,0,0,-18.8006,604.06,0,0.569872,1,0.57099,0.731481,0.268519,2439,642,652,28,109,25,29,1,88,30,25,1,0,0,0,0,0,0,0,0,84,20,25,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0.0,0.0,16.0,0.0,0.0,-26875.3565353,0.0,26.0,0.0,0.0,0.0,0.0,-3.7,55.24,0.06,38.55,643.15,0
ZINC08433320,-32.292,20.9749,11.2876,-5.1975,0,-0.803493,-17.1953,745.701,1,0.579238,4,0.478563,0.632316,0.367684,2133,487,576,20,263,65,68,3,353,79,101,4,0,0,0,0,0,0,0,0,95,24,24,1,227,52,59,1,0,0,0,0,0,0,0,0,22.0,28.0,5.0,14.0,12.0,7.0,-23989.9605772,3.0,22.0,0.0,0.0,0.0,0.0,-3.6,59.04,0.29,88.69,642.10,0
