Name Interface_Energy Label
1PW6_FRED_docked__PROTOSS_native -30.5944 1
ZINC08437156 -23.1512 0
ZINC00633792 -2.13623 0
ZINC00970963 -15.9011 0
ZINC02069936 -20.3305 0
ZINC00970849 -12.0291 0
ZINC00623316 -7.75238 0
ZINC02062493 -20.2021 0
ZINC02184592 -18.8006 0
ZINC08433320 -17.1953 0
ZINC00625191 -22.6992 0
ZINC08437365 -19.6705 0
ZINC00663241 -12.8395 0
ZINC08438172 -17.925 0
ZINC08435017 -20.6295 0
ZINC02067541 -19.0346 0
ZINC08437938 16.1351 0
ZINC00702465 -16.9818 0
ZINC05918221 -20.8265 0
ZINC01761882 -13.6934 0
ZINC00088170 -16.9398 0
ZINC01902382 -9.30248 0
ZINC01013299 -24.7892 0
ZINC00666178 -15.7041 0
ZINC00624691 -3.66291 0
ZINC08435162 -23.0312 0
ZINC01801792 -20.9466 0
ZINC00633953 -12.4406 0
ZINC00868901 -23.5823 0
ZINC00880467 -22.5762 0
ZINC08438162 -20.8508 0
ZINC08439048 -22.2729 0
ZINC08433311 -20.3064 0
ZINC00617102 -14.9892 0
ZINC00646442 -12.5355 0
ZINC00645531 -19.9249 0
ZINC00976267 1.00129 0
ZINC08437631 -23.8989 0
ZINC08434850 -14.4612 0
ZINC08435326 -21.7285 0
ZINC00881552 -21.3935 0
ZINC01019683 -20.5515 0
ZINC08433221 -19.3223 0
ZINC08433190 -20.5243 0
ZINC00646577 -17.4887 0
ZINC08434779 -19.2303 0
ZINC08435234 -7.74128 0
ZINC00328721 -20.8972 0
ZINC01019220 -16.5797 0
ZINC00970719 -24.2783 0
ZINC00194823 -15.5943 0
ZINC08437448 -1.37345 0
ZINC08439403 -14.5158 0
ZINC02062344 -5.23618 0
ZINC01891206 -12.8872 0
ZINC00627551 9.55111 0
ZINC00877702 -29.1307 0
ZINC01480424 -24.9272 0
ZINC08437658 -4.64344 0
ZINC08438670 -9.28887 0
ZINC06407301 -23.5623 0
ZINC08438369 -25.7485 0
ZINC08437077 -33.9421 0
ZINC01754310 -21.8303 0
ZINC01882830 -21.9447 0
ZINC08435049 -6.73135 0
ZINC02062178 -18.0229 0
ZINC08435028 15226.1 0
ZINC08435140 -15.264 0
ZINC08434966 -8.82074 0
ZINC08435596 -21.5772 0
ZINC08437570 -19.4591 0
ZINC08439818 -15.3888 0
ZINC02071445 -20.7919 0
ZINC01788635 -25.4557 0
ZINC08435189 -17.7005 0
ZINC00976249 1.327 0
ZINC00622925 21.6314 0
ZINC08437779 -16.3348 0
ZINC08437418 -11.9289 0
ZINC08439366 -30.8619 0
ZINC00787054 -10.2296 0
ZINC05687815 -16.2109 0
ZINC00848672 -20.8817 0
ZINC00623995 -26.414 0
ZINC00881863 -23.9304 0
ZINC08436811 -22.9047 0
ZINC00666327 -23.7644 0
ZINC08434978 -17.9619 0
ZINC08434974 -1.78796 0
ZINC08437469 -10.5978 0
ZINC08435553 -22.2967 0
ZINC00857147 -10.6321 0
ZINC08438177 -20.66 0
ZINC08433258 -6.8455 0
ZINC02163126 -12.266 0
ZINC08438933 -18.926 0
ZINC00676399 -22.8358 0
ZINC08439415 -16.4642 0
ZINC08437037 18.2883 0
ZINC08435064 33.8399 0
ZINC08433104 -18.2811 0
ZINC08438024 -16.8085 0
ZINC00702416 -17.2423 0
ZINC08439811 -18.108 0
ZINC08435342 -25.0412 0
ZINC08439387 -30.9723 0
ZINC01012622 -12.9223 0
ZINC00651610 -23.8849 0
ZINC00651640 -8.62672 0
ZINC00852837 -20.1703 0
ZINC02069316 -19.661 0
ZINC02170947 -24.1624 0
ZINC00646579 -12.1091 0
ZINC02069070 -19.0169 0
ZINC00624722 -21.2519 0
ZINC08433097 -21.314 0
ZINC00851613 -16.3154 0
ZINC08439824 -26.8701 0
ZINC02840318 -10.3624 0
ZINC00703040 -19.5899 0
ZINC02163701 -24.5774 0
ZINC08437545 -20.7682 0
ZINC08439906 -14.7111 0
