Name Interface_Energy Label
1R6N_FRED_docked__PROTOSS_native -22.8969 1
ZINC06474045 -21.0987 0
ZINC02164834 -14.1414 0
ZINC08433088 -23.3215 0
ZINC08436973 -26.1852 0
ZINC01012772 -21.7882 0
ZINC02070767 185.949 0
ZINC07101974 -17.9192 0
ZINC08439819 -18.3347 0
ZINC00897337 -30.5833 0
ZINC02067800 -15.4913 0
ZINC02062255 -33.2056 0
ZINC08435487 -18.7518 0
ZINC08433191 -14.7837 0
ZINC08435511 -21.5429 0
ZINC01018840 -23.5644 0
ZINC00730199 -18.0237 0
ZINC06446604 -0.585752 0
ZINC01796007 -11.3056 0
ZINC00969280 -23.051 0
ZINC00651647 -26.8381 0
ZINC08434900 -19.7218 0
ZINC08439315 3440.52 0
ZINC00659329 -18.3788 0
ZINC08433328 -19.8306 0
ZINC08439822 -27.2472 0
ZINC08439353 -30.0205 0
ZINC08434958 -12.9269 0
ZINC02070149 -23.3181 0
ZINC00627339 -20.5527 0
ZINC01013175 -23.8849 0
ZINC00786236 -27.7258 0
ZINC05918870 -20.3556 0
ZINC02171957 -29.3619 0
ZINC08435237 -12.5889 0
ZINC00655453 -18.5886 0
ZINC08437725 -25.0575 0
ZINC02162861 -33.8553 0
ZINC08438359 -1.45327 0
ZINC00723954 -20.4975 0
ZINC02184444 -24.6961 0
ZINC08433417 -20.137 0
ZINC01802703 -30.8922 0
ZINC02071284 -13.5883 0
ZINC00629164 -17.4082 0
ZINC00890625 -13.8306 0
ZINC00715097 -23.8891 0
ZINC08439461 -25.4412 0
ZINC01480424 -22.4203 0
ZINC08437364 -21.8085 0
ZINC00675732 -19.8285 0
ZINC08439041 -29.139 0
ZINC02068760 -26.1428 0
ZINC08435474 -17.7069 0
ZINC08438103 -26.7599 0
ZINC00968794 -30.2074 0
ZINC00646537 -16.6846 0
ZINC08435645 -21.8346 0
ZINC02070961 -22.2212 0
ZINC06143751 -24.6263 0
ZINC00675997 -27.4348 0
ZINC00623937 -15.7739 0
ZINC08435128 -18.0251 0
ZINC08435493 -17.9027 0
ZINC00675966 -22.613 0
ZINC00659339 -23.4825 0
ZINC00625398 -29.5581 0
ZINC01805305 -23.993 0
ZINC08435144 -21.682 0
ZINC02163067 -27.8596 0
ZINC08433233 -17.8737 0
ZINC00646574 -11.9791 0
ZINC00883021 -22.3568 0
ZINC00624377 -17.4162 0
ZINC02163530 -29.01 0
ZINC08439356 -14.9924 0
ZINC02067847 -25.695 0
ZINC00869085 -29.0347 0
ZINC00856396 -23.9101 0
ZINC08436975 -29.5273 0
ZINC08435476 -17.3847 0
ZINC00857147 -18.1704 0
ZINC01011569 -24.1181 0
ZINC00702465 -24.0931 0
ZINC00631391 -20.3782 0
ZINC06194681 -19.5843 0
ZINC00971749 -19.8934 0
ZINC08439045 -18.9928 0
ZINC08435285 -17.5143 0
ZINC00643502 -30.5535 0
ZINC08436829 -16.494 0
ZINC08435289 -36.7052 0
ZINC00907609 -25.6848 0
ZINC08434818 -25.2669 0
ZINC00624095 -23.2705 0
ZINC02155837 -21.8589 0
ZINC06446903 -20.1188 0
ZINC08433152 -22.6123 0
ZINC00630228 -24.1167 0
ZINC08435143 -30.0555 0
ZINC08434779 -21.3172 0
ZINC01011181 -19.9923 0
ZINC08433104 -8.61292 0
ZINC08435652 -33.2805 0
ZINC08433304 -24.1328 0
ZINC08439212 -29.0635 0
ZINC08437020 -33.964 0
ZINC00645295 -1.8906 0
ZINC00702695 -27.537 0
ZINC02106334 -22.8316 0
ZINC00630239 -25.186 0
ZINC00646876 -24.7504 0
ZINC08437944 -24.4432 0
ZINC08434874 -26.3356 0
ZINC02063370 -23.0678 0
ZINC00659345 -27.3807 0
ZINC01880173 -19.5298 0
ZINC01952505 -15.6516 0
ZINC01826433 -22.3429 0
ZINC08439400 -30.1896 0
ZINC00276456 -25.7421 0
ZINC00850105 10.5929 0
ZINC01018842 -30.4668 0
ZINC02063399 -2.36748 0
ZINC02063810 -31.3 0
ZINC00643487 -33.5928 0
ZINC08437034 -26.5684 0
ZINC02233796 -19.0616 0
ZINC08437651 -14.0982 0
ZINC08437896 -18.7133 0
ZINC00976257 -31.0792 0
ZINC02070797 -18.2068 0
ZINC08438218 -22.4275 0
ZINC02068753 -19.3943 0
ZINC00645865 -24.9548 0
ZINC08439238 -21.9567 0
ZINC00659669 -21.3682 0
ZINC00624269 -20.9489 0
ZINC02170668 -18.5415 0
ZINC06245730 -26.8684 0
ZINC00868353 -21.8939 0
ZINC08433243 -26.9366 0
ZINC08439377 -23.7352 0
ZINC02070823 -16.2949 0
ZINC00625470 -30.381 0
ZINC04676690 -14.0906 0
ZINC00702801 -23.848 0
ZINC00809023 -6.0024 0
ZINC05943324 -17.1862 0
ZINC02502143 -13.8492 0
ZINC00907402 -18.4956 0
ZINC00907405 -18.269 0
ZINC00924601 -19.6951 0
ZINC08438217 -26.5987 0
ZINC06445639 -18.576 0
ZINC00633975 -29.5104 0
ZINC08434882 -23.1686 0
ZINC08439142 -19.5128 0
ZINC08433144 -17.9859 0
ZINC08434915 -25.6521 0
ZINC02129169 -26.4893 0
ZINC05917152 12.6974 0
ZINC00624571 -24.6025 0
ZINC02171943 -33.7893 0
ZINC00661083 -29.4496 0
ZINC01884305 -19.1398 0
ZINC05401914 -19.1567 0
ZINC06996433 -15.6316 0
ZINC08437984 -32.2499 0
ZINC08437451 -20.7883 0
ZINC00693760 -7.58804 0
ZINC00666987 -18.1586 0
ZINC00622060 -24.5708 0
ZINC06195184 -18.7419 0
ZINC08434838 -15.6683 0
ZINC00659333 -17.4615 0
ZINC06475196 -20.794 0
ZINC02063487 -26.2631 0
ZINC06446605 21.219 0
ZINC02071357 -27.8572 0
ZINC08438077 -17.303 0
ZINC08435402 -17.5426 0
ZINC01802704 -24.9404 0
ZINC02062499 -18.4177 0
ZINC00633925 -20.121 0
ZINC06446299 15.7528 0
ZINC08435358 -28.0731 0
ZINC08435367 -24.979 0
ZINC02162485 -21.055 0
ZINC08438260 -23.317 0
ZINC08433189 -18.9159 0
ZINC00666141 -23.3382 0
ZINC00786337 -28.7908 0
ZINC00630237 -18.1955 0
ZINC00651672 -27.2026 0
ZINC02068917 -19.9847 0
ZINC02062041 -21.328 0
ZINC02156314 -28.4642 0
ZINC01953697 -16.9212 0
ZINC08439345 -27.1725 0
ZINC00666136 -21.7073 0
ZINC08439293 -13.4858 0
ZINC00702327 -23.6181 0
ZINC05687815 -24.3988 0
ZINC02666666 -17.4944 0
ZINC08437851 -18.2536 0
ZINC00624638 -28.9551 0
ZINC02170156 -22.8956 0
ZINC01592372 -24.1764 0
ZINC08438932 -18.3636 0
ZINC08437253 -24.8942 0
ZINC08437581 -25.8456 0
ZINC08438025 -23.9221 0
ZINC00984053 -13.6419 0
ZINC00907217 -28.4813 0
ZINC08434751 -15.2234 0
ZINC02167569 -18.4684 0
ZINC00971704 -24.6967 0
ZINC00788068 -32.6179 0
ZINC08437991 -28.616 0
ZINC02154864 -29.5369 0
ZINC02380267 -15.4923 0
ZINC06444397 -25.6329 0
ZINC00702349 -20.5878 0
ZINC08437189 -28.2189 0
ZINC00666509 -23.8025 0
ZINC00826507 -11.7594 0
ZINC08433318 -24.5678 0
ZINC08434757 -14.7145 0
ZINC00663235 -19.3278 0
ZINC00632285 -26.6963 0
ZINC02061363 -14.2265 0
ZINC08439237 -19.9002 0
ZINC08434936 -17.7637 0
ZINC08434974 -17.7102 0
