Name Interface_Energy Label
1TFT_FRED_docked__PROTOSS_native 7217.6 1
ZINC06245601 793.477 0
ZINC01771078 2276.81 0
ZINC00633947 2220.21 0
ZINC08436903 -17.8035 0
ZINC02061504 -12.6656 0
ZINC08434849 2217.94 0
ZINC08439601 -28.5772 0
ZINC01019586 798.379 0
ZINC00441990 -10.5477 0
ZINC00703110 3259.33 0
ZINC00655461 11579.7 0
ZINC06135987 -6.8025 0
ZINC00816791 -16.209 0
ZINC08438416 3237.39 0
ZINC00646577 -0.0600459 0
ZINC00629164 -12.7561 0
ZINC00623497 -12.6515 0
ZINC08438005 -17.6338 0
ZINC02164805 6.82574 0
ZINC01017574 369.957 0
ZINC01413456 -2.92096 0
ZINC01012776 -4.80735 0
ZINC02184381 -8.72275 0
ZINC08439396 9158.14 0
ZINC08439211 -4.60092 0
ZINC00693831 -17.5598 0
ZINC08438217 8.06513 0
ZINC00643341 -20.0649 0
ZINC00844915 -17.0679 0
ZINC06446915 -21.8868 0
ZINC00127464 8534.94 0
ZINC01826474 -9.58044 0
ZINC06444397 131.204 0
ZINC08439038 6211.26 0
ZINC02184672 252.079 0
ZINC02068944 8574.73 0
ZINC00676053 3017.57 0
ZINC00848995 -18.1859 0
ZINC01794204 -7.77398 0
ZINC01826433 -19.7641 0
ZINC00624722 -18.4695 0
ZINC08436850 -20.5424 0
ZINC08439131 4169.79 0
ZINC02107103 12447.8 0
ZINC02063420 9898.41 0
ZINC00856396 -11.2679 0
ZINC08434979 39.656 0
ZINC08435608 10393.6 0
ZINC00629997 -15.9995 0
ZINC02071705 -16.0746 0
ZINC02106334 2186.93 0
ZINC08437779 9890.62 0
ZINC00793623 37.8855 0
ZINC00381903 -13.2646 0
ZINC08439245 4033.74 0
ZINC08438937 -23.0431 0
ZINC08439635 -13.3301 0
ZINC03238049 -21.8743 0
ZINC08439142 3675.4 0
ZINC00646537 -16.4148 0
ZINC01011914 -7.95237 0
ZINC08433185 102.093 0
ZINC08435507 104.234 0
ZINC01803301 1652.33 0
ZINC08434870 5771.34 0
ZINC00617102 -16.9262 0
ZINC00623259 -11.1427 0
ZINC00828732 5855.62 0
ZINC00843796 -4.93703 0
ZINC02067490 1145.79 0
ZINC00977563 2460.17 0
ZINC02068760 -17.6659 0
ZINC08435123 7743.87 0
ZINC08433130 469.815 0
ZINC00717718 4991.22 0
ZINC08437913 -18.5772 0
ZINC02069082 -25.1114 0
ZINC01011747 811.635 0
ZINC08435159 -17.6622 0
ZINC08434994 -8.42246 0
ZINC00646291 53.4083 0
ZINC00660349 -20.046 0
ZINC00786236 -21.1767 0
ZINC08433318 4167.16 0
ZINC00717417 -5.71342 0
ZINC00633874 -13.9694 0
ZINC00633932 12419.2 0
ZINC00702695 -11.7885 0
ZINC01011918 2997.1 0
ZINC02277437 -20.996 0
ZINC08439394 -21.4281 0
ZINC08436826 3170.46 0
ZINC00643446 -16.5588 0
ZINC02162355 -19.0457 0
ZINC08435255 -2.49162 0
ZINC08438863 1813.35 0
ZINC02063399 -5.09207 0
ZINC08438886 1240.48 0
ZINC08435379 -20.6423 0
ZINC02062287 5525.36 0
ZINC02107262 1343.9 0
ZINC00850368 4430.44 0
ZINC02170675 671.483 0
ZINC02069936 7415.34 0
ZINC00703105 3476.15 0
ZINC08433312 7135.72 0
ZINC02170517 5.81974 0
ZINC08435122 2042.37 0
ZINC08434875 41.275 0
ZINC02170138 3487.99 0
ZINC01261828 -17.3017 0
ZINC02069095 9390.25 0
ZINC02063375 11794.8 0
ZINC02163757 1488.35 0
ZINC00881484 -2.44857 0
ZINC02068707 3537.52 0
ZINC03000497 9.16122 0
ZINC00867604 -6.17117 0
ZINC02166906 -7.95414 0
ZINC08435121 -9.50536 0
ZINC08439274 -25.6945 0
ZINC08439789 13924.1 0
ZINC08437630 10738.2 0
ZINC00651584 -8.80919 0
ZINC00793758 7.41695 0
ZINC08435494 11.0574 0
ZINC08433258 0.488825 0
ZINC00683837 3764.31 0
ZINC02780166 14.2693 0
ZINC02061946 1162.02 0
ZINC02164834 -7.28927 0
ZINC00848909 394.951 0
ZINC02155837 584.382 0
ZINC08438262 858.416 0
ZINC08438062 -21.8087 0
ZINC00878047 -7.7466 0
ZINC06599869 4201.84 0
ZINC08435296 -14.4215 0
ZINC08433218 11079.6 0
ZINC01902382 33.094 0
ZINC00660374 2778.46 0
ZINC02156731 -15.8129 0
ZINC08439811 -25.6601 0
ZINC00693334 125.52 0
ZINC04398550 -2.8557 0
ZINC00633782 -7.63472 0
ZINC01884305 2730.95 0
ZINC08439342 863.178 0
ZINC08438216 58.831 0
ZINC08437034 -19.5351 0
ZINC02062113 -22.1354 0
ZINC00683795 3968.44 0
ZINC00655497 -11.6781 0
ZINC00624620 -1.81651 0
ZINC08438103 3210.66 0
ZINC02129169 -15.1867 0
ZINC02067899 7160.29 0
ZINC05313283 282.032 0
ZINC08437418 -16.7876 0
ZINC00848992 -13.3271 0
ZINC00907405 11.1031 0
ZINC00974188 136.884 0
ZINC00633743 12483.2 0
ZINC08437570 5027.94 0
ZINC03208238 1.94064 0
ZINC00630102 -19.9658 0
ZINC06135667 -18.6513 0
ZINC08435603 741.149 0
ZINC02162773 12076.4 0
ZINC08435607 -21.9064 0
ZINC06481755 5500.45 0
ZINC00627177 2.40529 0
ZINC00650985 19.4977 0
ZINC08439098 888.475 0
ZINC00778417 5236.17 0
ZINC08435548 74.321 0
ZINC08435005 27.1499 0
ZINC00646915 292.553 0
ZINC02062063 15305 0
ZINC01012430 -14.8187 0
ZINC00659669 3651.97 0
ZINC02069942 -22.5685 0
ZINC01865711 12266 0
ZINC06144031 2558.42 0
ZINC01012331 -13.398 0
ZINC08439758 7808.32 0
ZINC00624568 -20.213 0
ZINC00971822 7.35136 0
ZINC00622370 -27.3063 0
ZINC00635792 -19.7269 0
ZINC00853494 2164.03 0
ZINC00856337 -18.4769 0
ZINC00676192 -18.4248 0
ZINC08437851 -15.0795 0
ZINC00659695 8996.21 0
ZINC01011776 -15.338 0
ZINC08434848 3013.71 0
ZINC02233796 -3.4047 0
ZINC08438646 9261.69 0
ZINC08439415 -13.3132 0
ZINC00628601 -13.0338 0
ZINC08435461 -23.0821 0
ZINC01017576 2377.38 0
ZINC02061312 545.11 0
ZINC08437985 15786.4 0
ZINC08435459 547.573 0
ZINC02163126 11892.7 0
ZINC08435140 17471.9 0
ZINC08439886 3311.65 0
ZINC02071854 2.34051 0
ZINC08434900 -3.50589 0
ZINC08433145 5363.14 0
ZINC00663241 -11.6185 0
ZINC02067505 441.142 0
ZINC02064387 11403.3 0
ZINC02070148 11555.6 0
ZINC08439344 -19.8435 0
ZINC00848231 -20.8637 0
ZINC08434842 3693.61 0
ZINC08438244 2175.44 0
ZINC03066739 77.8827 0
ZINC00723892 16.7856 0
ZINC08439606 -10.09 0
ZINC00645872 4366.69 0
ZINC02064202 -21.534 0
ZINC08438257 -1.50724 0
ZINC08437612 -29.3322 0
ZINC00645910 1486.06 0
ZINC00955337 1647.16 0
ZINC00633984 -14.262 0
ZINC08435201 5794.01 0
ZINC01875590 6248.37 0
ZINC00646452 2.3758 0
ZINC00659590 3247.23 0
ZINC08433156 -15.1483 0
ZINC08435384 514.424 0
ZINC08435490 9465.74 0
ZINC07077628 1.82607 0
ZINC08439690 -12.0841 0
ZINC08435289 -18.6549 0
ZINC00656852 1442.19 0
ZINC00623961 38.5089 0
ZINC00675966 2042.35 0
ZINC00633847 63.243 0
ZINC03211127 -2.19333 0
ZINC02067837 11144.9 0
ZINC02106487 -20.7445 0
ZINC01829128 2039.42 0
ZINC08436847 3684.79 0
ZINC01774798 14433.8 0
ZINC00730199 -17.3773 0
ZINC00210133 -7.15989 0
ZINC00877702 -11.5745 0
ZINC00662865 -19.5651 0
ZINC01128733 286.29 0
