Name Interface_Energy Label
1Y2F_FRED_docked__PROTOSS_native -15.6952 1
ZINC02170611 -11.9805 0
ZINC00723881 -6.81604 0
ZINC02106497 -19.5268 0
ZINC08434760 -22.4402 0
ZINC00717443 -8.9338 0
ZINC08435511 -8.82382 0
ZINC01865711 -15.0885 0
ZINC01884054 -10.9341 0
ZINC06444326 -8.61292 0
ZINC05921073 -2.47519 0
ZINC00778417 -19.6612 0
ZINC08439898 -10.1928 0
ZINC01012452 -15.9611 0
ZINC08438432 -17.799 0
ZINC02070136 12.1795 0
ZINC00720885 -12.4785 0
ZINC00646245 -15.0598 0
ZINC08436903 -13.6242 0
ZINC00841803 -9.46091 0
ZINC02667192 -11.0604 0
ZINC08438937 -16.9328 0
ZINC00285987 -5.682 0
ZINC02170705 -18.738 0
ZINC00387261 -15.1852 0
ZINC00881917 -10.2617 0
ZINC08438025 -17.361 0
ZINC08434759 -8.67953 0
ZINC03901268 -6.18611 0
ZINC00881526 -12.4723 0
ZINC00702695 -6.35106 0
ZINC08439719 -17.1133 0
ZINC02067899 -11.8783 0
ZINC02168963 4.72568 0
ZINC00730199 -14.4059 0
ZINC00844915 -12.3373 0
ZINC08437776 -12.8079 0
ZINC02106972 -19.0926 0
ZINC08435113 -19.998 0
ZINC02497212 -5.20927 0
ZINC08434965 -4.35931 0
ZINC08438766 -8.72507 0
ZINC08434852 -8.33611 0
ZINC03584707 -11.1551 0
ZINC01019683 -10.7664 0
ZINC01102227 3.40911 0
ZINC00624700 -14.9499 0
ZINC02068889 -20.0045 0
ZINC00643543 -12.9073 0
ZINC08438079 -15.5409 0
ZINC02159609 -17.4375 0
ZINC00624591 -8.76972 0
ZINC08434866 -11.6221 0
ZINC00666327 -20.2181 0
ZINC00677027 -19.6616 0
ZINC08437878 -18.2412 0
ZINC08433275 -16.3129 0
ZINC00975653 -14.9065 0
ZINC00187217 -11.4927 0
ZINC08435237 -9.15545 0
ZINC08436874 -11.6818 0
ZINC01011746 -16.8711 0
ZINC01017546 -15.058 0
ZINC00677017 -12.7585 0
ZINC00851292 -16.9789 0
ZINC00853499 -19.6717 0
ZINC00886816 -8.65794 0
ZINC00786914 -16.8591 0
ZINC00857173 -15.2114 0
ZINC00643190 -20.8559 0
ZINC00827822 -17.0902 0
ZINC02107478 -12.6682 0
ZINC00651647 -15.8091 0
ZINC00683536 -12.8151 0
ZINC00662898 -14.4837 0
ZINC01896204 -20.4994 0
ZINC01882821 -14.143 0
ZINC08433107 -17.3727 0
ZINC00645910 -13.9816 0
ZINC00907402 -20.6153 0
ZINC08435064 -9.07103 0
ZINC00643556 -11.3341 0
ZINC08439401 -20.0275 0
ZINC00858890 -15.9873 0
ZINC05928795 -7.25714 0
ZINC08437891 -12.7961 0
ZINC02741172 -11.0645 0
ZINC02063375 -27.4505 0
ZINC00717017 -11.4645 0
ZINC02071727 -19.6881 0
ZINC06904335 -9.82791 0
ZINC00666632 -10.6865 0
ZINC02162277 -16.625 0
ZINC02071627 -9.5762 0
ZINC00631600 -15.8317 0
ZINC08435240 -18.5213 0
ZINC08434971 -3.26331 0
ZINC01830761 -17.744 0
ZINC01592372 -16.142 0
ZINC01837122 -10.454 0
ZINC08434986 -1.30543 0
ZINC02162773 -19.4432 0
ZINC02068641 -7.9577 0
ZINC00693962 -16.0367 0
ZINC08439381 -8.67716 0
ZINC08434981 -10.6304 0
ZINC08433320 -13.6338 0
ZINC08434845 -15.2778 0
ZINC00677342 -17.7882 0
ZINC01849163 -22.6827 0
ZINC01889816 -14.1164 0
ZINC05918543 -24.2686 0
ZINC00663235 -8.60322 0
ZINC00659345 -13.1678 0
ZINC00651640 -13.517 0
ZINC08439211 -3.09189 0
ZINC08435189 -8.01298 0
ZINC02170023 -14.1945 0
ZINC05946142 -11.0836 0
ZINC08437733 -16.1062 0
ZINC00797526 -16.7533 0
ZINC00633975 -10.8435 0
ZINC08439178 -19.197 0
ZINC08438288 -13.835 0
ZINC08438499 -18.3287 0
ZINC01884305 -12.2536 0
ZINC02070289 -5.65849 0
ZINC00624976 -11.7903 0
ZINC02063871 -24.1671 0
ZINC00865379 -12.6477 0
ZINC00659009 -16.8238 0
ZINC00676171 -13.0542 0
ZINC00645531 -10.7659 0
ZINC02071284 -11.8541 0
ZINC03770288 -19.238 0
ZINC08434780 -19.9228 0
ZINC01891300 -5.13706 0
ZINC00655678 -12.4352 0
ZINC08439686 -12.5649 0
ZINC00647877 -3.67881 0
ZINC02184607 -9.87306 0
ZINC00955337 -4.54449 0
ZINC00694055 -17.2472 0
ZINC08434928 -8.08726 0
ZINC08435615 -15.3864 0
ZINC00659536 -10.3724 0
ZINC08435303 -10.3344 0
ZINC00702465 -10.5178 0
ZINC02069936 -19.0915 0
ZINC00975539 -18.2274 0
ZINC00623073 -15.6885 0
ZINC08435144 -17.4018 0
ZINC00853572 6.7014 0
ZINC08435117 -15.2931 0
ZINC06135667 -12.6946 0
ZINC00881552 -16.7603 0
ZINC00787054 -7.8896 0
ZINC00643487 -25.6031 0
ZINC02170707 -11.2811 0
ZINC08439084 -12.6292 0
ZINC02069049 -18.2872 0
ZINC02070768 -19.7461 0
ZINC08437888 -10.0976 0
ZINC08438378 -16.3712 0
ZINC08439926 -15.7108 0
ZINC08435159 -16.2512 0
ZINC08438063 -7.81705 0
ZINC00630503 -12.9288 0
ZINC00907469 5.42644 0
ZINC08439788 -16.571 0
ZINC08435612 -14.6317 0
ZINC00659475 -15.7059 0
ZINC06177623 -14.1026 0
ZINC02071490 -15.501 0
ZINC01013180 -8.4153 0
ZINC00723971 -13.8356 0
ZINC00850230 -15.5624 0
ZINC00646484 -10.6415 0
ZINC06444396 -19.7713 0
ZINC08439753 -14.9342 0
ZINC08434938 -17.1428 0
ZINC06195205 -10.8218 0
ZINC08434982 -13.9765 0
ZINC02155380 -15.6759 0
ZINC00643446 -16.1266 0
ZINC02155837 -20.1596 0
ZINC08437369 -13.7648 0
ZINC00976182 -18.5703 0
ZINC00645860 -14.121 0
ZINC08435614 -16.0436 0
ZINC00881890 -8.04253 0
ZINC00662744 -12.4502 0
ZINC00663182 -9.54058 0
ZINC08438485 -12.9945 0
ZINC02973109 -10.857 0
ZINC08435365 -18.4625 0
ZINC08433156 -9.10046 0
ZINC08434799 -13.8819 0
ZINC08438398 -20.9374 0
