Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
2AZ5_FRED_docked__PROTOSS_native,-30.6397,6.12236,2.52321,0.641659,0,0,-25.4932,804.48,0,0.662325,1,0.445319,0.815903,0.184097,4526,932,1067,0,427,86,102,0,284,64,72,0,625,131,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,0.0,0.0,21.0,0.0,-39423.2800966,0.0,38.0,2.0,0.0,2.0,0.0,-8.4,70.05,0.28,37.71,782.17,1
ZINC00622817,-27.7775,5.41473,4.90972,-0.032338,0,0,-21.7533,729.863,0,0.692365,2,0.460556,0.777366,0.222634,4301,895,1010,0,604,123,145,0,450,98,103,0,0,0,0,0,0,0,0,0,0,0,0,0,132,26,28,0,0,0,0,0,0,0,0,0,0.0,59.0,0.0,0.0,25.0,5.0,48056.1994167,1.0,32.0,1.0,0.0,0.0,0.0,.8,64.21,0.14,106.18,648.64,0
ZINC00624720,-27.043,5.57051,-2.21315,-0.657554,0,0,-27.3438,762.391,0,0.653849,1,0.398914,0.860127,0.139873,3583,734,846,0,553,123,136,0,286,58,62,0,0,0,0,0,0,0,0,0,303,62,72,0,200,43,46,0,0,0,0,0,0,0,0,0,0.0,52.0,0.0,0.0,6.0,0.0,-21742.3164415,0.0,44.0,2.0,0.0,0.0,0.0,-3.0,59.12,0.04,83.98,577.87,0
ZINC08435029,-27.3637,5.3914,7.57526,-0.737742,0,0,-19.4424,687.727,0,0.656182,4,0.487975,0.770584,0.229416,3637,759,842,0,185,40,45,0,669,134,158,0,0,0,0,0,0,0,0,0,0,0,0,0,248,44,59,0,0,0,0,0,0,0,0,0,0.0,44.0,2.0,0.0,26.0,9.0,73490.7143259,0.0,43.0,3.0,0.0,0.0,0.0,-.9,53.26,0.12,72.47,554.12,0
ZINC00624698,-25.9863,3.30212,9.88384,-1.07956,0,0,-16.7875,688.259,0,0.619688,5,0.541776,0.7056,0.2944,2972,662,744,0,577,127,141,0,308,69,77,0,0,0,0,0,0,0,0,0,321,68,71,0,95,23,22,0,0,0,0,0,0,0,0,0,0.0,48.0,1.0,0.0,29.0,1.0,-81984.297444,0.0,33.0,2.0,0.0,0.0,0.0,-3.9,45.81,0.35,65.54,646.07,0
ZINC08437878,-24.6843,4.357,-1.98129,0.144324,0,0,-25.431,715.769,0,0.661224,1,0.478496,0.77557,0.22443,3937,838,973,0,287,62,65,0,458,102,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48.0,0.0,0.0,17.0,0.0,78439.986323,0.0,33.0,0.0,0.0,0.0,0.0,-1.0,54.02,0.15,59.59,604.16,0
ZINC00627054,-17.7719,2.17507,2.70282,-0.343287,0,0,-15.3393,485.369,0,0.660095,0,0.651051,0.770801,0.229199,2954,647,744,0,439,98,108,0,226,55,67,0,0,0,0,0,0,0,0,0,0,0,0,0,116,28,27,0,0,0,0,0,0,0,0,0,0.0,58.0,0.0,0.0,2.0,0.0,-65250.7943328,0.0,40.0,2.0,0.0,0.0,0.0,-7.1,46.67,0.17,72.88,589.12,0
ZINC02171063,-25.32,4.21682,7.23601,-0.680901,0,0,-18.2009,633.031,0,0.647023,3,0.482518,0.784245,0.215755,3196,688,757,0,260,57,65,0,344,74,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,2.0,0.0,13.0,9.0,-27286.3978981,0.0,33.0,1.0,0.0,0.0,0.0,-2.3,29.31,0.38,41.57,542.16,0
ZINC08437418,-23.9935,2.73292,6.42675,-0.617101,0,0,-17.5623,676.381,0,0.661881,4,0.434966,0.781625,0.218375,3667,778,868,0,144,27,34,0,1132,233,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,24,30,0,0,0,0,0,0.0,40.0,0.0,0.0,12.0,0.0,-49759.2305397,0.0,17.0,1.0,0.0,0.0,0.0,-.8,51.30,0.22,102.26,547.75,0
ZINC00678489,-23.3077,3.88092,2.93599,1.87525,0,0,-17.1764,696.088,0,0.658991,1,0.476123,0.83407,0.16593,3841,795,899,0,423,89,112,0,730,156,189,0,340,75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,9.0,0.0,-32790.4099467,0.0,40.0,3.0,0.0,0.0,0.0,-2.5,77.56,0.12,112.30,585.60,0
ZINC08437554,-22.2007,4.53825,-2.18066,-2.29853,0,0,-24.9992,681.531,0,0.645897,1,0.460079,0.86873,0.13127,3522,741,842,0,307,64,75,0,363,76,87,0,0,0,0,0,0,0,0,0,121,28,31,0,251,55,65,0,0,0,0,0,0,0,0,0,0.0,29.0,0.0,0.0,15.0,0.0,-14731.3237672,0.0,29.0,1.0,0.0,0.0,0.0,1.2,48.04,0.18,32.78,531.51,0
ZINC00723971,-23.6576,4.63628,6.43211,-1.67447,0,0,-17.5072,684.058,0,0.682577,3,0.465739,0.788247,0.211753,3629,778,846,0,662,136,153,0,187,43,46,0,0,0,0,0,0,0,0,0,0,0,0,0,230,50,61,0,0,0,0,0,0,0,0,0,0.0,40.0,3.0,0.0,16.0,6.0,-59862.8898193,0.0,25.0,1.0,0.0,0.0,0.0,-.4,42.43,0.30,56.73,559.75,0
ZINC01804627,-19.0745,2.41561,6.67666,0.834976,0,0,-11.006,563.116,0,0.646545,2,0.493171,0.810424,0.189576,2505,523,595,0,320,70,80,0,503,107,116,0,977,216,237,0,0,0,0,0,0,0,0,0,114,27,36,0,0,0,0,0,0,0,0,0,0.0,36.0,0.0,0.0,12.0,0.0,-786.662232555,0.0,25.0,2.0,0.0,0.0,0.0,.7,76.88,0.19,59.59,452.69,0
ZINC00702307,-20.1327,2.31956,6.89935,-0.308836,0,0,-12.5331,724.608,0,0.671032,2,0.434129,0.767774,0.232226,3736,770,873,0,164,32,40,0,827,174,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38.0,2.0,0.0,16.0,0.0,-44600.4489967,0.0,14.0,1.0,0.0,0.0,0.0,-1.4,53.43,0.19,83.91,603.80,0
ZINC00971822,-26.4421,5.44597,5.53715,1.14825,0,0,-18.6524,680.183,0,0.644712,3,0.453551,0.786019,0.213981,3761,766,874,0,211,47,54,0,998,224,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61.0,1.0,0.0,5.0,4.0,-24834.3656659,0.0,35.0,3.0,0.0,0.0,0.0,-2.2,60.52,0.08,126.57,566.67,0
ZINC08434910,-23.0108,3.54742,5.79336,-0.45528,0,0,-16.4321,518.631,0,0.65624,1,0.469193,0.727446,0.272554,2031,437,502,0,131,31,32,0,330,71,83,0,0,0,0,0,0,0,0,0,256,60,65,0,0,0,0,0,406,83,90,0,0,0,0,0,0.0,20.0,0.0,0.0,7.0,10.0,-14790.3656295,0.0,15.0,0.0,0.0,0.0,0.0,-.9,36.24,0.17,29.54,359.06,0
