Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
2AZ5_FRED_docked__PROTOSS_native,-30.6397,6.12236,2.52321,0.641659,0,0,-25.4932,804.48,0,0.662325,1,0.445319,0.815903,0.184097,4526,932,1067,0,427,86,102,0,284,64,72,0,625,131,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,0.0,0.0,21.0,0.0,-39423.2800966,0.0,38.0,2.0,0.0,2.0,0.0,-8.4,70.05,0.28,37.71,782.17,5.745829797543682,7.471109887390385,6.90066578776779,7.234225765512258,5.278291915213733,6.3252925838789045,6.266799999999998,-8.37973825192052,1,6.04840208252
ZINC00622817,-27.7775,5.41473,4.90972,-0.032338,0,0,-21.7533,729.863,0,0.692365,2,0.460556,0.777366,0.222634,4301,895,1010,0,604,123,145,0,450,98,103,0,0,0,0,0,0,0,0,0,0,0,0,0,132,26,28,0,0,0,0,0,0,0,0,0,0.0,59.0,0.0,0.0,25.0,5.0,48056.1994167,1.0,32.0,1.0,0.0,0.0,0.0,.8,64.21,0.14,106.18,648.64,7.150232242457437,7.502473659951156,6.972251353812853,7.234002519647024,4.673319789910715,5.397557994556945,6.466100000000003,-9.213406782162027,0,5.9995885456
ZINC00624720,-27.043,5.57051,-2.21315,-0.657554,0,0,-27.3438,762.391,0,0.653849,1,0.398914,0.860127,0.139873,3583,734,846,0,553,123,136,0,286,58,62,0,0,0,0,0,0,0,0,0,303,62,72,0,200,43,46,0,0,0,0,0,0,0,0,0,0.0,52.0,0.0,0.0,6.0,0.0,-21742.3164415,0.0,44.0,2.0,0.0,0.0,0.0,-3.0,59.12,0.04,83.98,577.87,7.128854207423778,7.376869305194797,6.92899988350538,7.337476754245764,5.243030363737883,6.515622173517672,6.271299999999999,-7.664813255249073,0,5.97864928711
ZINC08435029,-27.3637,5.3914,7.57526,-0.737742,0,0,-19.4424,687.727,0,0.656182,4,0.487975,0.770584,0.229416,3637,759,842,0,185,40,45,0,669,134,158,0,0,0,0,0,0,0,0,0,0,0,0,0,248,44,59,0,0,0,0,0,0,0,0,0,0.0,44.0,2.0,0.0,26.0,9.0,73490.7143259,0.0,43.0,3.0,0.0,0.0,0.0,-.9,53.26,0.12,72.47,554.12,7.781314667853911,6.828111626096133,6.414898992451995,6.327675139249635,4.009877659378709,6.672146837574882,6.3778999999999995,-7.818423680604067,0,5.99581479745
ZINC00624698,-25.9863,3.30212,9.88384,-1.07956,0,0,-16.7875,688.259,0,0.619688,5,0.541776,0.7056,0.2944,2972,662,744,0,577,127,141,0,308,69,77,0,0,0,0,0,0,0,0,0,321,68,71,0,95,23,22,0,0,0,0,0,0,0,0,0,0.0,48.0,1.0,0.0,29.0,1.0,-81984.297444,0.0,33.0,2.0,0.0,0.0,0.0,-3.9,45.81,0.35,65.54,646.07,7.038404288711196,7.223236656121655,7.000934217893221,7.248091644385025,3.8745972172955674,5.997372235852976,7.3225000000000025,-5.863324618130213,0,5.99462579278
ZINC08437878,-24.6843,4.357,-1.98129,0.144324,0,0,-25.431,715.769,0,0.661224,1,0.478496,0.77557,0.22443,3937,838,973,0,287,62,65,0,458,102,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48.0,0.0,0.0,17.0,0.0,78439.986323,0.0,33.0,0.0,0.0,0.0,0.0,-1.0,54.02,0.15,59.59,604.16,6.231853440656173,6.8056183672438655,6.397920084249084,6.684006481795974,4.822611426382877,5.655235701077165,6.823999999999999,-8.638886234238218,0,5.98903531847
ZINC00627054,-17.7719,2.17507,2.70282,-0.343287,0,0,-15.3393,485.369,0,0.660095,0,0.651051,0.770801,0.229199,2954,647,744,0,439,98,108,0,226,55,67,0,0,0,0,0,0,0,0,0,0,0,0,0,116,28,27,0,0,0,0,0,0,0,0,0,0.0,58.0,0.0,0.0,2.0,0.0,-65250.7943328,0.0,40.0,2.0,0.0,0.0,0.0,-7.1,46.67,0.17,72.88,589.12,5.85641546908215,6.414864011322015,5.959855604617611,6.291529267177269,5.3808154978887455,8.144684100573922,7.134100000000002,-6.668884217695491,0,5.96076200619
ZINC02171063,-25.32,4.21682,7.23601,-0.680901,0,0,-18.2009,633.031,0,0.647023,3,0.482518,0.784245,0.215755,3196,688,757,0,260,57,65,0,344,74,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,2.0,0.0,13.0,9.0,-27286.3978981,0.0,33.0,1.0,0.0,0.0,0.0,-2.3,29.31,0.38,41.57,542.16,7.173474759556406,6.2620580273060265,5.882342709734713,6.00133711072261,3.0116329520883682,4.354120504755381,6.4138,-6.427842312277375,0,5.97490472383
ZINC08437418,-23.9935,2.73292,6.42675,-0.617101,0,0,-17.5623,676.381,0,0.661881,4,0.434966,0.781625,0.218375,3667,778,868,0,144,27,34,0,1132,233,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,24,30,0,0,0,0,0,0.0,40.0,0.0,0.0,12.0,0.0,-49759.2305397,0.0,17.0,1.0,0.0,0.0,0.0,-.8,51.30,0.22,102.26,547.75,6.470952577223393,6.374898908036403,6.2469027416472445,6.304025727272721,2.876732193209922,4.781082038741485,6.115899999999999,-7.834235205573251,0,5.96243315249
ZINC00678489,-23.3077,3.88092,2.93599,1.87525,0,0,-17.1764,696.088,0,0.658991,1,0.476123,0.83407,0.16593,3841,795,899,0,423,89,112,0,730,156,189,0,340,75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,9.0,0.0,-32790.4099467,0.0,40.0,3.0,0.0,0.0,0.0,-2.5,77.56,0.12,112.30,585.60,6.605476245458479,7.199065677045181,6.948439624153623,6.899877660894654,4.200669436852107,7.113499837275941,6.364900000000002,-9.001130772749498,0,5.95838302996
