Name Interface_Energy Label
2KP8_FRED_docked__PROTOSS_native -17.4688 1
ZINC08434906 -21.9719 0
ZINC02973109 -19.8044 0
ZINC08435190 -15.9581 0
ZINC08435034 -15.7672 0
ZINC08437884 -18.6998 0
ZINC02168339 31.8769 0
ZINC00411354 -15.4901 0
ZINC00643487 -17.8463 0
ZINC08438185 -24.9646 0
ZINC00669589 -19.921 0
ZINC08435605 -12.2025 0
ZINC02483499 -11.2414 0
ZINC02063153 -20.1109 0
ZINC08435356 -21.043 0
ZINC02171941 -28.409 0
ZINC08437964 -19.5483 0
ZINC00984053 -7.28759 0
ZINC08439647 -25.6929 0
ZINC08434782 -24.2235 0
ZINC08435579 -8.85833 0
ZINC08439400 -23.1552 0
ZINC02071782 -19.5273 0
ZINC02184382 -18.6395 0
ZINC00630388 -30.6989 0
ZINC08437023 -14.654 0
ZINC08438819 -12.8874 0
ZINC00633902 -24.829 0
ZINC08434955 -11.9809 0
ZINC00645825 -22.9848 0
ZINC00662497 11.6465 0
ZINC06073489 -18.5735 0
ZINC00387261 -19.2052 0
ZINC00702500 -19.2585 0
ZINC06144551 -19.5166 0
ZINC02067809 -19.8764 0
ZINC08437630 -26.7529 0
ZINC08434958 -6.24828 0
ZINC08435564 -18.447 0
ZINC00624761 -27.6931 0
ZINC02165050 -16.8005 0
ZINC00643280 -18.7159 0
ZINC00624095 -12.6931 0
ZINC01013180 -16.3709 0
ZINC08439415 -10.702 0
ZINC08439255 -20.0676 0
ZINC01873774 -18.3097 0
ZINC08437906 -16.2125 0
ZINC00655611 -20.3522 0
ZINC00844915 -13.8617 0
ZINC00808997 -14.2643 0
ZINC08437364 -19.4987 0
ZINC02062344 -15.2939 0
ZINC08439898 -17.1148 0
ZINC00624057 -25.3746 0
ZINC03057121 -23.4145 0
ZINC08438109 -17.4545 0
ZINC00646876 -18.8392 0
ZINC00624386 -15.7272 0
ZINC02170853 -24.2353 0
ZINC00727868 -14.2988 0
ZINC02071996 -13.7464 0
ZINC08438933 -22.1611 0
ZINC08437245 -23.6547 0
ZINC02064387 -25.1535 0
ZINC00703060 -15.9254 0
ZINC08438964 -17.0372 0
ZINC01414785 -3.12867 0
ZINC01891206 -19.0027 0
ZINC00702465 -23.6269 0
ZINC05921073 -10.5578 0
ZINC00984064 -16.1765 0
ZINC02106727 -17.3507 0
ZINC02162038 -12.734 0
ZINC06444923 -19.4462 0
ZINC08434988 -16.5275 0
ZINC00623511 -9.80388 0
ZINC08437367 -28.4212 0
ZINC00850367 -17.4099 0
ZINC00828732 -12.555 0
ZINC00677129 -4.36513 0
ZINC08435522 5.91351 0
ZINC02497214 -13.6281 0
ZINC00633947 -23.6025 0
ZINC00669596 -22.304 0
ZINC08434914 -21.1516 0
ZINC00430528 -9.19734 0
ZINC02170835 -19.5918 0
ZINC00659339 -26.2568 0
ZINC00677342 -18.5447 0
ZINC08438410 -30.2725 0
ZINC00657136 -20.073 0
ZINC08438432 -30.4824 0
ZINC08438283 -20.2443 0
ZINC08435486 -27.3246 0
ZINC00974113 -17.6994 0
ZINC02168759 80.9268 0
ZINC01012880 -16.9381 0
ZINC00661060 -6.7926 0
ZINC00797199 -10.4246 0
ZINC02063373 -26.491 0
ZINC01758660 -12.6157 0
ZINC06474964 -15.2927 0
ZINC00857096 -13.8749 0
ZINC08438441 -31.5002 0
ZINC08439275 -6.30612 0
ZINC08439274 -25.1538 0
ZINC02159745 -12.893 0
ZINC08435189 -13.395 0
ZINC02164279 -19.0181 0
ZINC08439237 -17.7021 0
ZINC08435439 -19.0775 0
ZINC08439266 -15.403 0
ZINC00625470 -13.7323 0
ZINC08434779 -19.7376 0
ZINC08437799 -11.9458 0
ZINC08435064 -20.5225 0
ZINC01890479 -12.191 0
ZINC00655497 -14.4415 0
ZINC00643388 -20.9122 0
ZINC00666409 -15.9901 0
ZINC00881917 408.997 0
ZINC08434875 -24.3119 0
ZINC00721191 -17.3707 0
ZINC00624377 -15.1466 0
ZINC01009442 -21.3803 0
ZINC08437803 -18.4456 0
ZINC02184444 -15.7446 0
ZINC08435170 34.1054 0
ZINC01797879 -5.20934 0
ZINC00786236 -24.0464 0
ZINC02106465 34.0379 0
ZINC08437778 -20.1392 0
ZINC02071725 -22.2116 0
ZINC06270540 -0.955304 0
ZINC00852837 -15.5266 0
ZINC08439832 -14.0633 0
ZINC00970487 -15.2606 0
ZINC08435560 -13.9285 0
ZINC08438161 -15.0637 0
ZINC00624269 -18.3295 0
ZINC02184550 -11.003 0
ZINC04669031 -6.49495 0
ZINC08435145 -14.5266 0
ZINC08437904 -20.9425 0
ZINC08438072 -16.939 0
ZINC02853302 -20.5537 0
ZINC08434804 -14.9852 0
ZINC00633747 -25.6351 0
ZINC02063498 -12.7944 0
ZINC00792906 -6.44999 0
ZINC08438420 -17.2785 0
ZINC00630340 -27.5629 0
ZINC06445739 -16.8258 0
ZINC01881429 -23.2657 0
ZINC02075274 -18.0753 0
ZINC00651672 -31.0605 0
ZINC08439349 -25.5171 0
ZINC02171029 -15.7147 0
ZINC00621935 -0.828856 0
ZINC02063810 -25.3408 0
ZINC00694397 -21.6341 0
ZINC02163509 -12.1988 0
ZINC00643217 -20.547 0
ZINC00817538 -17.3812 0
ZINC08438098 -17.8091 0
ZINC08435484 -19.5953 0
ZINC08434986 -15.8938 0
ZINC01013140 -25.0394 0
ZINC00694337 -19.0429 0
ZINC06445251 -14.2021 0
ZINC00623095 -5.18551 0
ZINC08438315 -20.4858 0
ZINC08434911 -15.709 0
ZINC00655195 -11.6008 0
ZINC00702621 -20.3941 0
ZINC00657651 -12.1543 0
ZINC08435410 -31.7008 0
ZINC00659386 -17.2689 0
ZINC08437913 -15.8496 0
ZINC06194703 -22.6005 0
ZINC00631361 -13.4791 0
ZINC08436852 -20.1024 0
ZINC00624691 -21.8323 0
ZINC08438767 -16.2145 0
ZINC01802714 -17.2233 0
ZINC00976182 -19.7551 0
ZINC02679431 -19.2781 0
ZINC02780166 -20.3599 0
ZINC08438068 -18.6639 0
ZINC08437851 -12.1662 0
ZINC00625093 -5.23703 0
ZINC00857521 -19.4381 0
ZINC08435559 -20.8402 0
ZINC00702507 -11.8312 0
ZINC04089482 -13.9315 0
ZINC08438948 -17.531 0
ZINC08433097 -24.6728 0
ZINC00669302 -16.5059 0
ZINC00189848 -16.3256 0
ZINC08437729 -15.0474 0
ZINC00976347 -18.7207 0
ZINC00645872 -21.6068 0
ZINC00702987 -22.344 0
ZINC01017546 -17.9746 0
ZINC08436971 -14.4853 0
ZINC03765149 -24.8879 0
ZINC00646535 -15.6516 0
ZINC08435553 -27.1848 0
ZINC02170156 -14.4633 0
ZINC01013036 -19.194 0
ZINC08436819 -20.5682 0
ZINC01895555 -20.664 0
ZINC00669490 -16.7337 0
ZINC01797117 -16.2958 0
ZINC08437558 -20.2965 0
ZINC06195398 -21.0068 0
ZINC01892976 -18.2387 0
ZINC08439119 -16.9488 0
ZINC06444363 -20.3971 0
ZINC02161601 -23.1799 0
ZINC08439610 152.454 0
ZINC08434963 -17.0275 0
ZINC08434888 -18.3813 0
ZINC00381968 -14.1735 0
ZINC00074217 -12.1716 0
ZINC00728061 -29.7417 0
ZINC08434759 0.954072 0
ZINC08437506 -14.371 0
ZINC08439310 -18.8106 0
ZINC04112603 -13.6564 0
ZINC08437180 -16.8707 0
ZINC04676690 -14.2093 0
ZINC00666632 -25.4247 0
ZINC08439961 -5.8783 0
ZINC08435173 -15.333 0
ZINC08439770 -11.9078 0
ZINC00881863 -23.0514 0
ZINC08439724 -3.26741 0
ZINC00907609 -23.4376 0
ZINC08439362 -15.6768 0
ZINC08435545 -17.7067 0
ZINC01011837 -13.5631 0
ZINC08438954 -13.8366 0
ZINC02171943 -20.4041 0
ZINC00624580 -22.0431 0
ZINC00651633 -21.9297 0
ZINC02155841 -16.188 0
ZINC01011086 -23.8042 0
ZINC02061955 -21.3493 0
