Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
2YEL_FRED_docked__PROTOSS_native,-31.3898,7.01596,-1.00241,-2.00588,0,0,-30.8728,775.917,0,0.733109,5,0.411872,0.804033,0.195967,3452,762,920,60,702,160,188,11,229,49,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0,45.0,1.0,0.0,11.0,-12530.820491,0.0,35.0,1.0,0.0,0.0,0.0,-.8,55.47,0.12,81.40,571.61,1
ZINC08439178,-28.5056,10.5358,0.619329,-2.54083,0,0,-25.1064,767.142,0,0.698266,5,0.384916,0.775022,0.224978,2926,652,760,58,314,72,80,7,219,48,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,96,102,8,0,0,0,0,3.0,0.0,34.0,1.0,0.0,15.0,24894.1338337,1.0,21.0,0.0,0.0,0.0,0.0,-.8,42.37,0.00,41.13,427.93,0
ZINC00891476,-30.0868,4.79225,5.76298,-3.46942,0,-0.682038,-28.4785,787.244,1,0.6306,5,0.411153,0.799219,0.200781,2938,658,771,49,1046,238,286,16,204,42,54,4,0,0,0,0,0,0,0,0,121,25,32,2,66,19,17,0,0,0,0,0,0,0,0,0,11.0,0.0,69.0,1.0,0.0,3.0,-61062.0695333,1.0,28.0,0.0,0.0,0.0,0.0,-2.2,57.31,0.15,106.73,562.82,0
ZINC00694378,-30.04,7.79056,1.09351,-3.82524,0,0,-29.3935,727.605,0,0.689366,6,0.416121,0.740403,0.259597,3351,757,867,61,275,62,71,7,379,89,110,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,18,18,1,9.0,0.0,50.0,7.0,0.0,11.0,-29627.4224348,1.0,32.0,0.0,0.0,0.0,0.0,-4.4,47.03,0.10,63.50,512.48,0
ZINC00624386,-26.5624,8.38979,1.85861,-0.548823,0,0,-20.3933,725.897,0,0.665928,4,0.425231,0.791432,0.208568,3889,860,1020,68,260,55,71,4,510,111,125,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,41.0,0.0,0.0,4.0,-14229.0303464,0.0,25.0,0.0,0.0,0.0,0.0,-.3,51.07,0.19,76.04,595.94,0
ZINC00666441,-29.9826,6.50521,2.32774,-3.94073,0,0,-29.2024,800.677,0,0.686768,6,0.37715,0.786096,0.213904,3261,737,882,61,239,53,58,4,1068,228,279,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0.0,32.0,6.0,0.0,4.0,-77056.2779159,0.0,33.0,0.0,0.0,0.0,0.0,-.7,58.34,0.27,104.35,575.36,0
ZINC08439187,-37.7582,9.75558,5.06004,-5.49728,0,0,-32.5929,842.47,0,0.662581,8,0.347918,0.730815,0.269185,3849,824,954,73,296,63,77,3,628,140,160,12,0,0,0,0,0,0,0,0,187,45,48,3,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0.0,58.0,2.0,0.0,12.0,-143138.668647,0.0,28.0,0.0,0.0,0.0,0.0,-4.5,56.09,0.12,68.73,565.64,0
ZINC06474570,-32.6219,102.416,10.0161,-4.97838,0,0,27.8868,823.19,0,0.721135,3,0.47498,0.762698,0.237302,3641,794,960,62,1034,218,261,22,172,32,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,78.0,0.0,0.0,19.0,-148186.527698,0.0,36.0,0.0,0.0,0.0,0.0,-5.1,51.13,0.34,143.72,743.13,0
ZINC00881458,-29.2054,4.79541,2.99854,0.60454,0,0,-24.6765,777.468,0,0.643366,7,0.425805,0.787375,0.212625,2902,656,751,44,440,99,122,7,268,58,71,6,0,0,0,0,0,0,0,0,135,29,35,2,112,23,31,2,0,0,0,0,0,0,0,0,22.0,0.0,59.0,3.0,0.0,6.0,32086.1834241,1.0,30.0,0.0,0.0,0.0,0.0,-5.6,54.43,0.09,70.23,573.11,0
ZINC01018842,-34.4069,7.97179,-1.03717,-3.26058,0,0,-35.6752,878.133,0,0.608561,7,0.379659,0.786941,0.213059,3407,751,875,58,524,114,139,8,252,54,62,5,0,0,0,0,0,0,0,0,308,72,87,4,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,60.0,4.0,0.0,3.0,28090.7305191,0.0,35.0,0.0,0.0,0.0,0.0,-1.0,50.35,0.17,65.54,593.33,0
