Name Interface_Energy Label
3GK1_FRED_docked__PROTOSS_native -17.7555 1
ZINC00677461 -27.2072 0
ZINC08438088 -5.03714 0
ZINC02063121 -17.8334 0
ZINC08439112 -26.2115 0
ZINC00655412 -26.8365 0
ZINC02063284 -27.4714 0
ZINC00350684 1.34061 0
ZINC02170769 -9.37949 0
ZINC08433412 -19.7336 0
ZINC08440797 -25.5513 0
ZINC00727935 -23.7897 0
ZINC00787054 -14.6049 0
ZINC08440502 -26.9198 0
ZINC00702307 -19.6083 0
ZINC00623937 -1.64722 0
ZINC08439178 -21.9023 0
ZINC08439791 -6.9425 0
ZINC08435358 -19.4998 0
ZINC00624470 -20.4639 0
ZINC03066739 -23.1655 0
ZINC08437987 -21.1421 0
ZINC00630388 -21.4677 0
ZINC00788120 -20.1455 0
ZINC00723954 -22.6438 0
ZINC02900087 -20.2859 0
ZINC00694230 -24.4133 0
ZINC02070425 -20.8663 0
ZINC08433126 -26.8488 0
ZINC08442171 -3.7534 0
ZINC00663241 -9.90135 0
ZINC08435339 -14.4276 0
ZINC08442168 -3.60236 0
ZINC08435487 -21.2249 0
ZINC00285987 -21.3912 0
ZINC00702231 -23.4572 0
ZINC00626146 -22.5605 0
ZINC00623269 -26.0978 0
ZINC00633686 -18.0063 0
ZINC08437368 -21.4437 0
ZINC00669667 -23.5149 0
ZINC08442136 -21.253 0
ZINC00862108 -18.3505 0
ZINC00633925 -21.806 0
ZINC08439131 -25.7321 0
ZINC00857096 -10.0943 0
ZINC08438378 -13.44 0
ZINC08441631 -22.0582 0
ZINC00645295 5.32719 0
ZINC06473877 -16.1796 0
ZINC00693648 -24.6336 0
ZINC08440917 -16.6714 0
ZINC00624115 -28.9967 0
ZINC08442163 -21.0639 0
ZINC08437954 -10.3649 0
ZINC02064389 -29.6327 0
ZINC01011181 -19.049 0
ZINC02072006 -26.2931 0
ZINC00702416 -24.3038 0
ZINC08435122 -19.4038 0
ZINC08441387 -20.8846 0
ZINC05520252 7.96157 0
ZINC00887442 4.04271 0
ZINC08437554 -21.4899 0
ZINC00646484 -12.6134 0
ZINC00702687 4975.37 0
ZINC01011673 -20.4881 0
ZINC02107262 -25.0817 0
ZINC08440458 -18.1738 0
ZINC00703112 -22.7386 0
ZINC08438101 -28.0916 0
ZINC00694061 -12.5234 0
ZINC08437116 -21.379 0
ZINC08435043 -20.3678 0
ZINC02075274 -16.6766 0
ZINC08434978 -11.869 0
ZINC00623335 -24.4852 0
