Name Interface_Energy Label
3IN7_FRED_docked__PROTOSS_native -26.9825 1
ZINC08434963 -21.1927 0
ZINC00702738 -22.3034 0
ZINC02694664 -20.4515 0
ZINC00702709 -22.6447 0
ZINC02067478 -24.5324 0
ZINC01855159 -21.2823 0
ZINC08435054 -19.1305 0
ZINC00629977 5.6193 0
ZINC08438068 -15.5395 0
ZINC01017574 -4.26249 0
ZINC08438941 -15.7661 0
ZINC08437390 -10.8982 0
ZINC00702327 -26.2363 0
ZINC00880918 -22.4538 0
ZINC02167569 -15.3504 0
ZINC02071548 -14.0396 0
ZINC02162372 -31.4072 0
ZINC07101974 -10.6169 0
ZINC00660349 -17.4446 0
ZINC00643493 13.3439 0
ZINC02068931 -1.33251 0
ZINC08438191 -18.1676 0
ZINC08438514 -11.5028 0
ZINC01511146 -17.3655 0
ZINC00727868 -3.60971 0
ZINC02129165 -11.3762 0
ZINC08438033 -24.1162 0
ZINC00666987 -23.9011 0
ZINC08437029 -13.4217 0
ZINC01758660 -26.8351 0
ZINC00646579 -13.0737 0
ZINC00793873 -16.9567 0
ZINC02159737 -18.0083 0
ZINC05949888 -10.5551 0
ZINC08437373 -12.3264 0
ZINC08435468 -27.5707 0
ZINC08438807 -17.321 0
ZINC08435017 -14.5246 0
ZINC02071445 -15.5478 0
ZINC01013161 -17.2058 0
ZINC02067847 -23.4158 0
ZINC08439403 -23.1788 0
ZINC01802710 -9.75733 0
ZINC08437448 -12.323 0
ZINC00851794 13.1384 0
ZINC00623808 -21.4098 0
ZINC08435020 -6.77068 0
ZINC08438359 -21.6963 0
ZINC00631361 -6.16014 0
ZINC08437823 -15.0528 0
ZINC02170766 -16.3463 0
ZINC00728011 -27.5863 0
ZINC05401914 -14.5245 0
ZINC08434928 -9.29908 0
ZINC00666409 -2.61775 0
ZINC01816658 -15.2879 0
ZINC08439606 -12.8859 0
ZINC05946142 -19.1371 0
ZINC00623335 -20.8151 0
ZINC08433182 -16.1781 0
ZINC08437945 -16.9163 0
ZINC00907580 9.85729 0
ZINC08437578 -18.8375 0
ZINC02162773 -8.41249 0
ZINC08435242 -14.4963 0
ZINC01869739 -14.5658 0
ZINC00633743 -14.4866 0
ZINC08439211 -8.80651 0
ZINC02068753 -23.1449 0
ZINC08435455 -18.8423 0
ZINC00950457 -13.8043 0
ZINC08439753 -19.8082 0
ZINC00623556 -3.73505 0
ZINC06446903 -14.1626 0
ZINC00627339 -17.0855 0
ZINC00982962 -1.78466 0
ZINC08435227 -22.3967 0
ZINC00630364 -17.5307 0
ZINC00624710 9.12405 0
ZINC08435517 -23.5342 0
ZINC08438223 -26.457 0
ZINC00819722 3.6289 0
ZINC08437919 0.687506 0
ZINC02170506 -16.5015 0
ZINC08439198 -27.2004 0
ZINC00625130 -22.3597 0
ZINC00626146 -12.2262 0
ZINC08435349 -4.41485 0
ZINC08436994 -17.5425 0
ZINC02071516 -21.0875 0
ZINC08439250 -14.7147 0
ZINC00625459 -16.7266 0
ZINC00617102 -4.29343 0
ZINC00702925 -20.6174 0
ZINC02070149 -14.5024 0
ZINC02061504 -24.2768 0
ZINC08435412 -14.2308 0
ZINC08434915 -12.8642 0
ZINC08435487 -17.0306 0
ZINC02070559 -15.671 0
ZINC08435504 -13.8072 0
ZINC00577331 -20.4248 0
ZINC02853302 -27.6723 0
ZINC00850295 -15.826 0
ZINC08438310 -19.5326 0
ZINC02170517 -22.685 0
ZINC00841851 -4.49851 0
ZINC02170853 -24.8022 0
ZINC00662865 -12.0887 0
ZINC06599869 -26.3874 0
ZINC02679337 12293.6 0
ZINC02067709 -15.1768 0
ZINC08434845 -6.44108 0
ZINC00659669 -12.2138 0
ZINC08434970 -0.826268 0
ZINC01788635 -11.1462 0
ZINC08438974 -14.7406 0
ZINC01803296 -20.0045 0
ZINC00643426 -14.5945 0
ZINC02163892 -16.1223 0
ZINC08439789 9.59167 0
ZINC06445732 -14.7363 0
ZINC00667005 3.6136 0
ZINC08433138 -4.72557 0
ZINC08439761 -19.3265 0
ZINC08435374 -22.2705 0
ZINC08434954 -29.7184 0
ZINC02063547 -17.3026 0
ZINC01777327 -15.4424 0
ZINC08435506 -14.9066 0
ZINC08433166 -14.7322 0
ZINC08438045 -10.2006 0
ZINC00645860 0.858843 0
ZINC01011086 -16.5347 0
ZINC02070362 4947.37 0
ZINC01010983 -21.6782 0
ZINC02497152 -14.0711 0
ZINC08437452 -0.864194 0
ZINC08438247 -18.0902 0
ZINC08435231 -25.581 0
ZINC00643314 -21.2601 0
ZINC08437878 -6.46912 0
ZINC08435657 -16.1224 0
ZINC02069164 -16.426 0
ZINC00856337 0.28323 0
ZINC02165251 -20.1433 0
ZINC00970803 9.14428 0
ZINC00971811 -22.7197 0
ZINC00624470 5.47824 0
ZINC08435043 -14.5146 0
ZINC00624976 -18.6418 0
ZINC00624874 4.43646 0
ZINC00381911 -9.15736 0
ZINC00667142 -17.1271 0
ZINC08434848 -19.5532 0
ZINC02064387 4.42973 0
ZINC02062194 -20.271 0
ZINC00881405 -1.15212 0
ZINC08439345 -23.9728 0
ZINC00643190 -13.5065 0
ZINC02070425 -10.0159 0
ZINC08434844 -15.284 0
ZINC08433131 -14.4714 0
ZINC00907486 -6.48361 0
ZINC02106359 -8.18113 0
ZINC02163547 2.14746 0
ZINC00675823 -7.29945 0
ZINC08439602 -23.8486 0
ZINC08438145 -11.722 0
ZINC00651676 5.43165 0
ZINC00669963 -16.9913 0
ZINC08435004 -31.3611 0
ZINC00623073 -2.43087 0
ZINC01824016 -12.4841 0
ZINC08438827 -19.7086 0
ZINC01012772 -11.3166 0
ZINC00881501 5.84472 0
ZINC00666509 -16.3819 0
ZINC00625689 -20.1808 0
ZINC00650255 -17.7314 0
ZINC00793598 0.150944 0
ZINC02069049 -14.6526 0
ZINC08438222 -14.4609 0
ZINC08435058 -14.7726 0
ZINC08435305 -21.5127 0
ZINC02071999 -3.65606 0
ZINC00624269 1.78473 0
ZINC02062344 -15.9483 0
ZINC08438954 -13.1196 0
ZINC08439303 -27.4618 0
ZINC00970540 -16.9408 0
ZINC00693831 -12.4492 0
ZINC02159750 -13.5775 0
ZINC08435163 -10.8222 0
ZINC00883750 -17.2534 0
ZINC00675399 -13.4628 0
ZINC00625093 -15.1547 0
ZINC02171063 11.7656 0
ZINC02155907 -19.7808 0
ZINC02163751 -17.938 0
ZINC04458647 17.8451 0
ZINC00646915 -18.3258 0
ZINC02162053 -19.5617 0
ZINC02106972 -17.6717 0
ZINC02068498 -18.3511 0
ZINC02171975 -22.2074 0
ZINC00723892 -4.69227 0
ZINC06443231 -17.7843 0
ZINC00676045 -16.6793 0
ZINC02170156 -14.8941 0
ZINC00864867 -22.8966 0
ZINC00675873 -16.4383 0
ZINC00890625 -15.0125 0
ZINC02062325 -27.5228 0
ZINC00387261 -10.6707 0
ZINC08433162 -22.518 0
ZINC00643543 -16.4441 0
ZINC08433094 -18.5963 0
ZINC01796011 -18.1738 0
ZINC08436850 -14.8549 0
ZINC02070961 -13.639 0
ZINC00655500 -1.98779 0
ZINC08439197 -20.5717 0
ZINC02062499 -12.9889 0
ZINC02072199 -15.1724 0
ZINC03768202 -25.1744 0
