Name Interface_Energy Label
3O5N_FRED_docked__PROTOSS_native -18.8793 1
ZINC00627177 -15.2225 0
ZINC00625093 -13.4158 0
ZINC08438109 -19.6409 0
ZINC00627441 -15.4045 0
ZINC08438257 -32.3341 0
ZINC00645502 -20.9892 0
ZINC00666632 -30.4712 0
ZINC00728019 -21.2509 0
ZINC05918870 -18.3305 0
ZINC00630211 -20.5523 0
ZINC02171029 -20.8843 0
ZINC00792906 -18.175 0
ZINC00857173 -8.92012 0
ZINC08437888 -16.2006 0
ZINC00907217 -7.14714 0
ZINC08435190 -21.038 0
ZINC00857428 -17.2487 0
ZINC08434952 -13.5336 0
ZINC02164323 -25.5909 0
ZINC08435617 -17.2879 0
ZINC02156245 -21.938 0
ZINC08439932 -12.8183 0
ZINC02061320 -3.99527 0
ZINC08439682 -16.9332 0
ZINC02062325 -26.796 0
ZINC02163701 -12.9111 0
ZINC02263440 -22.2733 0
ZINC00702814 -24.9547 0
ZINC00881828 -29.7399 0
ZINC02071405 -20.215 0
ZINC08439179 -27.0662 0
ZINC00868854 -18.3607 0
ZINC00624720 -7.62029 0
ZINC02167569 -21.9624 0
ZINC00702388 -16.8185 0
ZINC01018918 -20.5473 0
ZINC08435556 -19.5466 0
ZINC08440018 -12.8325 0
ZINC02064253 -18.1869 0
ZINC00381968 -21.2309 0
ZINC08439515 -27.0495 0
ZINC01805608 -15.383 0
ZINC01896204 -24.5261 0
ZINC08435239 -15.0716 0
ZINC08438144 -12.3424 0
ZINC08437469 -17.8333 0
ZINC02106448 -22.327 0
ZINC01891283 -24.4062 0
ZINC08433102 -22.2991 0
ZINC08434799 -17.4159 0
ZINC01891206 -18.0309 0
ZINC08439149 -14.4371 0
ZINC00723782 -3.66551 0
ZINC00651647 -8.02313 0
ZINC00630284 -7.3173 0
ZINC08433138 -19.7577 0
ZINC08437429 -26.5227 0
ZINC00643493 -14.5133 0
ZINC08435144 -15.1063 0
ZINC08433407 25.9891 0
ZINC01881429 -21.5583 0
ZINC00650255 -15.2807 0
ZINC02106628 -21.2936 0
ZINC00819704 -26.1476 0
ZINC08434879 -30.5347 0
ZINC08433133 -20.5528 0
ZINC00666393 -20.8154 0
ZINC08435308 -12.78 0
ZINC00624174 -26.0346 0
ZINC06144585 -25.2364 0
ZINC02107241 -25.0232 0
ZINC02124713 -33.0321 0
ZINC06195398 -20.1501 0
ZINC08439198 -25.8972 0
ZINC00852503 -15.4847 0
ZINC08435596 -24.097 0
ZINC00670012 -20.7702 0
ZINC08433333 -24.6477 0
ZINC02063420 -26.1161 0
ZINC08438315 -25.0327 0
ZINC00624597 -17.4268 0
ZINC00630228 -20.2313 0
ZINC00659669 -18.4315 0
ZINC02106456 -26.5147 0
ZINC08437665 -18.5517 0
ZINC08433190 -18.1452 0
ZINC08435349 -36.3612 0
ZINC02895344 -9.33649 0
ZINC01955890 -22.8553 0
ZINC02062063 -26.0611 0
ZINC08435060 -17.7208 0
ZINC08438310 -33.494 0
ZINC00666441 -28.4884 0
ZINC01011097 -18.8077 0
ZINC00856250 -25.2843 0
ZINC00621935 196.776 0
ZINC08434848 -19.7187 0
ZINC08439474 -16.6552 0
ZINC00650260 2.97395 0
ZINC02068938 -18.7943 0
ZINC08436839 -22.83 0
ZINC00881851 -23.7134 0
ZINC01011914 -12.7092 0
ZINC00666409 -8.03053 0
ZINC00865273 -25.1331 0
ZINC00627140 -7.34611 0
ZINC08435384 -30.6901 0
ZINC00646614 -21.0092 0
ZINC06407301 -28.2841 0
ZINC00657136 -26.3695 0
ZINC08434962 -23.1679 0
ZINC08435201 -18.5282 0
ZINC00970849 -17.4651 0
ZINC00878047 -7.40453 0
ZINC02106492 -26.5978 0
ZINC01802710 -10.7783 0
ZINC08433316 -13.0564 0
ZINC01012792 -14.3253 0
ZINC08433088 -18.8406 0
ZINC08438547 -8.12701 0
ZINC08437145 -26.9239 0
ZINC02067600 -25.9315 0
ZINC08435457 -18.8981 0
ZINC08435204 -0.387993 0
ZINC06195205 -19.0679 0
ZINC08435339 -19.5977 0
ZINC00678269 -17.5079 0
ZINC00622370 -21.9323 0
ZINC06194338 -25.9037 0
ZINC08439098 -21.2407 0
ZINC08439251 -24.3294 0
ZINC00624679 -13.3174 0
ZINC00853504 -19.4274 0
ZINC08434994 -21.6001 0
ZINC08438815 -22.0707 0
ZINC02171084 -19.3979 0
ZINC03066739 -23.0948 0
ZINC00662898 -20.2463 0
ZINC08438579 -21.949 0
ZINC06443231 -12.5922 0
ZINC00646876 -22.3017 0
ZINC08434809 -22.0706 0
ZINC00976249 -25.9091 0
ZINC02106359 0.932509 0
ZINC02165195 -23.8298 0
ZINC02162107 -22.3943 0
ZINC02117694 -19.1645 0
ZINC00976257 -21.0975 0
ZINC02071725 -15.2379 0
ZINC08438107 -17.924 0
ZINC01019683 -22.1643 0
ZINC01826433 -25.4335 0
ZINC00623495 -16.6657 0
ZINC08438378 -29.4289 0
ZINC02155841 -16.8923 0
ZINC08435034 -9.52436 0
ZINC00666136 -27.5964 0
ZINC08439980 -12.0259 0
ZINC02062198 -13.0933 0
ZINC00352940 -16.8369 0
ZINC01012776 -23.6186 0
ZINC00374021 -24.2047 0
ZINC08437037 6.01333 0
ZINC00974814 -19.7672 0
ZINC02170293 -24.7295 0
ZINC08435041 -10.4825 0
ZINC06444928 -18.1754 0
ZINC08439326 -37.4617 0
ZINC02069135 -16.7012 0
ZINC05556455 -14.6227 0
ZINC08439724 -21.0818 0
ZINC00872960 -21.2098 0
ZINC00633816 -14.5793 0
ZINC08438150 -22.3461 0
ZINC00975930 -20.3272 0
ZINC08436824 -21.9996 0
ZINC01882821 -19.6056 0
ZINC02159745 53.5601 0
ZINC08440017 -23.0315 0
ZINC08438247 -29.715 0
ZINC08438819 -17.8531 0
ZINC00670018 -18.7173 0
ZINC00702554 -19.2506 0
ZINC00723844 -24.5412 0
ZINC01854995 -28.0861 0
ZINC00387112 -13.5964 0
ZINC00675966 -16.3686 0
ZINC02184848 -30.0369 0
ZINC00816791 -19.4821 0
ZINC08439981 -20.3576 0
ZINC00907580 -25.5556 0
ZINC08435020 -9.89769 0
ZINC08440094 -24.1759 0
ZINC08435575 -16.6772 0
ZINC08437732 -26.0797 0
ZINC08437866 25.6558 0
ZINC08438145 -4.94402 0
ZINC08433130 -21.0701 0
ZINC00702465 0.0444491 0
ZINC02106487 -18.1133 0
ZINC00643290 -17.9702 0
ZINC01414785 2.48118 0
ZINC00877957 -16.8609 0
ZINC00660398 -20.4539 0
ZINC00971822 -24.4353 0
ZINC00643556 -24.1078 0
ZINC08437369 -18.5476 0
ZINC00646850 -17.3493 0
ZINC00857521 -18.8576 0
ZINC08439451 -20.3212 0
ZINC08434979 45.039 0
ZINC08435064 -23.0648 0
ZINC00645531 -25.2688 0
ZINC08433185 -3.77147 0
ZINC08439789 -15.5129 0
ZINC08437944 -8.15316 0
ZINC00645865 -16.7232 0
ZINC02184382 -21.3545 0
ZINC02184550 -8.13633 0
ZINC00677129 -8.20857 0
ZINC00851794 -16.6751 0
ZINC00677019 4.4845 0
ZINC08437580 -21.027 0
ZINC02106550 -24.3097 0
ZINC00630190 -23.0494 0
ZINC02163547 -18.5459 0
ZINC08440086 -31.3296 0
ZINC08439199 -26.7685 0
ZINC02156314 -19.5297 0
ZINC00888222 -18.2248 0
ZINC02154947 -30.1887 0
ZINC08435299 -12.1872 0
ZINC08439245 -24.6334 0
ZINC08437776 -25.1067 0
ZINC08437868 -21.6877 0
ZINC08435143 -18.9238 0
ZINC06177623 -27.5093 0
ZINC08436990 -16.5999 0
ZINC08438043 -21.946 0
ZINC02890864 -13.2277 0
ZINC00970719 -25.1272 0
ZINC08435392 -13.7033 0
ZINC00846261 -18.5242 0
ZINC08437990 -19.9134 0
ZINC02095844 -23.6234 0
ZINC00643427 -23.3111 0
ZINC08439090 -25.0882 0
ZINC06444397 -21.6522 0
ZINC08438488 -10.3418 0
ZINC08439761 -30.4533 0
ZINC08438050 -27.7917 0
ZINC08436994 -18.9853 0
ZINC00047416 -15.6853 0
ZINC08438948 -32.9545 0
ZINC08439297 -34.6296 0
ZINC00633982 -20.7657 0
ZINC00646537 -18.4983 0
ZINC08437945 -18.2079 0
ZINC08438807 -17.397 0
ZINC05928795 -21.9617 0
ZINC00724096 -17.3066 0
ZINC02106334 -28.7152 0
ZINC08435523 0.903099 0
ZINC01795810 -26.7377 0
ZINC02067916 -18.1012 0
ZINC02158924 -16.5161 0
ZINC04398550 -22.556 0
ZINC08438161 -21.0547 0
ZINC08437858 -9.14757 0
ZINC02170558 -17.029 0
ZINC00683837 -20.0017 0
ZINC00723971 -20.7233 0
ZINC00975109 -19.6469 0
ZINC00852701 -20.9526 0
ZINC00633754 -22.6702 0
ZINC00659550 -16.5535 0
ZINC02071443 -26.4231 0
ZINC00723850 -26.8489 0
