Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
3UR4_FRED_docked__PROTOSS_native,-29.7722,3.48944,9.4868,-3.26266,0,0,-22.5998,802.186,0,0.729503,9,0.346726,0.692067,0.307933,3784,911,1218,52,542,133,180,8,777,196,241,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.0,7.0,0.0,18.0,0.0,-123418.996736,0.0,34.0,1.0,0.0,0.0,0.0,-2.1,38.36,0.33,71.11,572.77,1
ZINC08435126,-21.8546,18.9208,3.22566,-2.25929,0,0,-11.1462,784.482,0,0.729299,9,0.398044,0.66425,0.33575,3782,879,1190,42,571,134,182,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,40,57,1,0,0,0,0,0.0,29.0,12.0,0.0,16.0,3.0,-30851.0106898,1.0,20.0,1.0,0.0,0.0,0.0,1.7,43.87,0.00,44.47,505.66,0
ZINC00970788,-23.4299,5.61849,5.5015,0.10013,0,0,-15.7199,834.445,0,0.714866,13,0.376319,0.64724,0.35276,3997,973,1296,38,610,149,201,6,608,159,191,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,11.0,0.0,19.0,0.0,-82052.6653609,0.0,18.0,0.0,0.0,0.0,0.0,.4,53.04,0.08,78.27,550.31,0
ZINC08439515,-30.3127,51.1513,11.2046,-3.38336,0,0,5.44877,969.02,0,0.760956,12,0.330092,0.703024,0.296976,4470,1072,1416,51,696,164,231,9,497,116,160,6,0,0,0,0,0,0,0,0,195,45,58,3,212,56,66,4,0,0,0,0,0,0,0,0,0.0,48.0,12.0,0.0,15.0,0.0,-63137.1318309,1.0,15.0,0.0,0.0,0.0,0.0,1.3,62.28,0.15,107.16,650.33,0
ZINC06406305,-32.0402,4.92059,9.35673,-4.8183,-9.0502e-05,0,-24.9575,822.341,1,0.732339,8,0.335581,0.727545,0.272455,4228,999,1383,54,174,43,59,2,688,156,208,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,55,66,3,0,0,0,0,0.0,52.0,9.0,0.0,27.0,3.0,13273.2164149,1.0,30.0,1.0,0.0,0.0,0.0,2.1,51.87,0.12,74.68,546.78,0
ZINC02071996,-29.3582,3.53209,12.1762,-7.58685,-0.833492,0,-23.7,872.748,1,0.714813,9,0.368649,0.678582,0.321418,3506,834,1145,40,183,43,55,2,861,208,278,11,0,0,0,0,0,0,0,0,217,54,65,3,267,62,88,4,0,0,0,0,0,0,0,0,0.0,36.0,18.0,0.0,16.0,2.0,-82331.8842491,1.0,22.0,0.0,0.0,0.0,0.0,1.2,51.27,0.24,80.75,566.63,0
ZINC00633668,-21.7458,8.06153,8.0748,1.31153,0,0,-8.98775,781.984,0,0.757056,5,0.407649,0.725432,0.274568,3792,876,1194,46,961,227,317,12,395,99,133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,15.0,0.0,9.0,3.0,-47565.1685027,0.0,10.0,1.0,0.0,0.0,0.0,-.4,49.95,0.21,98.10,577.23,0
ZINC06407300,-25.2363,4.87526,3.75774,-2.60608,0,0,-21.4569,862.587,0,0.723499,10,0.337181,0.69374,0.30626,4682,1113,1481,57,342,80,116,5,515,118,166,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40.0,8.0,0.0,16.0,0.0,28192.289144,1.0,15.0,0.0,0.0,0.0,0.0,1.3,44.06,0.33,67.43,640.70,0
ZINC08434879,-34.2246,6.53645,14.1678,-9.41083,-1.17792,0,-28.8959,1022.35,1,0.755624,15,0.358812,0.69749,0.30251,4391,1033,1411,55,743,176,231,10,1312,330,415,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,23.0,0.0,37.0,0.0,-294355.557382,1.0,28.0,1.0,0.0,0.0,0.0,-1.4,71.27,0.19,144.07,721.16,0
ZINC02067718,-21.817,4.61243,2.71551,2.01632,0,0,-15.3728,792.782,0,0.727344,7,0.438286,0.66599,0.33401,3740,913,1205,39,146,38,51,1,518,121,164,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,55,67,4,0,0,0,0,0.0,14.0,8.0,0.0,20.0,0.0,38979.6335547,0.0,15.0,0.0,0.0,0.0,0.0,-3.3,44.96,0.17,58.89,576.20,0
