Name Interface_Energy Label
3UR4_FRED_docked__PROTOSS_native -22.5998 1
ZINC08435126 -11.1462 0
ZINC00970788 -15.7199 0
ZINC08439515 5.44877 0
ZINC06406305 -24.9575 0
ZINC02071996 -23.7 0
ZINC00633668 -8.98775 0
ZINC06407300 -21.4569 0
ZINC08434879 -28.8959 0
ZINC02067718 -15.3728 0
ZINC08439353 -11.4089 0
ZINC08438454 -13.447 0
ZINC08440545 980.477 0
ZINC00626271 -22.3377 0
ZINC02163547 -20.7007 0
ZINC01011181 -18.3009 0
ZINC00838409 -11.5051 0
ZINC01758660 -34.1538 0
ZINC08437737 -26.394 0
ZINC00728048 -25.9091 0
ZINC08438101 -18.8956 0
ZINC02168153 -29.467 0
ZINC00793598 -26.0779 0
ZINC00856284 -0.775325 0
ZINC08434757 -17.2976 0
ZINC00974121 -26.1966 0
ZINC00867604 -25.2594 0
ZINC08434784 -25.8225 0
ZINC01013156 -20.535 0
ZINC08439190 -20.5951 0
ZINC08440359 -22.6567 0
ZINC02069309 -28.134 0
ZINC00630196 -8.78275 0
ZINC02067490 -19.7567 0
ZINC01011097 -16.7583 0
ZINC00666393 -1.58877 0
ZINC00728019 -22.8757 0
ZINC01797879 -14.0792 0
ZINC00630503 8.81217 0
ZINC00630190 -17.0602 0
ZINC08439350 -28.8046 0
ZINC00886465 -25.116 0
ZINC02168632 -17.1466 0
ZINC08435433 -30.0677 0
ZINC00678489 -19.572 0
ZINC00630364 -7.81871 0
ZINC08435556 -11.4948 0
ZINC08436829 -20.6292 0
ZINC02068883 -20.9276 0
ZINC08437630 -15.6362 0
ZINC08434758 -23.5692 0
ZINC08440078 -10.0587 0
ZINC08435546 -16.1717 0
ZINC00694230 -21.1205 0
ZINC02161520 -24.0136 0
ZINC02502423 -14.4879 0
ZINC08438969 -13.7423 0
ZINC08440323 -12.8453 0
ZINC08433129 -18.678 0
ZINC02062480 -23.9045 0
ZINC02063153 -31.4005 0
ZINC08438954 -10.3329 0
ZINC08438068 -18.0085 0
ZINC03240988 -11.1153 0
ZINC00625722 -13.1849 0
ZINC08435029 -21.2473 0
ZINC01013180 -15.6165 0
ZINC02184672 -23.8473 0
ZINC08440166 -22.8485 0
ZINC00655412 -26.1123 0
ZINC08438262 -1.48934 0
ZINC08439303 -27.0235 0
ZINC08435267 -21.4036 0
ZINC02117694 -25.715 0
ZINC01012772 -26.841 0
ZINC00659590 -17.4731 0
ZINC08434779 -22.8916 0
ZINC08439906 -4.06142 0
ZINC08434898 -9.70391 0
ZINC00853572 -15.5992 0
ZINC00666141 -20.8939 0
ZINC06444189 -21.2046 0
ZINC08438863 -11.546 0
ZINC02063420 -31.7035 0
ZINC08434768 -24.7478 0
ZINC08438112 -29.8435 0
ZINC08433333 -16.496 0
ZINC08435522 -1.25823 0
ZINC00646584 -21.665 0
ZINC00669196 -20.0967 0
ZINC00669333 -13.7357 0
ZINC08435330 -19.6536 0
ZINC02184438 -21.9115 0
ZINC08438185 -19.6016 0
ZINC00677017 -16.9509 0
ZINC08438247 -14.767 0
ZINC02155841 -9.7467 0
ZINC00702480 3.63957 0
ZINC00656852 -17.8449 0
ZINC08435162 -14.5581 0
ZINC00630237 -16.6448 0
ZINC08435129 -26.0295 0
ZINC08440410 -11.073 0
ZINC02165240 -18.128 0
ZINC00723892 -24.8427 0
ZINC02168962 -17.8145 0
ZINC08435312 -19.4868 0
ZINC08437830 -19.5257 0
ZINC03652438 -33.7257 0
ZINC00843796 -10.9587 0
ZINC08439721 -28.9256 0
ZINC08433189 -20.7831 0
ZINC00819726 -12.1742 0
ZINC08438646 -24.6922 0
ZINC02159700 -17.8844 0
ZINC02124697 -22.8396 0
ZINC08440654 -26.9254 0
ZINC08437959 -16.8107 0
ZINC00624095 -24.8684 0
ZINC00660886 -28.1434 0
ZINC00849793 -22.3647 0
ZINC00249053 -17.6175 0
ZINC00881828 -14.4766 0
ZINC00659550 -26.5787 0
ZINC00666178 -11.9854 0
ZINC00659329 -16.9459 0
ZINC02071270 -20.054 0
ZINC08439606 -30.1845 0
ZINC00643360 -26.1238 0
ZINC06159424 -17.7132 0
ZINC01019586 -23.4932 0
ZINC00646484 -16.0188 0
ZINC00643556 -27.3223 0
ZINC06142777 -28.6379 0
ZINC08434853 -18.9081 0
ZINC00623497 -19.554 0
ZINC02067802 -17.3997 0
ZINC08439652 -23.7355 0
ZINC08434763 -22.1901 0
ZINC08439974 -23.5486 0
ZINC06444396 -29.3223 0
ZINC08433107 -16.5319 0
ZINC08434958 -11.3202 0
ZINC01013036 -10.0875 0
ZINC00645538 -11.6764 0
ZINC00633887 -8.97779 0
ZINC08440675 -33.9207 0
ZINC06445981 -19.5665 0
ZINC03584707 -27.3522 0
ZINC08436850 -21.5792 0
ZINC06270551 -30.0356 0
ZINC01012866 -16.8038 0
ZINC08439635 -22.3331 0
ZINC02071955 -25.4592 0
ZINC08440287 -24.3391 0
ZINC08437454 -21.6911 0
ZINC02063121 -18.5659 0
ZINC08433156 -36.5415 0
ZINC08440140 -9.94096 0
ZINC00976257 -30.5343 0
ZINC00723983 -22.0601 0
ZINC02129169 -22.6147 0
ZINC08435299 -20.5257 0
ZINC02170835 -23.7689 0
ZINC08435394 -18.1949 0
ZINC08439994 -22.2546 0
ZINC00971704 -20.8661 0
ZINC06135667 -21.1717 0
ZINC08436839 -25.9698 0
ZINC00651582 -25.399 0
ZINC08436975 -31.782 0
ZINC00627339 -15.9308 0
ZINC08435427 -24.3607 0
ZINC00976382 -15.4373 0
ZINC08434970 -17.8721 0
ZINC00828732 -8.13632 0
ZINC00853494 -19.3296 0
ZINC08438755 -26.0384 0
ZINC02070559 -25.3098 0
ZINC00623780 -15.2674 0
ZINC00881538 -25.4021 0
ZINC01802675 -24.9333 0
ZINC00890083 -16.2853 0
ZINC00694321 -0.490977 0
ZINC04177648 2.76127 0
ZINC00852503 -14.5619 0
