Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
3VKX_FRED_docked__PROTOSS_native,-21.0649,3.53107,10.4023,-6.76473,-0.413708,-1.91967,-17.244,653.709,3,0.561101,1,0.449497,0.77091,0.22909,1777,380,461,14,119,31,36,0,461,94,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,72,83,3,0.0,33.0,12.0,0.0,1.0,11.0,-199887.532819,3.0,13.0,0.0,0.0,0.0,0.0,-5.3,41.27,0.13,92.78,454.14,1
ZINC00625689,-21.4581,4.00664,4.01115,0.511561,0,0,-15.4294,710.819,0,0.579504,1,0.459535,0.761775,0.238225,2403,529,629,20,508,121,138,5,339,73,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0,3.0,0.0,3.0,8.0,22275.4882443,0.0,18.0,0.0,0.0,0.0,0.0,-1.9,44.71,0.52,91.14,660.81,0
ZINC08439592,-34.2494,6.55433,5.40274,-3.90323,0,0,-30.3117,1047.01,0,0.556787,5,0.530767,0.778775,0.221225,4430,1017,1215,38,594,136,170,6,160,39,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,38.0,31.0,0.0,25.0,8.0,-42052.6204084,1.0,44.0,1.0,0.0,0.0,0.0,-.8,59.25,0.39,88.74,1022.82,0
ZINC01802668,-25.8722,34.3906,3.60771,-2.37548,0,0,-5.88317,707.531,0,0.630023,5,0.491885,0.796005,0.203995,2626,580,658,19,420,102,99,4,313,68,77,3,0,0,0,0,0,0,0,0,365,80,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,10.0,0.0,4.0,10.0,-23235.5332414,1.0,19.0,0.0,0.0,0.0,0.0,-2.1,51.88,0.33,85.59,580.75,0
ZINC08436943,-29.8864,7.35733,-0.918162,0.41307,0,0,-26.5565,986.16,0,0.638263,5,0.423729,0.759494,0.240506,3598,792,937,30,90,20,26,1,465,98,125,5,0,0,0,0,0,0,0,0,73,14,19,1,263,62,72,2,0,0,0,0,0,0,0,0,0.0,24.0,8.0,0.0,2.0,13.0,12688.5504084,0.0,27.0,0.0,0.0,0.0,0.0,.5,73.91,0.09,80.75,791.21,0
ZINC08439772,-28.591,5.83091,3.42969,-0.753126,0,0,-23.433,763.64,0,0.591856,4,0.460579,0.713779,0.286221,3167,650,781,22,196,43,49,2,535,111,133,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32.0,7.0,0.0,19.0,7.0,-35406.2365729,0.0,27.0,0.0,0.0,0.0,0.0,-4.0,52.96,0.23,85.89,667.68,0
ZINC00643493,-26.1729,58.9258,9.35388,0.19835,0,0,15.5059,693.546,0,0.620589,3,0.439334,0.73158,0.26842,2274,496,578,18,341,81,85,3,485,114,130,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,26,28,1,0,0,0,0,0.0,18.0,7.0,0.0,3.0,15.0,-84986.8268174,1.0,11.0,0.0,0.0,0.0,0.0,-2.5,42.22,0.28,80.76,508.88,0
ZINC08434960,-33.5524,28.1441,8.27748,0.980682,0,0,-9.65684,944.665,0,0.609508,6,0.429615,0.744185,0.255815,3202,732,834,27,544,119,135,5,693,158,178,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,8.0,0.0,6.0,30.0,-129469.704073,3.0,21.0,0.0,0.0,0.0,0.0,-6.4,57.52,0.33,144.50,751.04,0
ZINC08437902,-23.5023,7.56821,6.33228,-3.87557,0,0,-17.5733,676.89,0,0.593185,1,0.497232,0.753219,0.246781,2383,524,632,22,182,42,48,1,326,72,92,2,142,34,39,1,0,0,0,0,105,23,25,0,0,0,0,0,57,17,22,1,0,0,0,0,0.0,28.0,4.0,0.0,2.0,22.0,-70359.2236897,0.0,18.0,0.0,0.0,0.0,0.0,-6.6,58.30,0.18,81.42,616.70,0
ZINC00088170,-16.6412,3.93849,-2.28164,-0.651416,0,0,-17.2576,415.609,0,0.610907,1,0.453611,0.71043,0.28957,1614,356,437,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,49,47,2,0,0,0,0,0.0,16.0,0.0,0.0,4.0,4.0,3090.54041497,0.0,13.0,0.0,0.0,0.0,0.0,-.8,22.68,0.00,0.00,246.92,0
ZINC04669031,-12.0869,1.21725,9.56413,-5.2886,0,0,-7.57997,544.585,0,0.579442,3,0.515789,0.784007,0.215993,1064,229,272,9,217,43,60,2,697,143,180,6,511,118,144,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,5.0,0.0,3.0,4.0,4258.54417116,0.0,4.0,0.0,0.0,0.0,0.0,-7.6,67.22,0.60,110.80,423.08,0
ZINC08438579,-23.0179,41.3213,0.847548,1.60805,0,0,1.66131,751.197,0,0.595492,4,0.494863,0.795083,0.204917,2817,619,722,27,65,15,18,1,710,143,180,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,4.0,0.0,8.0,11.0,-23541.3462242,1.0,19.0,0.0,0.0,0.0,0.0,-3.5,34.78,0.67,93.14,778.16,0
ZINC02063637,-16.1588,2.54664,1.63175,-1.24155,0,0,-14.8542,605.263,0,0.553971,1,0.519194,0.792804,0.207196,2179,488,548,19,224,43,55,2,147,33,37,2,405,95,108,3,0,0,0,0,85,16,26,1,0,0,0,0,117,28,31,0,0,0,0,0,1.0,17.0,6.0,0.0,2.0,3.0,-37018.4557659,0.0,10.0,0.0,0.0,0.0,0.0,-2.2,61.89,0.05,51.22,463.53,0
ZINC08439819,-20.0492,37.5595,1.60154,1.17909,0,0,2.44423,681.442,0,0.537418,2,0.506522,0.690117,0.309883,1910,454,511,19,429,105,103,4,345,72,87,4,0,0,0,0,0,0,0,0,84,17,21,1,0,0,0,0,124,26,32,1,0,0,0,0,0.0,10.0,13.0,0.0,4.0,20.0,-67266.7137,2.0,11.0,0.0,0.0,0.0,0.0,-2.7,49.51,0.21,107.94,581.19,0
ZINC06195024,-16.7406,3.19537,6.1406,-1.18747,0,0,-10.5529,635.575,0,0.55891,3,0.502924,0.775524,0.224476,2351,543,637,23,536,112,131,5,364,90,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.0,10.0,0.0,1.0,6.0,47395.3345738,0.0,15.0,0.0,0.0,0.0,0.0,-1.8,44.93,0.39,145.39,580.82,0
ZINC00817538,-24.8594,31.6496,0.176881,-3.20211,0,0,-10.8227,726.607,0,0.592429,2,0.457466,0.812185,0.187815,2605,590,658,20,467,99,117,4,87,20,23,1,0,0,0,0,0,0,0,0,92,22,24,1,0,0,0,0,121,29,32,1,0,0,0,0,0.0,27.0,6.0,0.0,11.0,10.0,-62365.9160858,1.0,25.0,1.0,0.0,0.0,0.0,-3.7,45.50,0.19,59.81,552.25,0
ZINC01739800,-23.8738,9.44079,10.6619,-5.85264,-0.880116,-1.09957,-17.0207,699.62,2,0.618137,4,0.395939,0.741277,0.258723,1796,404,467,14,724,162,176,6,589,128,149,4,0,0,0,0,0,0,0,0,0,0,0,0,152,34,41,1,0,0,0,0,0,0,0,0,0.0,34.0,21.0,0.0,18.0,11.0,-161695.680172,5.0,18.0,0.0,0.0,0.0,0.0,-3.7,56.74,0.00,165.36,433.09,0
ZINC08435004,-24.9488,5.9876,3.38569,-5.48049,0,-0.782247,-24.9911,707.166,1,0.557801,3,0.477511,0.79881,0.20119,2675,585,713,23,583,133,166,5,727,163,200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,21.0,0.0,0.0,3.0,-143199.621617,2.0,20.0,0.0,0.0,0.0,0.0,-1.9,74.68,0.04,152.73,630.22,0
