Name Interface_Energy Label
3VKX_FRED_docked__PROTOSS_native -17.244 1
ZINC00625689 -15.4294 0
ZINC08439592 -30.3117 0
ZINC01802668 -5.88317 0
ZINC08436943 -26.5565 0
ZINC08439772 -23.433 0
ZINC00643493 15.5059 0
ZINC08434960 -9.65684 0
ZINC08437902 -17.5733 0
ZINC00088170 -17.2576 0
ZINC04669031 -7.57997 0
ZINC08438579 1.66131 0
ZINC02063637 -14.8542 0
ZINC08439819 2.44423 0
ZINC06195024 -10.5529 0
ZINC00817538 -10.8227 0
ZINC01739800 -17.0207 0
ZINC08435004 -24.9911 0
ZINC06475513 -18.7232 0
ZINC00210133 -12.9601 0
ZINC00728004 -20.0201 0
ZINC08434906 -28.0148 0
ZINC08438185 -31.2245 0
ZINC01891300 -7.05318 0
ZINC02164252 -25.4688 0
ZINC00723844 -8.80902 0
ZINC02062436 -21.3862 0
ZINC08435476 -18.2502 0
ZINC00629925 -20.2983 0
ZINC01761882 -16.7865 0
ZINC08435496 -10.1259 0
ZINC08434865 -17.3796 0
ZINC00971749 -27.2367 0
ZINC08438450 -28.3616 0
ZINC00702307 -19.2786 0
ZINC02184848 -20.0264 0
ZINC08439761 -19.5967 0
ZINC00660374 -18.4713 0
ZINC08438145 4.61801 0
ZINC08435295 -22.9488 0
ZINC02679431 -26.8692 0
ZINC00624089 -19.1858 0
ZINC00633747 -18.7377 0
ZINC08439395 -14.5101 0
ZINC06475196 -5.27394 0
ZINC00716242 -12.9809 0
ZINC03066739 -20.3686 0
ZINC00860537 -16.7913 0
ZINC08435461 -25.6748 0
ZINC08437651 -12.3359 0
ZINC00624752 21.2821 0
ZINC00851613 -22.0622 0
ZINC06142777 -17.654 0
ZINC00974188 -20.7084 0
ZINC08437878 -11.3425 0
ZINC00646561 -12.0184 0
ZINC08434955 -3.3424 0
ZINC00703147 -19.9493 0
ZINC00892111 -16.6073 0
ZINC00702563 -19.348 0
ZINC08438972 -21.118 0
ZINC00975539 -25.1373 0
ZINC08436824 2.61607 0
ZINC08433221 -11.1126 0
ZINC08439724 -19.4526 0
ZINC00643400 -17.5557 0
ZINC06445732 -1.20303 0
ZINC08438008 -22.8094 0
ZINC08438315 -26.8614 0
ZINC00976257 -15.9752 0
ZINC03240988 -18.0476 0
ZINC08435041 -19.7555 0
ZINC00633816 -15.9504 0
ZINC01882830 -20.2843 0
ZINC02758246 -21.1116 0
ZINC08434982 -25.5904 0
ZINC06996433 -22.3227 0
ZINC00852837 -19.1178 0
ZINC08434829 -21.7131 0
ZINC05685816 -13.1154 0
ZINC08434788 -25.5931 0
ZINC02162038 -18.8159 0
ZINC02169708 -20.4169 0
ZINC02161926 -20.8828 0
ZINC08437884 -26.9446 0
ZINC00881405 -30.0183 0
ZINC02061363 -24.3326 0
ZINC08435573 -18.2754 0
ZINC00877702 -15.5203 0
ZINC08436975 -25.6662 0
ZINC00645295 -1.78696 0
ZINC01019586 -25.2484 0
ZINC00878053 -8.61135 0
ZINC00662865 -18.4291 0
ZINC08437725 -28.3172 0
ZINC08435137 -15.31 0
ZINC00890083 -6.12046 0
ZINC08437554 -18.9287 0
ZINC00624761 -26.1507 0
ZINC00646194 -22.8363 0
ZINC08435170 -28.1015 0
ZINC06444326 -18.2257 0
ZINC00881863 -25.5981 0
ZINC08435596 -22.0457 0
ZINC01011448 -12.1664 0
ZINC00660704 -20.3831 0
ZINC08438819 -18.0448 0
ZINC06446786 -23.2008 0
ZINC00643341 -23.2997 0
ZINC08437090 -22.7308 0
ZINC08434759 -23.2489 0
ZINC05949888 -13.355 0
ZINC00646850 -20.0736 0
ZINC08439908 -15.9873 0
ZINC02171057 -18.3571 0
ZINC05520252 -15.8016 0
ZINC02502143 -23.8748 0
ZINC08438191 -24.4779 0
ZINC00633972 -15.4813 0
ZINC02071445 -17.8312 0
ZINC01803296 -30.4662 0
ZINC08438172 -22.824 0
ZINC00646484 -19.7709 0
ZINC00666136 -22.6612 0
ZINC00624620 -28.7165 0
ZINC00676399 -1.86491 0
ZINC00624750 -22.5469 0
ZINC02168759 -7.40115 0
ZINC08436823 -28.8403 0
ZINC08437959 -19.2639 0
ZINC08438826 -18.4979 0
ZINC00715097 -19.7025 0
ZINC00675966 -30.5393 0
ZINC02064387 -6.90242 0
ZINC06177106 -24.4478 0
ZINC08438393 8.96029 0
ZINC02792909 -10.3511 0
ZINC08435296 -17.6262 0
ZINC08435117 -21.1298 0
ZINC00623995 5.22755 0
ZINC00633953 11.5172 0
ZINC08437731 -28.1184 0
ZINC06303157 -17.1567 0
ZINC08435281 -17.634 0
ZINC02165054 -8.47968 0
ZINC00924601 -23.1411 0
ZINC00667005 -11.8934 0
ZINC00368131 -15.6979 0
ZINC08435623 -8.42524 0
ZINC02163126 -11.6364 0
ZINC00881552 -30.2462 0
ZINC02171029 -26.5881 0
ZINC06194872 -21.8254 0
ZINC00624568 -16.0104 0
ZINC08435336 -30.5846 0
ZINC08439048 -24.014 0
ZINC00883748 -20.3579 0
ZINC08433187 -20.1693 0
ZINC02062386 -27.1305 0
ZINC00659475 -10.6915 0
ZINC08438942 -21.4798 0
ZINC08438969 -6.04951 0
ZINC02062503 -19.9214 0
ZINC00659009 -1.26128 0
ZINC00144565 -17.9718 0
ZINC08438454 -19.3199 0
ZINC08439791 -1.38628 0
ZINC00623780 -9.92181 0
ZINC08439157 -24.664 0
ZINC08438088 -8.42902 0
ZINC01875590 -20.8554 0
ZINC00702440 -5.31601 0
ZINC08436871 5.10708 0
ZINC08437799 -23.7277 0
