Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
3ZRC_FRED_docked__PROTOSS_native,-1.13361,0.0308219,1.72661,-2.26835,0,0,-1.36591,75.7333,0,0.506005,0,0.944395,0.204969,0.795031,172,45,96,0,28,7,19,0,56,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,-55226.2190761,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,53.12,0.33,121.70,571.72,1
ZINC01865711,-0.0569212,0,-0.00415532,-0.00974149,0,0,-0.070818,54.8126,0,0.612247,0,0.964461,1,7.08982e-13,503,104,154,0,0,0,0,0,109,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,59.47,0.12,78.88,624.15,0
ZINC08434760,-31.4671,1117.25,13.0661,0.637616,0,0,595.946,745.582,0,0.647044,6,0.475166,0.626807,0.373193,2470,661,550,0,335,89,71,0,346,90,79,0,0,0,0,0,0,0,0,0,437,114,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0.0,0.0,15.0,0.0,105185.167983,2.0,23.0,0.0,0.0,0.0,0.0,-5.3,48.76,0.32,53.09,565.86,0
ZINC02171078,-27.2215,6.29898,8.54323,-0.873951,0,0,-17.3079,623.565,0,0.554824,3,0.490355,0.817179,0.182821,2652,640,594,0,293,73,63,0,280,68,68,0,474,107,90,0,0,0,0,0,237,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87.0,1.0,0.0,0.0,1.0,-27455.6119242,0.0,37.0,3.0,0.0,0.0,0.0,-2.0,66.21,0.09,51.22,541.71,0
ZINC08437931,-0.534013,0,1.11648,-1.66808,0,0,-1.25496,97.3436,0,0.502816,0,0.942068,0,1,126,110,38,0,32,18,12,0,42,23,16,0,2,2,0,0,0,0,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,3899.05881,0.0,0.0,0.0,0.0,0.0,0.0,-7.8,76.76,0.18,90.87,801.82,0
ZINC00645888,-19.3906,3.63206,4.52256,-2.61456,0,0,-16.2619,641.926,0,0.599421,2,0.518409,0.615765,0.384235,2464,654,628,0,240,63,61,0,504,137,133,0,0,0,0,0,0,0,0,0,0,0,0,0,105,26,23,0,0,0,0,0,0,0,0,0,0.0,47.0,4.0,0.0,7.0,0.0,-48405.6626957,1.0,24.0,0.0,0.0,0.0,0.0,-5.1,55.78,0.13,85.89,593.32,0
ZINC08433166,-30.8559,9.20388,0.570656,-0.256371,0,0,-25.6164,730.761,0,0.553052,3,0.447984,0.76234,0.23766,3484,895,779,0,256,66,56,0,249,62,65,0,0,0,0,0,0,0,0,0,136,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,3.0,0.0,20.0,1.0,15147.8722112,1.0,55.0,3.0,0.0,0.0,0.0,-3.8,49.14,0.07,52.08,585.10,0
ZINC08435504,-22.283,11.431,5.98086,-2.1235,-0.969885,0,-13.89,634.46,1,0.651772,2,0.49135,0.741828,0.258172,2450,622,527,0,389,93,84,0,362,91,72,0,237,67,58,0,0,0,0,0,0,0,0,0,119,33,31,0,0,0,0,0,0,0,0,0,0.0,50.0,1.0,0.0,26.0,0.0,77365.4458212,4.0,24.0,1.0,0.0,0.0,0.0,-3.4,64.61,0.21,90.79,526.52,0
ZINC02162107,-28.4009,5.56084,4.38602,-0.431806,0,0,-22.7576,790.698,0,0.591037,5,0.465712,0.690138,0.309862,2958,794,698,0,242,59,59,0,579,158,128,0,0,0,0,0,0,0,0,0,0,0,0,0,129,33,27,0,0,0,0,0,0,0,0,0,0.0,74.0,7.0,0.0,14.0,2.0,130611.560018,1.0,41.0,2.0,0.0,0.0,0.0,-3.4,62.47,0.08,93.71,609.52,0
ZINC06144027,-24.4173,5.10614,6.99627,-3.41031,0,-0.792866,-20.0202,655.973,1,0.637504,1,0.516004,0.789535,0.210465,2796,703,658,0,249,54,57,0,741,181,161,0,0,0,0,0,0,0,0,0,252,66,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0.0,0.0,4.0,0.0,17916.4196232,2.0,28.0,0.0,0.0,0.0,0.0,-3.0,61.94,0.17,96.80,588.35,0
