Name Interface_Energy Label
3ZRC_FRED_docked__PROTOSS_native -1.36591 1
ZINC01865711 -0.070818 0
ZINC08434760 595.946 0
ZINC02171078 -17.3079 0
ZINC08437931 -1.25496 0
ZINC00645888 -16.2619 0
ZINC08433166 -25.6164 0
ZINC08435504 -13.89 0
ZINC02162107 -22.7576 0
ZINC06144027 -20.0202 0
ZINC00848995 1.39629 0
ZINC02163114 -8.33103 0
ZINC00828013 -13.1695 0
ZINC00674474 -5.42196 0
ZINC02666666 -0.15254 0
ZINC08438938 -23.9403 0
ZINC08435409 -22.1235 0
ZINC00187217 8225.97 0
ZINC08438491 -21.6788 0
ZINC08437732 -20.1567 0
ZINC00869048 -10.9138 0
ZINC08437454 -18.0043 0
ZINC08439886 -19.8842 0
ZINC00702446 -13.4909 0
ZINC08439908 -15.9239 0
ZINC00643502 4.39487 0
ZINC02067490 -30.0139 0
ZINC00643405 -23.9008 0
ZINC08440086 -24.6939 0
ZINC08437570 0.0788987 0
ZINC08435064 -17.0801 0
ZINC02503433 -18.4531 0
ZINC08435377 -16.171 0
ZINC08435606 -4.5199 0
ZINC08433417 -15.3954 0
ZINC00624418 -14.622 0
ZINC08439859 -13.5611 0
ZINC08435172 -25.6932 0
ZINC06177695 2709.8 0
ZINC08435474 -18.9591 0
ZINC08437545 -17.9256 0
ZINC00660357 -14.3769 0
ZINC08438503 -19.2184 0
ZINC00633947 -25.1476 0
ZINC00881526 2.32023 0
ZINC00645583 -6.40205 0
ZINC00623284 -22.5048 0
ZINC00624571 -24.6644 0
ZINC00666441 -5.07897 0
ZINC02282159 -24.0721 0
ZINC00723782 -22.7519 0
ZINC00659022 -17.668 0
ZINC08440140 -12.5736 0
ZINC08433187 -17.9648 0
ZINC08435522 -6.81574 0
ZINC00677375 -23.7495 0
ZINC00624057 -18.6832 0
ZINC00623808 -24.2735 0
ZINC00856250 -24.0436 0
ZINC00666141 -19.1322 0
ZINC00892111 -20.4696 0
ZINC02862369 -16.932 0
ZINC00666145 -17.2375 0
ZINC02167569 -0.125004 0
ZINC00869085 -23.4192 0
ZINC00868901 -20.11 0
ZINC08440152 -10.2268 0
ZINC08433186 -24.3006 0
ZINC02107241 101.868 0
ZINC00669589 -24.1299 0
ZINC00848993 -6.03171 0
ZINC02159327 -19.0609 0
ZINC08436943 -27.9939 0
ZINC02107262 -27.3334 0
ZINC00711910 -22.8379 0
ZINC08435303 -13.2458 0
ZINC08433104 -17.9673 0
ZINC00853572 -22.2795 0
ZINC08433112 -14.7258 0
ZINC00633829 -2.36973 0
ZINC00702801 -25.018 0
ZINC02951289 -16.0232 0
ZINC02070559 -17.5345 0
ZINC01882821 -21.4778 0
ZINC03066739 -18.1567 0
ZINC08435276 -9.86795 0
ZINC00719691 5531.83 0
ZINC00646911 -19.4981 0
ZINC02170998 243.576 0
ZINC08434845 4.37876 0
ZINC00643556 0.072237 0
ZINC00646870 -6.68865 0
ZINC06144551 -0.227703 0
ZINC08440135 -16.9712 0
ZINC08434782 -29.9065 0
ZINC02067505 -24.8694 0
ZINC08438028 -16.9166 0
ZINC00702681 -9.37099 0
ZINC08438225 -23.4267 0
ZINC08439608 282.984 0
ZINC00971749 -18.0489 0
ZINC08438103 -26.1683 0
ZINC01797117 -7.79906 0
