Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
4E1N_FRED_docked__PROTOSS_native,-31.7643,8.2711,3.14925,-5.27578,-1.93072,0,-31.6454,772.494,1,0.535082,4,0.310847,0.665102,0.334898,3542,982,988,26,107,34,33,1,493,135,131,4,174,45,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,17.0,14.0,0.0,8.0,-250100.446606,1.0,27.0,0.0,0.0,0.0,0.0,.2,53.87,0.38,68.65,657.53,7.211096160593067,6.822574348706838,6.895759587523596,6.599161896492396,7.453807765819232,6.9059532393643925,7.4026,-9.976779099263162,1,5.99199897474
ZINC08440029,-33.6087,6.8956,13.2725,-8.95634,0,-1.76231,-28.6817,894.946,2,0.569715,4,0.39764,0.631601,0.368399,2880,812,821,26,594,160,172,5,743,213,220,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,59,66,2,0,0,0,0,62.0,0.0,13.0,3.0,0.0,25.0,17386.0050483,3.0,23.0,0.0,0.0,0.0,0.0,-2.3,73.83,0.27,136.45,732.15,6.873384423066812,7.58978486544175,7.184086064380064,6.977272169996668,5.892322721774661,5.4540128286807334,6.5517,-7.097045470440713,0,5.96005099155
ZINC08439889,-26.4751,5.78801,7.98352,-2.99828,0,0,-18.7902,760.925,0,0.502785,4,0.502093,0.681177,0.318823,2891,817,802,26,372,107,110,3,459,133,135,3,79,26,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0.0,22.0,5.0,0.0,9.0,1546.02781497,0.0,20.0,0.0,0.0,0.0,0.0,-3.2,36.96,0.68,63.27,769.33,6.540687748453804,6.881765895881894,6.375406167874599,6.6936403335553365,4.304307193981252,5.267931219861859,6.384600000000002,-7.308459479930917,0,5.97237861718
ZINC06147567,-22.4277,5.90844,0.628252,-1.49948,0,0,-19.9009,574.125,0,0.54491,1,0.354482,0.692576,0.307424,2197,597,611,14,139,38,40,1,247,71,70,2,0,0,0,0,0,0,0,0,139,37,37,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0.0,6.0,6.0,0.0,2.0,1168.00393049,0.0,26.0,0.0,0.0,0.0,0.0,-1.7,25.02,0.57,46.17,422.96,5.931912583728129,5.427814523643025,5.195626640914638,5.29278356804307,4.5735740597053685,5.01309124981018,6.725599999999998,-6.443512827362145,0,5.95460732578
ZINC00624606,-39.7862,34.9597,8.69863,-5.80446,0,0,-19.7425,817.843,0,0.555499,7,0.388601,0.717787,0.282213,3067,822,840,23,657,185,180,5,83,21,26,1,0,0,0,0,0,0,0,0,131,38,35,1,126,32,35,1,58,15,15,1,0,0,0,0,44.0,0.0,32.0,18.0,0.0,30.0,-175125.657648,3.0,32.0,0.0,0.0,0.0,0.0,-2.4,54.96,0.09,85.83,587.82,7.998382528808304,7.2167955563880595,7.097720202242206,7.1475844911754995,5.3308395793936825,5.900119022163926,6.443500000000001,-8.944322596882289,0,6.05787850586
ZINC00633899,-32.7858,76.5668,11.3627,-1.63239,-1.41984,0,17.2142,747.62,1,0.544234,9,0.346524,0.664764,0.335236,2272,634,625,17,692,194,193,5,280,70,75,2,165,46,43,1,0,0,0,0,257,70,74,2,0,0,0,0,115,29,30,1,0,0,0,0,49.0,0.0,24.0,6.0,0.0,32.0,-66114.0539052,3.0,17.0,0.0,0.0,0.0,0.0,-5.5,56.99,0.18,88.91,520.95,7.2946966701862666,7.447275671439675,7.204065520673771,7.146344359751357,5.1843578924588885,5.469945912590378,6.708300000000003,-5.019501732750699,0,5.97093610759
ZINC02070018,-33.8776,7.18756,-0.0172269,0.398262,0,0,-31.0531,831.439,0,0.550243,3,0.391468,0.707136,0.292864,3354,908,929,26,378,110,100,3,121,32,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,63,63,2,0,0,0,0,47.0,0.0,20.0,5.0,0.0,4.0,-11720.238507,0.0,37.0,0.0,0.0,0.0,0.0,.8,51.55,0.00,61.03,566.36,6.283995594171475,6.892712591242086,6.853054514041514,7.008482240259739,4.241118767714557,6.804587916753429,6.484200000000004,-9.628542124665811,0,6.10834701756
ZINC08438225,-36.244,6.3691,12.3841,-7.70743,0,-0.0520835,-30.1223,935.014,1,0.552999,5,0.423788,0.705095,0.294905,3068,802,839,27,236,63,63,2,890,232,250,7,0,0,0,0,0,0,0,0,150,44,41,1,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0.0,26.0,10.0,0.0,5.0,61306.6015615,0.0,30.0,0.0,0.0,0.0,0.0,-5.4,59.23,0.33,111.24,724.41,7.320445396373219,6.711562421522923,6.516749089632588,6.355802105783103,4.975136498152574,5.19215758747594,6.0889999999999995,-6.721224280735259,0,6.02674153087
ZINC02237028,-29.5886,6.3689,1.53327,-0.362117,0,0,-26.6093,845.064,0,0.566389,6,0.410548,0.748167,0.251833,3017,794,849,26,560,154,153,4,139,33,38,2,0,0,0,0,0,0,0,0,0,0,0,0,75,19,18,1,0,0,0,0,0,0,0,0,35.0,0.0,18.0,6.0,0.0,8.0,-50730.3992185,0.0,29.0,0.0,0.0,0.0,0.0,-2.3,52.99,0.27,69.04,649.88,7.049638388461675,6.917537658730161,6.426533899156398,7.006399971528476,4.26785817723625,5.721233059921582,6.8107999999999995,-7.270623157041788,0,5.98150368848
ZINC05949888,-31.4462,4.347,6.44256,0.761877,0,0,-23.2239,828.45,0,0.56696,4,0.420161,0.723376,0.276624,3187,837,885,29,458,118,131,3,286,82,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0.0,22.0,12.0,0.0,5.0,35611.011027,0.0,30.0,0.0,0.0,0.0,0.0,-3.0,35.96,0.45,62.10,660.84,7.289005225536525,6.958732065503121,6.552041475524477,6.963105225496723,4.053889259919345,4.558033453894565,6.6426000000000025,-9.288506845676041,0,6.02027136417
