Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
4ERF_FRED_docked__PROTOSS_native,-33.2679,5.95728,4.33072,-6.94109,0,-3.08621,-35.651,758.975,2,0.698177,2,0.408294,0.74257,0.25743,3927,853,857,52,156,35,33,1,430,99,102,4,0,0,0,0,0,0,0,0,0,0,0,0,366,80,86,5,0,0,0,0,0,0,0,0,47.0,2.0,20.0,6.0,0.0,3.0,-395577.190359,2.0,29.0,1.0,0.0,1.0,2.0,-1.1,49.56,0.44,77.84,675.17,1
ZINC08438410,-33.6696,7.7152,5.4248,-3.98807,0,0,-28.8638,824.976,0,0.648256,6,0.422393,0.665254,0.334746,2934,691,680,34,915,202,206,14,279,65,72,3,52,17,15,0,0,0,0,0,303,70,70,4,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0.0,37.0,1.0,0.0,7.0,-9396.80158886,1.0,22.0,1.0,0.0,1.0,0.0,-1.3,60.61,0.17,101.80,630.14,0
ZINC00627441,-27.5497,4.5833,6.28644,-2.40777,0,0,-22.3428,748.743,0,0.659761,2,0.394188,0.774746,0.225254,3811,807,829,48,511,107,104,8,528,112,110,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0.0,5.0,12.0,0.0,1.0,-24113.2675732,0.0,31.0,1.0,0.0,1.0,0.0,-2.5,43.68,0.35,89.95,647.57,0
ZINC08438588,-29.6026,6.53803,1.63865,-2.56836,0,0,-27.9135,793.979,0,0.680377,5,0.384127,0.778339,0.221661,3997,879,876,57,0,0,0,0,1041,211,216,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1.0,17.0,14.0,0.0,3.0,-27033.686626,0.0,23.0,1.0,0.0,1.0,0.0,-.3,35.32,0.65,89.90,724.00,0
ZINC08439008,-29.7509,7.56396,1.6183,-3.62617,0,0,-27.4415,754.92,0,0.688367,2,0.432792,0.779919,0.220081,3671,781,785,55,139,31,32,1,638,142,148,6,0,0,0,0,0,0,0,0,131,31,28,1,230,47,50,4,0,0,0,0,0,0,0,0,36.0,0.0,2.0,10.0,0.0,2.0,-39655.9678125,0.0,21.0,0.0,0.0,1.0,0.0,-1.1,61.22,0.19,76.82,652.62,0
ZINC00147704,-18.572,3.51105,3.37917,-1.76742,0,0,-15.7777,573.234,0,0.630596,4,0.416715,0.809391,0.190609,2072,438,447,27,191,38,38,4,598,124,128,11,136,36,32,1,0,0,0,0,197,41,38,4,174,37,39,2,0,0,0,0,0,0,0,0,11.0,1.0,9.0,13.0,0.0,1.0,13349.534682,1.0,13.0,0.0,0.0,0.0,0.0,-3.6,49.95,0.14,64.63,408.55,0
ZINC08438090,-30.4993,6.92831,-0.707395,-1.07593,0,0,-29.8816,887.15,0,0.6362,3,0.412649,0.752108,0.247892,4644,996,1042,54,507,103,101,8,402,91,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,2.0,8.0,10.0,0.0,2.0,22306.1047191,0.0,32.0,0.0,0.0,0.0,0.0,-2.4,55.58,0.25,54.37,744.28,0
ZINC08435628,-21.7694,5.94407,0.900492,3.82997,0,0,-13.8964,576.205,0,0.641867,1,0.466897,0.864837,0.135163,2853,586,620,41,822,172,174,11,616,133,134,9,0,0,0,0,0,0,0,0,106,22,20,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2.0,8.0,11.0,0.0,4.0,73884.4099207,0.0,26.0,0.0,0.0,0.0,0.0,-1.9,55.24,0.12,141.39,481.07,0
ZINC08435004,-30.104,6.60217,0.113929,-5.30383,0,0,-32.4309,810.774,0,0.707554,4,0.424483,0.773999,0.226001,3803,857,873,51,788,172,170,12,853,190,193,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,3.0,22.0,3.0,0.0,1.0,137038.949671,1.0,27.0,0.0,0.0,0.0,0.0,-.4,74.68,0.04,152.73,646.11,0
ZINC00625336,-19.7063,23.9794,3.75184,-3.14308,0,0,-6.48149,641.74,0,0.641647,1,0.519123,0.61491,0.38509,2696,637,639,35,371,88,90,6,265,62,57,3,0,0,0,0,0,0,0,0,171,33,34,2,29,9,5,0,0,0,0,0,0,0,0,0,23.0,0.0,29.0,1.0,0.0,1.0,-237997.282592,2.0,16.0,1.0,0.0,1.0,0.0,-5.1,53.85,0.09,63.25,539.55,0
