Name Interface_Energy Label
4ERF_FRED_docked__PROTOSS_native -35.651 1
ZINC08438410 -28.8638 0
ZINC00627441 -22.3428 0
ZINC08438588 -27.9135 0
ZINC08439008 -27.4415 0
ZINC00147704 -15.7777 0
ZINC08438090 -29.8816 0
ZINC08435628 -13.8964 0
ZINC08435004 -32.4309 0
ZINC00625336 -6.48149 0
ZINC08434810 -20.6468 0
ZINC00144910 -25.3218 0
ZINC00149203 -22.7801 0
ZINC08433148 -27.0048 0
ZINC00856284 -16.7299 0
ZINC08434835 -24.6663 0
ZINC02233796 -22.7938 0
ZINC06878590 -20.1428 0
ZINC01865711 -28.0353 0
ZINC08437912 -20.9701 0
ZINC00832557 -21.1151 0
ZINC00624606 -27.4181 0
ZINC00675736 -26.1431 0
ZINC00907469 -6.68204 0
ZINC08439772 -27.1996 0
ZINC02070018 -22.3957 0
ZINC02063808 -29.0052 0
ZINC00660936 -22.09 0
ZINC02503430 -27.2083 0
ZINC00630196 -25.4781 0
ZINC00659607 -21.0297 0
ZINC08438954 -14.3039 0
ZINC00627140 -11.0589 0
ZINC01759290 -40.6728 0
ZINC08438499 -22.9143 0
ZINC08434818 -31.2746 0
ZINC01013249 -32.9969 0
ZINC02170396 -20.5236 0
ZINC02617389 -28.5377 0
ZINC08433146 -22.5325 0
ZINC01805305 -24.1983 0
ZINC05918543 -36.0829 0
ZINC08439463 -27.611 0
ZINC03000497 -17.752 0
ZINC06378686 -29.6075 0
ZINC08438822 -26.5233 0
ZINC02168965 -25.8398 0
ZINC00675767 -26.1436 0
ZINC08439415 -19.3063 0
ZINC08438260 -24.3111 0
ZINC08436829 -8.82842 0
ZINC08433315 12.319 0
ZINC02170853 -32.5334 0
ZINC01797481 -28.9803 0
ZINC02163904 -30.821 0
ZINC08435140 -15.9663 0
ZINC08438393 -28.1693 0
ZINC02071725 -19.0157 0
ZINC00666509 -19.9228 0
ZINC08437369 -27.0994 0
ZINC08433186 -20.8657 0
ZINC00669612 -25.301 0
ZINC03768202 -30.0202 0
ZINC00624115 -31.0516 0
ZINC08434994 0.56842 0
ZINC05921073 -5.50703 0
ZINC08435397 -20.9974 0
ZINC00702709 -25.154 0
ZINC00646245 -16.1539 0
ZINC00694378 -18.3463 0
ZINC08437449 -27.1241 0
ZINC00881612 -24.6823 0
ZINC02106724 -28.7213 0
ZINC08435360 -18.1478 0
ZINC01823289 -29.0808 0
ZINC00717718 -26.8962 0
ZINC00210133 -14.2642 0
ZINC02170910 -20.2841 0
ZINC08435235 -26.9111 0
ZINC02067913 -27.8012 0
ZINC02062435 -16.2833 0
ZINC02163126 -20.8256 0
ZINC08434804 -22.467 0
ZINC08439980 -25.6571 0
ZINC00624057 -33.3668 0
ZINC00645888 -23.1316 0
ZINC08438432 -29.8867 0
ZINC00974456 -22.9194 0
ZINC02067911 -21.4548 0
ZINC08437407 -23.7868 0
ZINC00976394 -19.0985 0
ZINC00703087 -26.8404 0
ZINC08439432 -37.3253 0
ZINC03646241 -10.4724 0
ZINC00868854 -18.0072 0
ZINC06321511 97.4492 0
ZINC02062434 -27.416 0
ZINC08435176 -30.2881 0
ZINC08435391 -22.08 0
ZINC00646291 -17.8719 0
ZINC08435177 -26.709 0
ZINC02069166 -35.9672 0
ZINC00646599 -20.8281 0
ZINC00857660 -27.7828 0
ZINC08439729 -19.5094 0
ZINC08434978 -22.8365 0
ZINC08434834 -29.0569 0
ZINC00702480 -20.8152 0
ZINC00702231 -27.3177 0
ZINC01893075 -18.4408 0
ZINC00627695 -19.7823 0
ZINC01797117 -23.4836 0
ZINC08438815 -29.9726 0
ZINC02163701 -22.2631 0
ZINC00724096 -31.9111 0
ZINC08439394 -30.3114 0
ZINC06445732 -21.2776 0
ZINC01011183 -23.7896 0
ZINC00907580 -6.18752 0
ZINC00643426 -28.2935 0
ZINC00678273 -21.7695 0
ZINC08437023 -23.6403 0
ZINC08433138 -16.0493 0
ZINC05354636 -25.3297 0
ZINC00786914 -26.5149 0
ZINC08435635 -26.3262 0
ZINC00625900 -27.5659 0
ZINC00702681 -30.0776 0
ZINC00625470 -27.0811 0
ZINC05687815 -29.3195 0
ZINC08439362 -22.1346 0
ZINC08435113 1396.36 0
ZINC00788068 -22.5998 0
ZINC00669388 -32 0
ZINC08439670 -31.5983 0
ZINC08438288 -23.8214 0
ZINC08433312 -22.4776 0
ZINC00632178 -24.4338 0
ZINC02069976 -28.623 0
ZINC02780166 -19.7307 0
ZINC00853495 -7.07035 0
ZINC00675823 -21.2588 0
ZINC08434988 -21.8792 0
ZINC00857096 -26.537 0
ZINC03563328 -28.7077 0
ZINC08434860 -28.4857 0
ZINC08434805 -15.0239 0
ZINC08437845 66.0147 0
ZINC02063810 -19.2473 0
ZINC00886465 -30.492 0
ZINC00643478 -26.4129 0
ZINC00633944 -26.4593 0
ZINC08436975 0.0460954 0
ZINC00841803 -10.9372 0
ZINC05013440 -12.7805 0
ZINC06245601 -22.907 0
ZINC00387112 -22.4972 0
ZINC00715097 -24.7429 0
ZINC00624679 -13.2229 0
ZINC00624576 -23.4716 0
ZINC08438223 -24.6493 0
ZINC01013300 -32.0515 0
ZINC00881599 -20.7216 0
ZINC02165295 -23.8157 0
ZINC06446604 -9.88341 0
ZINC02071955 -25.9764 0
ZINC05313280 -20.9493 0
ZINC00655500 -20.7716 0
ZINC00844003 -25.1721 0
ZINC01873774 -29.6034 0
ZINC06177106 -25.4429 0
ZINC08435468 -23.8606 0
ZINC01788635 -32.6886 0
ZINC08435190 -25.5528 0
ZINC08437658 4.31362 0
ZINC02062113 -32.4565 0
ZINC08438987 -17.7938 0
ZINC08439299 -31.3665 0
ZINC00183602 -7.48173 0
ZINC08439072 -17.2166 0
ZINC00887442 -15.2234 0
ZINC02117694 -20.1515 0
ZINC08435043 -27.4814 0
ZINC08437866 195.27 0
ZINC08439871 -15.7593 0
ZINC08436946 -25.8928 0
ZINC00693296 -39.5054 0
ZINC00728061 -28.4886 0
ZINC02210316 -26.6938 0
ZINC06143549 -25.0899 0
ZINC00907609 -27.0052 0
ZINC02170769 -19.1135 0
ZINC08437612 -25.7034 0
ZINC08439774 -26.0073 0
ZINC02900087 -17.5316 0
ZINC08435394 -24.8393 0
ZINC02165195 -28.8082 0
ZINC08435481 -25.1881 0
ZINC08435629 -25.9546 0
ZINC00633925 -30.7026 0
ZINC00881863 -27.9113 0
ZINC02069952 -22.5457 0
ZINC08439697 -25.1341 0
ZINC00624702 -24.6541 0
ZINC02067718 -10.5703 0
ZINC00971749 -25.5449 0
ZINC01882902 -23.9222 0
ZINC08433167 -10.5553 0
ZINC00624089 -24.7532 0
ZINC05917152 186.541 0
ZINC05358767 5.98213 0
ZINC00675399 -19.6129 0
ZINC00655461 -27.5725 0
ZINC02067490 -30.9707 0
ZINC01012211 -37.5118 0
ZINC08438826 -30.7478 0
ZINC02107103 -26.259 0
ZINC08439208 -14.9494 0
ZINC02170675 -29.1737 0
ZINC01102227 13.9935 0
ZINC00659333 -17.405 0
ZINC00631056 -26.0765 0
ZINC08439811 -25.4609 0
ZINC08439758 -29.6142 0
ZINC00624232 -37.2355 0
ZINC08439824 -30.1062 0
ZINC08435495 -20.64 0
ZINC02679337 -23.2427 0
ZINC02063891 -32.0716 0
ZINC02168967 -17.881 0
ZINC00695005 -16.9009 0
ZINC02159327 -26.9386 0
ZINC00646911 -21.414 0
ZINC00666141 -26.5079 0
ZINC00676192 -25.8152 0
ZINC00819722 -17.2504 0
ZINC02070541 -28.6962 0
ZINC00629389 -21.1485 0
ZINC00856337 -28.1783 0
ZINC08436837 -15.8918 0
ZINC00677005 -26.3814 0
ZINC00809023 -17.4401 0
ZINC08435504 -20.6222 0
ZINC00975930 -17.7021 0
ZINC01805329 -15.6334 0
ZINC08435439 -24.5677 0
ZINC08435123 -16.4253 0
ZINC00678328 -31.7322 0
ZINC00645535 -15.5448 0
ZINC00881484 -29.8027 0
ZINC02666668 -25.5042 0
ZINC00702411 -26.1539 0
ZINC06444923 -17.6819 0
ZINC00858890 -29.0306 0
ZINC00645527 -7.88914 0
ZINC00702801 -28.8186 0
ZINC00643395 -27.031 0
ZINC00624832 -19.3466 0
ZINC01816658 9724.14 0
ZINC00651672 -27.2826 0
ZINC08439255 -28.5662 0
ZINC08434772 -22.7234 0
ZINC02071405 -34.5698 0
ZINC00643372 -23.7124 0
ZINC05401914 -24.8859 0
ZINC01796011 -24.8078 0
ZINC00857521 -26.6771 0
ZINC08436943 -25.6998 0
ZINC02162789 -32.5722 0
ZINC08439690 -23.3705 0
ZINC00645825 -36.1766 0
ZINC00660155 -19.1954 0
ZINC02063825 -24.258 0
ZINC08436903 -28.7005 0
ZINC02067805 -32.3652 0
ZINC06194703 -20.5569 0
ZINC00860537 -29.1665 0
ZINC00694397 -21.6095 0
ZINC00717017 -19.4288 0
ZINC08435163 -20.3116 0
ZINC00955337 -25.6355 0
ZINC01261828 -21.3764 0
ZINC00703112 -17.155 0
ZINC08438258 -18.4444 0
ZINC00645502 -11.6198 0
ZINC00843796 -19.9822 0
ZINC00793758 -27.0391 0
ZINC00646908 -23.1172 0
ZINC00655299 -19.2227 0
ZINC02070195 -33.9524 0
ZINC08436973 -29.0003 0
ZINC08435254 -24.2749 0
ZINC00625689 -22.4431 0
ZINC03057121 -25.5454 0
ZINC06147718 -27.2839 0
ZINC00630211 -26.6881 0
ZINC08439232 -22.557 0
ZINC08435029 -24.4585 0
ZINC00793598 -19.0902 0
ZINC00984064 -21.8672 0
ZINC00241369 -18.6512 0
ZINC00633912 -22.6443 0
ZINC08438819 -23.2938 0
ZINC08440007 -24.2029 0
ZINC08440017 -24.41 0
ZINC00728011 -26.5588 0
ZINC05943324 -23.4421 0
ZINC08438444 -22.3662 0
ZINC00189848 -24.7219 0
ZINC08439385 -16.0156 0
ZINC00645200 -28.2824 0
ZINC00663241 -26.063 0
ZINC00626271 -32.3961 0
ZINC01012772 -24.0442 0
ZINC08435296 -21.5726 0
ZINC08439999 -26.749 0
ZINC08435415 -23.7312 0
ZINC02063121 -18.9408 0
ZINC04068115 -19.1211 0
ZINC08438112 -37.1635 0
ZINC02067482 -26.556 0
ZINC00648070 -17.0448 0
ZINC01777238 3.92987 0
ZINC08437944 -25.3066 0
ZINC00621932 -28.1598 0
ZINC08435020 -20.0346 0
ZINC02063375 -30.2167 0
ZINC00864867 -26.8519 0
ZINC01795810 -23.2193 0
ZINC01807411 -30.6472 0
ZINC02063579 -18.352 0
ZINC00907217 -28.931 0
ZINC00693848 -20.0093 0
ZINC02184672 -28.9577 0
ZINC08435457 -29.5773 0
ZINC08433320 -18.0255 0
ZINC08435336 -28.7148 0
ZINC08438450 -19.5453 0
ZINC02156314 -33.6453 0
ZINC08438009 -27.689 0
ZINC08435264 -29.4466 0
ZINC08435585 -18.4087 0
ZINC08439606 -35.2081 0
ZINC02106648 -21.5431 0
ZINC08433218 -22.9909 0
ZINC02068559 -24.6097 0
ZINC00664643 -17.6423 0
ZINC02171941 -19.5991 0
ZINC02982258 -28.5559 0
ZINC08436871 -8.99616 0
ZINC00663153 -32.0882 0
ZINC01011079 -25.4323 0
ZINC00627177 -19.6567 0
ZINC00878799 -28.8166 0
ZINC00623556 -19.2027 0
ZINC02853302 -32.4231 0
ZINC08435455 -16.8962 0
ZINC00802241 -34.5366 0
ZINC02171057 -21.5848 0
ZINC02067837 -23.3804 0
ZINC08438025 -26.4238 0
ZINC00702673 -24.1714 0
ZINC08437244 -32.7998 0
ZINC08437469 -3.8583 0
ZINC00616546 -23.5322 0
ZINC00693760 -28.9506 0
ZINC00626146 -29.1561 0
ZINC08439788 -18.1457 0
ZINC08439770 -33.578 0
ZINC00702437 -27.0811 0
ZINC00881833 -24.3406 0
ZINC00851625 -27.5761 0
ZINC02129165 -20.3038 0
ZINC02168962 -30.2793 0
ZINC00643427 -34.0611 0
ZINC00819704 -30.5771 0
ZINC00675493 -28.7653 0
ZINC00623808 -24.9028 0
ZINC00624394 -31.4382 0
ZINC00862927 -21.5664 0
ZINC08439793 109.798 0
ZINC00633738 -23.9952 0
ZINC02162372 -22.3436 0
ZINC00201631 -10.1691 0
ZINC08437778 6480.79 0
ZINC08439624 -24.9649 0
ZINC02890864 -19.4276 0
ZINC01012760 -23.656 0
ZINC02070194 -27.2402 0
ZINC02062480 -30.0425 0
ZINC08435297 -21.7454 0
ZINC08435342 -29.8904 0
ZINC08310925 -25.2885 0
ZINC02067773 -28.5889 0
ZINC08435255 -25.8642 0
ZINC08437801 -19.0959 0
ZINC08434954 -21.0059 0
ZINC00867614 -29.485 0
ZINC08439592 -13.0952 0
ZINC00675538 -20.7431 0
ZINC02106972 -26.0767 0
ZINC01013140 -26.9365 0
ZINC01802710 -24.6761 0
ZINC08439211 -16.9434 0
ZINC02159737 -21.8244 0
ZINC02684125 -13.8793 0
ZINC08433195 -29.1139 0
ZINC00970487 -21.4884 0
ZINC08435227 -28.4633 0
ZINC08437572 -28.0071 0
ZINC02168963 -24.2049 0
ZINC08439131 -30.4957 0
ZINC01011776 -28.6853 0
ZINC02070587 -11.1721 0
ZINC08435402 -14.9216 0
ZINC01011837 -22.2745 0
ZINC00723782 -10.0021 0
ZINC00629054 -26.0181 0
ZINC08435299 -20.3787 0
ZINC02062386 -26.4953 0
ZINC02163138 -21.9137 0
ZINC08437906 -27.3427 0
ZINC08435559 -28.7628 0
ZINC08435166 -32.9597 0
ZINC08437740 -25.8216 0
ZINC00666527 -19.2793 0
ZINC08435459 -22.891 0
ZINC00802274 -19.125 0
ZINC00650260 32.3922 0
ZINC06407301 -27.4188 0
ZINC08434845 -19.4721 0
ZINC08435337 -35.5599 0
ZINC08435240 -26.0211 0
ZINC00702507 -24.0836 0
ZINC05685816 -17.9082 0
ZINC00633661 -34.2987 0
ZINC00881538 -5.48335 0
ZINC08434911 -23.9071 0
ZINC00625896 -23.2846 0
ZINC00797526 -26.3887 0
ZINC00633984 -19.4951 0
ZINC06144636 -18.234 0
ZINC08437816 -18.7857 0
ZINC08434788 -25.1833 0
ZINC08437253 -29.259 0
ZINC08439747 -18.9576 0
ZINC02061403 -25.2598 0
ZINC00675745 -29.0593 0
ZINC01802703 -25.3496 0
ZINC08439706 -25.1895 0
ZINC08439275 -25.5191 0
ZINC00703147 -24.6842 0
ZINC00646371 -28.8782 0
ZINC02063496 -19.6021 0
ZINC06147567 -22.4797 0
ZINC08434867 -26.2021 0
ZINC00624438 -24.3326 0
ZINC02164244 -29.5126 0
ZINC08437838 -13.8686 0
ZINC01012880 -19.8745 0
ZINC00880467 -17.3268 0
ZINC00646556 -28.2926 0
ZINC08436815 -29.4347 0
ZINC02071270 -17.5681 0
ZINC08437737 -26.4577 0
ZINC00920524 -20.0826 0
ZINC00643341 -27.7089 0
ZINC08439461 -27.9144 0
ZINC00702555 -33.9637 0
ZINC02164834 -27.5078 0
ZINC00624752 -22.8758 0
ZINC02129169 -28.0793 0
ZINC02895344 -11.653 0
ZINC08437245 -28.6901 0
ZINC08434824 -17.0967 0
ZINC01826474 -21.7903 0
ZINC04167843 -8.02879 0
ZINC08434840 -14.7015 0
ZINC02168759 -18.7245 0
ZINC00890083 -15.6294 0
ZINC08437490 -30.8852 0
ZINC00624810 -27.3816 0
ZINC02168673 -22.2917 0
ZINC06281409 -7.32636 0
ZINC08439827 -34.0583 0
ZINC08435427 -26.7051 0
ZINC01880173 -27.2539 0
ZINC08436960 -15.6726 0
ZINC08435273 -19.9405 0
ZINC00677166 -21.0903 0
ZINC00856250 -25.6353 0
ZINC00828013 -25.4289 0
ZINC02155914 -26.7521 0
ZINC08439994 -25.5326 0
ZINC00677027 -29.6056 0
ZINC00723844 -25.5622 0
ZINC08435121 -17.6012 0
ZINC08433326 -28.094 0
ZINC08438422 -22.1946 0
