Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
4G55_FRED_docked__PROTOSS_native,-28.5087,6.39527,-0.25039,-2.1693,0,-0.461419,-29.0075,748.949,1,0.650894,2,0.41467,0.71191,0.28809,2546,666,638,24,201,57,54,0,252,70,72,1,0,0,0,0,0,0,0,0,204,60,55,0,0,0,0,0,167,46,40,3,0,0,0,0,0.0,71.0,2.0,0.0,10.0,0.0,-83625.08086,1.0,42.0,1.0,0.0,0.0,0.0,-.1,50.72,0.05,75.27,501.85,6.796850519426298,6.247279146964145,6.213994804750802,6.047739828282826,5.910998853974471,5.400282110030835,6.0366,-8.664431818971192,1,5.9545658349
ZINC02069028,-31.0545,8.48278,2.78149,-1.94017,0,0,-27.4971,924.177,0,0.68058,1,0.326519,0.849121,0.150879,3091,793,788,55,220,56,61,2,221,59,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.0,24.0,0.0,0.0,0.0,44693.1384455,0.0,43.0,0.0,0.0,2.0,0.0,-4.7,27.97,0.55,55.13,592.73,6.721915017932434,6.077824144300136,5.960457194527689,6.021976701243196,4.8951346838601815,6.194620091426063,6.4313999999999965,-7.325366284610165,0,5.96383040321
ZINC00651666,-31.5997,7.8187,5.10624,-4.62118,0,-1.16464,-29.014,935.157,2,0.685263,3,0.371389,0.693412,0.306588,3218,856,809,43,373,104,94,5,510,141,129,6,0,0,0,0,0,0,0,0,0,0,0,0,248,61,75,5,0,0,0,0,0,0,0,0,0.0,73.0,21.0,0.0,4.0,0.0,-127882.885977,2.0,30.0,0.0,0.0,0.0,0.0,-1.9,68.61,0.00,117.16,595.53,8.010042310466623,6.867260760683764,6.803809446608946,7.0746954018759025,5.304392987875659,7.014844603792689,7.080200000000002,-7.561101741063497,0,6.00554835121
ZINC02063370,-26.349,8.90534,1.70892,-4.66308,0,0,-26.4751,876.375,0,0.658169,4,0.327994,0.706574,0.293426,2811,727,705,49,264,66,65,5,431,113,105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,22,28,1,0.0,74.0,22.0,0.0,0.0,0.0,-63528.7434956,3.0,36.0,0.0,0.0,1.0,0.0,-1.2,49.94,0.09,75.36,520.60,6.328543602777918,5.849223943445441,5.978169291208787,6.119703057720058,5.691064030532956,6.399192189659813,7.125699999999996,-8.222219423686182,0,5.9644922301
ZINC00645860,-35.5974,8.90181,1.78856,-2.6743,0,0,-34.2735,891.472,0,0.659923,3,0.359975,0.869806,0.130194,3440,870,834,49,401,100,99,6,324,82,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,18.0,0.0,3.0,0.0,-48731.2105701,0.0,43.0,2.0,0.0,1.0,0.0,-4.0,46.48,0.26,61.88,662.92,6.381200662625672,6.993996819291819,6.373912690920184,6.9018403513708515,5.270306998561232,6.300804752126949,6.736399999999999,-7.92517512777959,0,6.01658973445
ZINC08433326,-37.4004,10.7374,7.15699,-7.0479,0,-1.1757,-34.5132,901.617,1,0.673243,1,0.362096,0.818364,0.181636,3532,899,853,49,224,54,51,4,371,94,93,5,0,0,0,0,0,0,0,0,113,27,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51.0,51.0,0.0,4.0,0.0,-74312.2988676,2.0,44.0,0.0,0.0,1.0,0.0,-5.1,54.86,0.22,72.64,666.17,7.272140945061105,6.504866793193731,6.39975961477412,6.798235170274169,4.541225615991425,5.741020992250294,7.036199999999999,-9.694686367900188,0,5.97876222063
ZINC08433221,-31.3356,10.4835,2.07645,-7.65644,0,-0.200167,-33.6043,833.079,2,0.67558,1,0.313081,0.845388,0.154612,3346,877,801,49,694,174,166,9,383,104,89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,15.0,0.0,0.0,0.0,-129540.961565,1.0,36.0,0.0,0.0,1.0,0.0,-4.3,53.92,0.16,104.17,552.43,7.904051325196386,7.556905961371967,7.0520431967476895,7.298606993339999,7.610754771950718,6.955137996504329,6.1297999999999995,-9.110096722225252,0,5.98822422734
ZINC02062325,-33.2784,11.0984,-10.0356,0.00893849,0,0,-38.3837,894.088,0,0.671709,2,0.34289,0.90517,0.0948303,3708,959,899,59,158,38,38,2,164,44,40,2,0,0,0,0,0,0,0,0,376,96,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,19.0,0.0,0.0,0.0,-21846.1749812,0.0,46.0,1.0,0.0,0.0,0.0,1.2,50.26,0.19,20.31,610.02,6.943459107627871,6.525708189353128,6.471595815351315,6.382238605616605,6.262784294509675,8.689206362813453,6.9045000000000005,-10.490684928074732,0,6.02717768405
ZINC08436826,-31.0105,7.20454,2.16976,-3.30213,0,0,-30.1019,772.509,0,0.669439,4,0.289934,0.852781,0.147219,1670,423,406,31,442,117,111,7,122,30,26,3,0,0,0,0,0,0,0,0,408,97,110,8,0,0,0,0,0,0,0,0,137,38,34,3,0.0,35.0,32.0,0.0,0.0,0.0,-37184.5192935,0.0,28.0,1.0,0.0,0.0,0.0,-1.7,33.46,0.18,54.88,385.44,6.375270656978243,6.64485871284271,6.660951176046183,6.829590689921189,5.6314517695039035,6.811261352407614,6.291700000000002,-6.1835112295566,0,5.96408191221
ZINC08437680,-33.884,10.1881,7.19461,-10.3728,0,-0.519788,-33.7113,902.063,1,0.698268,4,0.266323,0.778829,0.221171,2682,704,678,42,567,144,134,6,302,78,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,25,30,2,0,0,0,0,0.0,59.0,14.0,0.0,2.0,0.0,-432543.115643,3.0,27.0,0.0,0.0,1.0,0.0,-4.2,44.39,0.28,90.19,548.07,8.028520664176103,6.962320133977136,6.676192631257623,6.823387832556336,4.367963675749388,5.912043575107424,6.2725,-7.046398123739415,0,5.97030180031
