Name Interface_Energy Label
4G55_FRED_docked__PROTOSS_native -29.0075 1
ZINC02069028 -27.4971 0
ZINC00651666 -29.014 0
ZINC02063370 -26.4751 0
ZINC00645860 -34.2735 0
ZINC08433326 -34.5132 0
ZINC08433221 -33.6043 0
ZINC02062325 -38.3837 0
ZINC08436826 -30.1019 0
ZINC08437680 -33.7113 0
ZINC08439211 -23.6685 0
ZINC00829304 -26.3199 0
ZINC02067809 -31.8626 0
ZINC02167211 -24.2835 0
ZINC02170872 -30.4537 0
ZINC08435129 -34.1603 0
ZINC00623497 -27.374 0
ZINC01472175 4.46606 0
ZINC08437657 0.386832 0
ZINC00703067 -26.1977 0
ZINC08439706 -28.6506 0
ZINC02062354 -19.1914 0
ZINC08435127 -31.3441 0
ZINC00666632 -36.2129 0
ZINC02169133 -46.3627 0
ZINC02169708 -33.7994 0
ZINC08434954 -40.4125 0
ZINC08438359 -11.6219 0
ZINC00975370 -30.5526 0
ZINC00626146 -31.8153 0
ZINC01891283 -34.7325 0
ZINC08438076 -32.6364 0
ZINC00643498 -24.4328 0
ZINC00865379 -18.993 0
ZINC00881599 -39.4992 0
ZINC00646556 -26.272 0
ZINC00633944 -18.9256 0
ZINC08433407 -34.0008 0
ZINC00629164 -18.1034 0
ZINC02071443 -27.5028 0
ZINC00723971 -23.1258 0
ZINC00643347 -35.0189 0
ZINC08435163 -30.55 0
ZINC08439320 -28.9688 0
ZINC02067805 -37.3634 0
ZINC02163126 -38.173 0
ZINC08439611 -24.5373 0
ZINC00695022 -37.7804 0
ZINC03066739 -36.1739 0
ZINC00984053 -14.1903 0
ZINC02071595 -33.1556 0
ZINC08434877 -14.8367 0
ZINC08437244 -36.9016 0
ZINC08434852 -31.186 0
ZINC08439619 -35.97 0
ZINC08436946 -43.2799 0
ZINC08437729 -28.6339 0
ZINC08433335 -33.8703 0
ZINC02168759 -11.1409 0
ZINC08439464 -28.5184 0
ZINC08439889 -29.2993 0
ZINC08434758 -29.7854 0
ZINC08437902 -32.7477 0
ZINC08435628 -31.0758 0
ZINC08433189 -33.6724 0
ZINC00853495 -30.3487 0
ZINC08439747 -20.9014 0
ZINC02184592 6121.41 0
ZINC02170293 -34.1662 0
ZINC00623808 -36.681 0
ZINC02277437 -34.8948 0
ZINC08434971 -24.9638 0
ZINC02184672 -41.4871 0
ZINC08439859 -29.777 0
ZINC08437733 -40.0884 0
ZINC00666139 -26.4734 0
ZINC01011448 -39.5604 0
ZINC06144583 -31.9352 0
ZINC00632178 -24.6269 0
ZINC04676690 -21.7368 0
ZINC02071965 -29.9549 0
ZINC01802710 -23.1055 0
ZINC08435054 -33.1423 0
ZINC00655457 -35.2313 0
ZINC08437469 -18.8148 0
ZINC00853504 -31.269 0
ZINC00832557 -26.3141 0
ZINC08439242 -26.4516 0
ZINC08439832 -32.3471 0
ZINC03219042 -32.5557 0
ZINC08438863 -29.0501 0
ZINC00662855 -20.2365 0
ZINC00971704 -29.9795 0
ZINC02070559 -33.1038 0
ZINC02889263 -30.1559 0
ZINC01011083 -28.3322 0
ZINC00624750 -30.9012 0
ZINC02155914 -33.6863 0
ZINC00864718 -30.1537 0
ZINC08435057 -34.3722 0
ZINC08438288 -21.3814 0
ZINC00646915 -24.4595 0
ZINC00702416 -28.873 0
ZINC08436837 -33.781 0
ZINC06446497 -33.0403 0
ZINC00624531 -30.0477 0
ZINC02061403 -27.2345 0
ZINC08438156 -33.1744 0
ZINC02171029 -33.9703 0
ZINC01823289 -36.4682 0
ZINC00646767 -35.8046 0
ZINC08435179 -41.3907 0
ZINC01893075 -20.7205 0
ZINC08433102 -34.0367 0
ZINC00676045 -34.0228 0
ZINC01128733 -33.7297 0
ZINC00633932 -28.3979 0
ZINC06599869 -19.1107 0
ZINC00643341 -31.9985 0
ZINC00878047 -24.843 0
ZINC02064325 -37.5634 0
ZINC02068641 -32.6554 0
ZINC06878590 -38.027 0
ZINC08439444 -26.4342 0
ZINC02068931 -23.4053 0
ZINC00633743 -28.6888 0
ZINC08438101 -40.1997 0
ZINC00633972 -25.087 0
ZINC00660398 -34.8945 0
ZINC08438514 -31.3823 0
ZINC08439729 -30.012 0
ZINC08438421 -34.5263 0
ZINC06444928 -30.4534 0
ZINC08437938 -31.7155 0
ZINC08439301 -30.4935 0
ZINC02062493 -31.5182 0
ZINC08434782 -27.7186 0
ZINC08435394 -31.6014 0
ZINC08437029 -33.221 0
ZINC00646599 -25.0028 0
ZINC00331109 -32.1469 0
ZINC00669333 -24.7605 0
ZINC00975294 -25.1868 0
ZINC02171008 -33.5124 0
ZINC02164594 -27.2232 0
ZINC00626691 -34.9271 0
ZINC00970963 -26.214 0
ZINC02171879 -25.566 0
ZINC01830761 -30.5 0
ZINC02170853 -31.4483 0
ZINC00827822 -35.7202 0
ZINC00643455 -27.8652 0
ZINC08439251 -34.1109 0
ZINC00650260 4.09163 0
ZINC00651676 -39.802 0
ZINC08439149 -37.5915 0
ZINC01891126 -9.17284 0
ZINC00623259 -19.8597 0
ZINC00693848 -35.4009 0
ZINC08439389 -8.46738 0
ZINC08439245 -39.2672 0
ZINC02170947 -40.2798 0
ZINC00659590 -25.6368 0
ZINC00645910 -31.681 0
ZINC08438068 -22.7819 0
ZINC08434752 -31.4838 0
ZINC08438499 -30.695 0
ZINC00862927 -32.9819 0
ZINC02890864 -23.6208 0
ZINC00643290 -31.5905 0
ZINC08435186 -36.1254 0
ZINC00621935 -18.0429 0
ZINC08436867 -4.77184 0
ZINC00717718 -34.0561 0
ZINC00626241 -35.3012 0
ZINC00850367 -30.5555 0
ZINC08435049 -25.5967 0
ZINC02068883 -36.256 0
ZINC00622370 -36.2381 0
ZINC00655195 -31.2829 0
ZINC02075274 -9.81144 0
ZINC08435230 -36.3317 0
ZINC00702247 -43.3859 0
ZINC08433185 -30.3093 0
ZINC02063810 -42.605 0
ZINC02071782 -38.5861 0
ZINC00669390 -31.84 0
ZINC06474570 -34.0362 0
ZINC08437102 -36.8785 0
ZINC06321511 -20.5167 0
ZINC08439815 -40.8815 0
ZINC00676053 -27.3721 0
ZINC02064200 -31.8567 0
ZINC02068917 -24.9609 0
ZINC00786806 -41.583 0
ZINC02069418 -43.6526 0
ZINC08434843 -41.2797 0
ZINC00645878 -22.1534 0
ZINC02063487 -42.6777 0
ZINC01511146 -23.7385 0
ZINC00976308 -26.3049 0
ZINC00976249 -31.176 0
ZINC01012880 -26.6402 0
ZINC08439350 -32.3352 0
ZINC00976267 29.2966 0
ZINC00974121 -30.3137 0
ZINC00624174 -34.3987 0
ZINC08439385 -22.6148 0
ZINC08439356 -36.5165 0
ZINC02071445 -36.8187 0
ZINC08437364 -32.178 0
ZINC08438257 -31.7839 0
ZINC01011467 -30.7355 0
ZINC00677342 -34.7245 0
ZINC02169522 -15.0701 0
ZINC08438028 -29.5028 0
ZINC01764016 -28.1498 0
ZINC08439798 -39.9858 0
ZINC00643346 -30.9813 0
ZINC02170616 -25.0095 0
ZINC01758660 -36.4525 0
ZINC00694055 -27.8991 0
ZINC08434970 -25.6171 0
ZINC08435017 -36.443 0
ZINC00646445 -28.6951 0
ZINC08437670 -26.6589 0
ZINC01855159 -32.3496 0
ZINC02107480 -29.8872 0
ZINC00851625 -37.3735 0
ZINC02842243 -24.8344 0
ZINC08434876 -26.1753 0
ZINC00625026 -32.0112 0
ZINC08435305 -33.296 0
ZINC08435397 -27.6517 0
ZINC00626525 -33.0601 0
ZINC00890083 -22.2375 0
ZINC00646574 -21.1029 0
ZINC00643395 -29.4628 0
ZINC00631056 -34.89 0
ZINC03462211 -34.0447 0
ZINC08438144 -12.0097 0
ZINC08433275 -26.1903 0
ZINC00970788 -28.3112 0
ZINC02156314 -42.1543 0
ZINC00646270 -19.7445 0
ZINC02064202 -30.9792 0
ZINC02067706 -31.4411 0
ZINC02070752 -35.4364 0
ZINC00666409 -25.194 0
ZINC00860537 -35.2233 0
ZINC00793758 -31.4135 0
ZINC08434881 -31.9898 0
ZINC08433328 -30.6597 0
ZINC08438103 -40.2209 0
ZINC02155851 -38.2109 0
ZINC06194053 -28.4549 0
ZINC02070823 -28.4729 0
ZINC08437585 -39.3614 0
ZINC08435227 -35.9229 0
ZINC00659570 -26.5043 0
ZINC01013140 -41.8648 0
ZINC06073489 -1.90989 0
ZINC08435116 -38.4905 0
ZINC08435254 -34.189 0
ZINC02068705 -37.6695 0
ZINC02070398 -32.8556 0
ZINC01019683 -31.9587 0
ZINC00666527 -25.532 0
ZINC08439202 -8.98051 0
ZINC08433320 -31.9594 0
ZINC08434952 -36.4119 0
