Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
4GQ4_FRED_docked__PROTOSS_native,-23.4117,2.56056,16.2481,-14.3114,0,-3.44712,-22.9223,695.865,3,0.677862,9,0.410793,0.51643,0.48357,2600,658,815,40,733,183,246,11,0,0,0,0,593,135,156,13,0,0,0,0,302,76,93,5,0,0,0,0,0,0,0,0,0,0,0,0,24.0,5.0,21.0,6.0,1.0,9.0,-834902.283621,4.0,5.0,0.0,0.0,0.0,2.0,-2.2,42.15,0.65,44.29,557.54,1
ZINC03770288,-25.3784,4.28016,7.61435,1.09406,0,-0.398393,-16.2365,830.416,1,0.66507,6,0.432816,0.496561,0.503439,4703,1143,1400,100,415,100,142,7,408,101,135,9,0,0,0,0,0,0,0,0,136,32,47,2,0,0,0,0,0,0,0,0,0,0,0,0,48.0,3.0,18.0,0.0,7.0,2.0,-82096.7785829,2.0,22.0,0.0,0.0,0.0,0.0,3.8,60.38,0.17,71.00,624.87,0
ZINC08435159,-27.5866,6.07687,1.3065,-0.832216,0,0,-24.8427,786.065,0,0.649331,5,0.40476,0.6004,0.3996,4459,1046,1306,107,148,34,42,4,306,75,94,7,0,0,0,0,145,42,47,3,0,0,0,0,168,38,43,3,0,0,0,0,0,0,0,0,52.0,7.0,1.0,4.0,12.0,0.0,84759.8449954,0.0,40.0,1.0,0.0,0.0,0.0,1.1,52.74,0.00,43.10,593.92,0
ZINC00666409,-20.9284,14.4597,11.1044,2.74749,0,0,-0.044778,632.553,0,0.641432,6,0.427713,0.508074,0.491926,3016,739,914,52,318,78,99,3,448,110,144,7,0,0,0,0,0,0,0,0,0,0,0,0,164,38,43,4,0,0,0,0,0,0,0,0,5.0,6.0,17.0,4.0,11.0,15.0,-58744.1826791,1.0,13.0,0.0,0.0,0.0,0.0,-1.8,35.10,0.47,67.43,499.32,0
ZINC01011746,-14.6193,1.88448,6.88177,-2.53344,0,0,-10.1894,541.877,0,0.654778,2,0.53668,0.561225,0.438775,2362,614,727,35,120,35,42,1,597,157,175,12,0,0,0,0,0,0,0,0,137,34,41,2,65,19,27,0,0,0,0,0,207,47,52,4,10.0,2.0,2.0,4.0,3.0,0.0,-10532.7448324,0.0,6.0,0.0,0.0,0.0,0.0,-1.8,48.71,0.06,66.84,439.34,0
ZINC08434987,-28.3086,4.5636,15.9422,-5.71,0,-0.858127,-17.4949,712.741,1,0.64574,11,0.433522,0.556322,0.443678,3205,731,931,63,623,151,187,13,1247,295,377,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,9.0,15.0,10.0,17.0,16.0,178209.08921,1.0,24.0,0.0,0.0,0.0,0.0,-1.8,62.47,0.16,167.68,543.98,0
ZINC00883750,-26.9934,3.26871,17.0513,-5.65387,0,0,-15.5504,772.119,0,0.655385,7,0.427863,0.516494,0.483506,3483,839,1073,62,886,212,249,15,575,136,171,6,579,123,154,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,8.0,12.0,6.0,12.0,9.0,80508.8681987,0.0,15.0,0.0,0.0,0.0,0.0,.8,66.28,0.36,89.27,637.95,0
ZINC08433094,-30.2788,4.71329,11.9842,-3.64172,0,0,-20.9974,1046.33,0,0.666888,10,0.421559,0.511848,0.488152,4870,1204,1484,82,879,216,273,18,262,66,80,4,0,0,0,0,0,0,0,0,279,69,90,4,0,0,0,0,0,0,0,0,0,0,0,0,55.0,3.0,24.0,4.0,5.0,2.0,-168213.757119,1.0,38.0,1.0,0.0,0.0,0.0,-.7,68.48,0.09,95.56,773.92,0
ZINC00907402,-26.1691,13.0279,7.69436,-4.42143,0,0,-17.8205,687.204,0,0.670065,9,0.474706,0.522384,0.477616,3006,706,855,61,742,190,220,17,429,113,135,6,0,0,0,0,0,0,0,0,131,32,43,4,0,0,0,0,123,33,45,3,0,0,0,0,63.0,5.0,0.0,7.0,12.0,2.0,-111361.770617,3.0,34.0,2.0,0.0,0.0,0.0,-2.1,54.78,0.21,105.63,561.43,0
ZINC08438932,-21.683,9.5302,13.5677,-1.02613,0,0,-4.41811,762.27,0,0.65756,8,0.452991,0.500608,0.499392,3056,791,891,43,263,72,88,0,765,190,206,16,0,0,0,0,0,0,0,0,127,37,44,0,0,0,0,0,172,42,53,5,0,0,0,0,22.0,5.0,26.0,0.0,4.0,8.0,-40814.6606,1.0,16.0,0.0,0.0,0.0,0.0,-1.7,49.76,0.23,76.99,576.50,0
