Name Interface_Energy Label
4GQ4_FRED_docked__PROTOSS_native -22.9223 1
ZINC03770288 -16.2365 0
ZINC08435159 -24.8427 0
ZINC00666409 -0.044778 0
ZINC01011746 -10.1894 0
ZINC08434987 -17.4949 0
ZINC00883750 -15.5504 0
ZINC08433094 -20.9974 0
ZINC00907402 -17.8205 0
ZINC08438932 -4.41811 0
ZINC08437076 -19.6244 0
ZINC02758246 -18.021 0
ZINC00702490 -26.1585 0
ZINC02061238 -17.2943 0
ZINC02184584 -18.7334 0
ZINC00660936 17.4086 0
ZINC00663241 -17.6582 0
ZINC08434824 -16.9888 0
ZINC08433435 -12.1837 0
ZINC00857096 -13.8071 0
ZINC08438734 -17.7701 0
ZINC08438783 -10.3447 0
ZINC01700294 -13.8645 0
ZINC05918459 -20.8012 0
ZINC00702247 -18.9542 0
ZINC00793873 3.32356 0
ZINC02064354 -20.5715 0
ZINC01801792 -20.9075 0
ZINC08438077 -21.2513 0
ZINC06194338 -18.3875 0
ZINC06996433 -10.7294 0
ZINC08434877 -14.8627 0
ZINC01018842 -27.2679 0
ZINC08438223 -26.7192 0
ZINC08437904 -8.31796 0
ZINC00147704 -17.6651 0
ZINC08438103 -18.1882 0
ZINC00857521 -16.8166 0
ZINC08438112 -20.5164 0
ZINC08439212 -27.669 0
ZINC02237028 -13.2892 0
ZINC08439008 -25.8613 0
ZINC08435282 -14.5668 0
ZINC02155788 -13.7469 0
ZINC08435140 -18.4435 0
ZINC06177106 -12.1848 0
ZINC02890864 -16.6263 0
ZINC08437832 -18.5253 0
ZINC00623493 -14.6767 0
ZINC00643564 -17.4319 0
ZINC02163126 -3.4999 0
ZINC08438811 -24.7474 0
ZINC00675355 -23.0439 0
ZINC08435427 -5.99327 0
ZINC02184622 -19.8338 0
ZINC08435481 -16.4068 0
ZINC06444635 -13.123 0
ZINC02168617 -16.4988 0
ZINC08435468 -35.1363 0
ZINC08437823 -16.0407 0
ZINC08438028 -8.5615 0
ZINC00675966 10.8883 0
ZINC00633743 -13.3624 0
ZINC00827822 -18.2072 0
ZINC02072172 -4.2222 0
ZINC01017576 -14.5409 0
ZINC06147567 -18.9446 0
ZINC02070722 -15.6511 0
ZINC02062377 -22.8049 0
ZINC01803354 -6.7586 0
ZINC02069418 -24.6057 0
ZINC05917152 15.9205 0
ZINC00661060 -7.41981 0
ZINC02070425 -15.4497 0
ZINC08434838 -20.9069 0
ZINC01855159 -27.3754 0
ZINC00828732 -7.20734 0
ZINC00623970 -13.4836 0
ZINC00352940 -23.3613 0
ZINC08437815 -12.6816 0
ZINC06135610 -2.8476 0
ZINC02067899 316.736 0
ZINC08438491 -20.3543 0
ZINC02106977 -17.5711 0
ZINC00723844 -27.5903 0
ZINC08437938 -16.1836 0
ZINC08439401 -16.1778 0
ZINC08435127 -14.9023 0
ZINC00646245 4.81075 0
ZINC00858026 -17.2241 0
ZINC02163701 -15.0657 0
ZINC01013249 -28.3073 0
ZINC02129169 -14.9332 0
ZINC02170251 -20.2665 0
ZINC00856312 -11.6359 0
ZINC08433310 -15.7917 0
ZINC01808107 -23.8266 0
ZINC08439919 -27.1951 0
ZINC08436836 -21.4124 0
ZINC02069309 -21.9125 0
ZINC06195180 -11.6392 0
ZINC00883021 -22.1259 0
ZINC08438222 -0.0622785 0
ZINC02064382 -8.43167 0
ZINC00666178 -21.2889 0
ZINC00646556 -14.6355 0
ZINC01797879 4.22377 0
ZINC00148162 -18.4797 0
ZINC08439208 -25.1932 0
ZINC02062009 -20.6236 0
ZINC06446604 -9.45623 0
ZINC02184592 -19.6981 0
ZINC00881538 -16.5295 0
ZINC02117694 -2.17662 0
ZINC00328721 -12.7198 0
ZINC08439403 -22.3523 0
ZINC00809023 -26.9796 0
ZINC01011569 -16.1931 0
ZINC02071782 -25.472 0
ZINC08438521 -13.4135 0
ZINC08435049 -16.2413 0
ZINC08436826 -7.13532 0
ZINC02071852 -4.79015 0
ZINC02070195 -18.9192 0
ZINC02169133 -22.0722 0
ZINC00643455 -14.2286 0
ZINC00645200 -18.5887 0
ZINC02106602 -3.22689 0
ZINC08438101 -24.4274 0
ZINC00633984 -13.2448 0
ZINC00702925 -11.4023 0
ZINC00643395 -19.6473 0
ZINC00298314 -1.9682 0
ZINC01895153 -25.3132 0
ZINC06473868 -22.8131 0
ZINC08433304 -19.8078 0
ZINC08435512 -18.2874 0
ZINC08433327 -20.7198 0
ZINC08438023 -17.5285 0
ZINC05520252 -7.44723 0
ZINC00625130 -16.9156 0
ZINC00181552 -2.04382 0
ZINC08435055 -24.8747 0
ZINC06443308 -2.88044 0
ZINC06406305 -12.2245 0
ZINC08435507 -21.8295 0
ZINC08439795 -2.70393 0
ZINC01018826 -14.5259 0
ZINC05928795 -16.3577 0
ZINC00852503 -12.0937 0
ZINC06144585 -21.7634 0
ZINC08434782 -16.4904 0
ZINC00643341 -24.052 0
ZINC00848909 -15.473 0
ZINC08433300 -19.2693 0
ZINC08438288 -6.82466 0
ZINC02063498 -18.4983 0
ZINC08437367 -16.6417 0
ZINC08438258 -12.2648 0
ZINC08437740 -29.1082 0
ZINC06195398 -16.3713 0
ZINC08437369 -19.9115 0
ZINC02170558 -20.2112 0
ZINC00194823 -13.0813 0
ZINC08437736 -26.6339 0
ZINC04391381 -9.04389 0
ZINC08434971 -6.69925 0
ZINC00144910 -17.3283 0
ZINC08439034 -22.9799 0
ZINC01013140 -24.944 0
ZINC00730283 -15.3915 0
ZINC08435646 -22.1437 0
ZINC08439798 -18.8206 0
ZINC05286115 -17.9361 0
ZINC00976249 -4.59985 0
ZINC08435596 -28.7413 0
ZINC01826474 -6.24996 0
ZINC00693680 -11.2243 0
