,RFSCORE_V1_remade,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,rfscorevs,vScreenML,Interface_Energy
1PW6,1040,29,102,145,92,635,532,228,63,1288,2,12
1R6N,130,204,513,240,242,30,4,43,192,307,921,811
1Y2F,1087,1822,333,511,250,305,736,474,923,1527,41,674
2AZ5,274,1904,282,628,249,558,629,1144,510,82,178,319
2KP8,437,1615,740,1145,1534,1337,273,144,1353,419,147,1107
3IN7,1,1649,613,436,762,1637,1215,1309,356,307,9,60
3O5N,57,1995,1847,1918,1813,1677,934,1029,933,494,50,1037
3VKX,1022,1985,1966,1919,1970,1637,1610,1403,1179,1146,33,1251
3ZRC,1808,1982,1914,1896,1981,1875,1873,1901,1848,55,640,1700
4G55,1756,1347,1544,1515,1832,815,1708,1754,657,1912,888,1167
