PDB,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
1a28_STR_A_decoys_1,-25.9101,9.64235,3.89739,-0.489556,0,0,-17.9156,615.918,0,0.572624,1,0.304661,0.877818,0.122182,2885,639,632,74,489,105,103,12,0,0,0,0,1655,359,386,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,10,0,0,-19999.1713,0,8,0,0,0,0,-1.6,65.65,0.25,17.82,352.81,0
1a28_STR_A_decoys_2,-28.3938,7.83678,0.865418,0.0704113,0,0,-23.1729,630.698,0,0.573323,4,0.28021,0.865459,0.134541,3338,735,747,89,0,0,0,0,483,107,113,13,0,0,0,0,0,0,0,0,241,50,50,6,0,0,0,0,212,45,54,6,0,0,0,0,31,0,6,7,0,0,20245.0044,0,15,0,0,0,0,0,31.22,0.07,26.3,322.04,0
1a28_STR_A_decoys_3,-25.1598,9.36194,-1.62606,-1.29476,0,0,-22.9869,655.647,0,0.571481,2,0.281636,0.857508,0.142492,2628,576,599,69,239,57,52,6,242,56,53,6,0,0,0,0,0,0,0,0,480,106,108,13,0,0,0,0,222,47,56,6,0,0,0,0,31,0,2,4,0,0,-53446.04687,0,8,0,0,0,0,0,30.05,0.27,20.31,329.9,0
1a54_MDC_A_decoys_1,-15.6095,2.8219,-0.927307,-1.84107,0,0,-16.8006,522.851,0,0.664623,2,0.598622,0.857328,0.142672,1435,360,442,14,239,71,82,3,402,104,129,5,388,115,125,6,94,25,31,1,65,19,21,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,-103933.6964,0,12,0,0,0,0,-5.2,76.71,0.57,105.76,625.88,0
1a54_MDC_A_decoys_2,-23.8063,4.79075,4.13217,-4.17177,0,-1.60195,-23.4338,684.668,1,0.695418,3,0.566776,0.707013,0.292987,2490,651,803,27,384,105,123,4,490,134,157,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,12,0,0,-898.0107546,1,18,0,0,0,0,-6.6,60.81,0.3,127.85,737.65,0
1a54_MDC_A_decoys_3,-28.0079,4.09828,11.1016,-2.29432,0,-1.65217,-20.1343,683.602,1,0.696563,1,0.545545,0.726233,0.273767,2072,548,656,19,543,143,180,6,404,109,135,4,0,0,0,0,0,0,0,0,122,32,40,1,0,0,0,0,0,0,0,0,0,0,0,0,56,1,1,9,2,0,-56461.96172,1,22,0,0,0,0,-8.3,41.15,0.74,132.44,681.44,0
1a6v_NPC_H_decoys_1,-18.8283,3.48502,8.67743,-3.33514,0,-1.51789,-12.8667,575.166,2,0.588502,1,0.42708,0.561945,0.438055,1926,483,481,0,435,115,112,0,383,87,113,0,0,0,0,0,0,0,0,0,179,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,-15706.16418,2,17,4,0,0,0,-12.6,36.37,0.47,112.41,442.85,0
1a6v_NPC_H_decoys_2,-26.4339,5.74757,17.3106,-13.0176,-1.28051,-2.50782,-22.2629,648.792,3,0.59653,3,0.431262,0.653328,0.346672,2348,598,565,1,172,42,42,0,936,239,204,1,0,0,0,0,0,0,0,0,286,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,6,1,-487428.4762,3,23,2,0,0,2,-5.2,43.22,0.25,94.91,441.02,0
1a6v_NPC_H_decoys_3,-19.3118,5.40596,0.05421,0.528956,0,0,-15.8049,576.012,0,0.596531,3,0.471784,0.621326,0.378674,2192,570,585,1,104,25,33,0,432,105,143,0,0,0,0,0,0,0,0,0,242,63,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,0,0,0,-108078.1571,0,28,2,0,0,0,-13.1,43.22,0.25,94.91,440.93,0
1a6w_NIP_H_decoys_1,-22.8878,4.08094,10.0955,0.276823,0,-1.70445,-11.6769,576.115,2,0.669272,5,0.482844,0.672828,0.327172,2454,614,610,0,193,51,46,0,795,208,194,0,0,0,0,0,0,0,0,0,0,0,0,0,106,25,22,0,0,0,0,0,0,0,0,0,0,79,23,0,0,4,39213.51146,2,31,1,0,0,0,-2.7,49.65,0.11,92.7,427.48,0
1a6w_NIP_H_decoys_2,-19.9138,3.69015,9.30232,-4.33134,-1.05837,-2.62014,-16.5911,539.804,3,0.679253,5,0.479652,0.62667,0.37333,2137,549,513,0,362,93,89,0,431,106,96,0,260,66,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,8,0,0,11,-322079.8388,3,21,0,0,0,0,-3.9,53.91,0.19,86.02,418.27,0
